Date,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FRO,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NZL,OMN,OWID_CZS,OWID_ERE,OWID_MNS,OWID_PYA,OWID_SRM,OWID_USS,OWID_WRL,OWID_YGS,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1961,574900.0,110000.0,169700.0,15300.0,4150806.0,,2300.0,6277000.0,2972611.0,,30910.0,,7019.95,65100.0,915460.0,1188733.0,4045.0,2050.0,,,3000.0,48942.0,5294550.0,5000.0,116.0,17591.0,55400.0,3425.0,8325517.0,3094000.0,777729.0,1833000.0,5500.0,34560.0,5600.0,350.0,1762000.0,1350.0,1900.0,118000.0,350000.0,32603.0,,25253400.0,1780.0,490.0,5524000.0,181000.0,347200.0,485460.0,1156282.0,,3550914.0,,,3624000.0,20000.0,19406896.0,,105.0,12004927.0,,9750.0,31295.0,789.0,2625.0,7670.0,958944.0,930.0,144000.0,250.0,14842.0,6177.0,121600.0,,31800.0,1965652.0,200883.0,20375000.0,2356000.0,1581000.0,504710.0,108000.0,336952.0,10616630.0,23435.0,34685.0,2115244.0,,742800.0,,12495.0,4843.0,6636.0,1900.0,66800.0,370.5,41831.0,1640.0,104180.0,10925.46,,,,390100.0,,294000.0,2502000.0,,258495.0,26000.0,116946.0,,186000.0,51435.0,199925.0,3500.0,21000.0,10800.0,33670.0,125000.0,1020.0,201400.0,144000.0,224320.0,7.0,6953000.0,1623400.0,546600.0,5217000.0,14164.0,4188700.0,637375.0,23499.0,1227.0,,62565010.0,344170270.0,2450687.0,5998400.0,48303.0,506539.0,20000.0,1409.0,12778397.0,282182.0,2100.0,586987.0,78000.0,,370.0,3180.0,4180.0,2910500.0,,23060.0,97000.0,,73839.0,390.0,11500.0,152200.0,1155000.0,,,142.8,7732.0,,,3977000.0,24000.0,270.0,342000.0,140610.0,4207.05,2000.0,,,1400.0,150.0,3500.0,142000.0,6507020.0,5824.0,280400.0,208950.0,,773250.0,57019696.0,,1270.0,458236.0,16000.0,680.0,700.0,124626.0,2557162.0,39000.0,260000.0
1962,576700.0,115000.0,173360.0,15320.0,4142558.0,,2400.0,6765000.0,3064786.0,,31520.0,,7401.32,66400.0,932660.0,1127184.0,4170.0,2050.0,,,3000.0,50598.0,5528951.0,5000.0,124.0,18145.0,56850.0,3434.0,8345928.0,3140000.0,735123.0,1869100.0,5700.0,34770.0,5400.0,400.0,1784885.0,1500.0,1900.0,124400.0,370000.0,35143.0,,25263000.0,1820.0,500.0,5355000.0,181000.0,333000.0,505610.0,1197421.0,,3577452.0,,,3643600.0,22000.0,18880396.0,,123.75,12304140.0,,10725.0,32155.0,835.0,2810.5,7670.0,1088423.0,1200.0,125897.0,270.0,16584.0,5616.0,123300.0,,32200.0,1874394.0,197244.0,20088000.0,2450800.0,1621000.0,500300.0,113500.0,370246.0,10260390.0,23624.0,41915.0,2438942.0,,774398.0,,13175.0,7684.0,6736.0,2000.0,76800.0,390.0,42821.0,1406.0,89310.0,11203.86,,,,357200.0,,310000.0,2464000.0,,266710.0,26290.0,127110.0,,196100.0,55350.0,204800.0,3600.0,21000.0,11100.0,33900.0,95000.0,1020.0,208000.0,151000.0,231710.0,23.0,7269000.0,1661300.0,555100.0,5224700.0,14494.0,3889387.0,641915.0,25676.0,1276.0,,63931010.0,346835300.0,2398106.0,6160150.0,52783.0,524698.0,21000.0,1473.0,12880066.0,303453.0,2400.0,603996.0,80400.0,,400.0,3320.0,4150.0,2779153.0,,21744.0,99625.0,,78662.0,403.0,12250.0,154700.0,1199000.0,,,142.8,8042.0,,,3927000.0,25000.0,275.0,380000.0,142230.0,4120.65,2000.0,,,1425.0,150.0,3600.0,140500.0,6781350.0,4979.0,285660.0,195370.0,,765002.0,57266450.0,,1280.0,496380.0,16000.0,780.0,703.0,124362.0,2503731.0,39000.0,263000.0
1963,646700.0,120000.0,178010.0,15450.0,4367316.0,,2400.0,6879000.0,3106694.0,,31780.0,,7873.69,66700.0,952760.0,1170653.0,4232.0,2050.0,,,3050.0,52218.0,5624654.0,5000.0,112.0,18442.0,58325.0,3527.0,8368608.0,3117000.0,785190.0,1899000.0,5800.0,36280.0,5200.0,400.0,1833000.0,1700.0,2100.0,131700.0,390000.0,36982.0,,25936908.0,1875.0,500.0,5086000.0,182000.0,321000.0,515430.0,1116700.0,,3847289.0,,,3758000.0,24000.0,19576608.0,,105.0,11941909.0,,11700.0,33220.0,835.0,3185.0,7670.0,1092671.0,1200.0,155175.0,290.0,18026.0,4883.0,128100.0,,33100.0,1879853.0,189573.0,19941000.0,2461100.0,1600000.0,493100.0,118500.0,350542.0,9247490.0,23824.0,47500.0,2763050.0,,741000.0,,13600.0,8752.0,6836.0,2000.0,88300.0,409.5,43831.0,1406.0,127460.0,9748.35,,,,371700.0,,312000.0,2424475.0,,289240.0,25381.0,138334.0,,204500.0,55620.0,209315.0,3700.0,21100.0,11400.0,31430.0,100000.0,1080.0,214800.0,159000.0,242480.0,20.0,7020000.0,1679800.0,561840.0,5346500.0,14714.0,3819007.0,646555.0,27738.5,1331.0,,61248000.0,344276450.0,2342432.0,6317050.0,56440.0,548477.0,22000.0,1356.0,12660063.0,324684.0,2500.0,615111.0,82068.0,,450.0,3460.0,4100.0,2536549.0,,23360.0,102350.0,,88801.0,422.5,13000.0,164800.0,1256000.0,,,130.9,7836.0,,,3782000.0,24000.0,280.0,538782.0,144650.0,4621.05,2000.0,,,1450.0,158.0,4687.0,140000.0,6795340.0,8013.0,294960.0,200095.0,,781498.0,56790624.0,,1280.0,537636.0,16800.0,880.0,703.0,123124.0,2417000.0,39300.0,265000.0
1964,659900.0,125000.0,184190.0,15500.0,4534338.0,,2800.0,7014000.0,3179100.0,,34160.0,,8556.07,72000.0,983190.0,1303322.0,4300.0,2150.0,,,3100.0,53853.0,6419437.0,5100.0,90.0,18996.0,59775.0,3655.0,8401720.0,3038000.0,812314.0,1919400.0,6000.0,33050.0,5000.0,450.0,1860000.0,1850.0,2050.0,136200.0,420000.0,37592.0,,26186008.0,1932.5,510.0,5233000.0,186000.0,352600.0,535490.0,1131800.0,,3886861.0,,,3825900.0,38668.0,19218600.0,,112.5,11684596.0,,13650.0,34225.0,876.0,3290.0,7670.0,1094189.0,1330.0,198600.0,270.0,18927.0,5606.0,131000.0,,34200.0,1939284.0,192416.0,19544000.0,2548300.0,1650000.0,480600.0,123500.0,358800.0,9624830.0,24002.0,58332.0,3022164.0,,780246.0,,14450.0,11767.0,7036.0,2100.0,106400.0,429.0,44908.0,1172.0,155700.0,8932.0,,,,395275.0,,313000.0,2456687.0,,305970.0,25000.0,149770.0,,212600.0,58320.0,213640.0,3800.0,21106.0,12000.0,34245.0,95000.0,960.0,222800.0,166000.0,248860.0,25.0,6956000.0,1666500.0,568500.0,5518800.0,15044.0,4050720.0,651180.0,42505.0,1815.0,,63262000.0,349473180.0,2406354.0,6500100.0,59701.0,571132.0,24279.0,1442.0,12610575.0,332847.0,3750.0,620921.0,83100.0,,500.0,3600.0,4150.0,2489991.0,,23510.4,108100.0,,93667.5,455.0,13500.0,148600.0,1317000.0,,,119.0,8970.0,,,3640000.0,25000.0,280.0,539352.0,146270.0,4841.32,2200.0,,,1400.0,165.0,4687.0,166300.0,6959500.0,11283.0,298460.0,200025.0,,762940.0,57591216.0,,1290.0,603695.0,16800.0,980.0,1125.0,124232.0,2115000.0,39600.0,255000.0
1965,720900.0,125000.0,190182.0,15650.0,4275557.0,,2800.0,7128000.0,3255700.0,,36970.0,,9585.06,83600.0,1004480.0,1388062.0,4425.0,2200.0,,,3150.0,55472.0,6857813.0,5200.0,82.0,19550.0,61250.0,3825.0,8335949.0,3117000.0,846320.0,1948100.0,6000.0,35600.0,4300.0,400.0,1973000.0,2000.0,2150.0,143800.0,440000.0,44196.0,,27021404.0,1917.5,520.0,5367000.0,200000.0,384720.0,555610.0,1149950.0,,4048118.0,,,3769000.0,38668.0,20522100.0,,135.0,12119420.0,,14625.0,35290.0,825.0,3412.5,7670.0,1109614.0,1350.0,168831.0,270.0,19898.0,6248.0,135000.0,,35100.0,1834843.0,203124.0,19247000.0,2637800.0,1700000.0,468850.0,128000.0,378489.0,10159890.0,25694.0,68332.0,3223888.0,,810000.0,,15045.0,13270.0,7136.0,2100.0,106800.0,448.5,46006.0,1172.0,170780.0,10150.0,,,,418450.0,,324000.0,2530798.0,,328780.0,25432.0,161554.0,,236700.0,60840.0,219315.0,3918.0,21200.0,13200.0,33900.0,82000.0,1080.0,230600.0,173000.0,276170.0,30.0,7142000.0,1670000.0,575200.0,5836100.0,15276.0,4188206.0,667875.0,42790.5,1808.0,,72563010.0,364798050.0,2474400.0,6658100.0,62766.0,775336.0,26341.0,1475.0,13350633.0,349569.0,5000.0,653108.0,84232.0,,550.0,3855.0,4220.0,2684330.0,,23619.2,111350.0,,96096.81,487.5,14000.0,159100.0,1370000.0,,,102.0,9190.0,,,3655000.0,23000.0,290.0,598000.0,147890.0,4985.77,2300.0,,,1550.0,173.0,4687.0,176600.0,7001800.0,13650.0,312980.0,201950.0,,736134.0,56323870.0,,1290.0,645486.0,19600.0,1080.0,1055.0,125852.0,2530000.0,39900.0,257000.0
1966,750500.0,125000.0,195853.0,15700.0,4732290.0,,2700.0,7274000.0,3261400.0,,37800.0,,10456.56,84600.0,966740.0,1500782.0,4550.0,2200.0,,,3200.0,60000.0,6956022.0,5300.0,108.0,19847.0,62700.0,3893.0,8345021.0,3153000.0,866524.0,1957800.0,6000.0,39050.0,4500.0,400.0,2020000.0,2275.0,2150.0,150200.0,462000.0,48260.0,,27480300.0,2142.0,550.0,5305500.0,210000.0,416350.0,606300.0,1167250.0,,4548300.0,,,3689000.0,38700.0,21262896.0,,150.0,11973846.0,,14625.0,36335.0,928.0,3500.0,7840.0,1189879.0,1500.0,174583.0,280.0,16120.0,6261.0,136500.0,,35200.0,1639634.0,201166.0,19368000.0,2716600.0,1660000.0,500260.0,119938.0,405502.0,10832568.0,29784.0,65600.0,3408814.0,,854200.0,,15725.0,16855.0,7336.0,2060.0,103200.0,468.0,46436.0,1100.0,141750.0,10440.0,,,,449300.0,,354000.0,3437000.0,,334305.0,25185.0,172506.0,,218200.0,62719.0,226215.0,4124.0,21200.0,14100.0,33985.0,94000.0,1140.0,245000.0,180000.0,281150.0,35.0,7242000.0,1705700.0,581900.0,6133650.0,15496.0,4422106.0,680740.0,43016.0,1315.0,,75992000.0,373451460.0,2696351.0,6712500.0,70811.0,784337.0,27460.0,1456.0,14241717.0,350473.0,7000.0,652397.0,85600.0,,600.0,4000.0,5030.0,3093300.0,,25308.0,114500.0,,101791.0,520.0,14500.0,153100.0,1425000.0,,,93.5,11384.0,,,3538000.0,22000.0,295.0,605135.0,151400.0,4950.0,2400.0,,,1550.0,180.0,5587.0,192000.0,7345500.0,13834.0,324360.0,201950.0,,742320.0,54390880.0,,1300.0,683134.0,20720.0,1200.0,500.0,121352.0,2544000.0,40500.0,260000.0
1967,819000.0,127000.0,203927.0,15350.0,4366285.0,,2800.0,7521000.0,3401900.0,,39550.0,,10709.5,86600.0,988160.0,1610350.0,4550.0,2170.0,,,3250.0,61750.0,6969886.0,4900.0,112.0,20401.0,64175.0,5610.0,8266967.0,3274000.0,884257.0,1951600.0,6500.0,39200.0,4600.0,400.0,2080000.0,2350.0,2200.0,156900.0,565600.0,50800.0,,27959600.0,2230.0,700.0,5193200.0,231000.0,457200.0,626390.0,1183150.0,,4356950.0,,,3559400.0,38740.0,22440408.0,,150.0,12341020.0,,15600.0,35115.0,800.0,3628.28,8010.0,1264510.0,1400.0,197915.0,250.0,19987.0,6317.0,155900.0,,36600.0,1789088.0,193000.0,19870000.0,2951400.0,1732000.0,504400.0,121500.0,441595.0,10451950.0,32705.0,40250.0,3566114.0,,807470.0,,17714.0,21058.0,7737.6,2280.0,94849.0,487.5,48582.0,1000.0,137670.0,10730.0,,,,457100.0,,357000.0,3646482.0,,342527.5,25394.0,184015.0,,216400.0,63040.0,230190.0,3299.0,21300.0,15000.0,30770.0,100000.0,1200.0,252700.0,187000.0,288320.0,40.0,7520000.0,1724500.0,593400.0,6251430.0,15606.0,4559450.0,693565.0,43358.5,1378.0,,79900000.0,381786500.0,2796576.0,6856000.0,72800.0,745584.0,26500.0,1606.0,14501298.0,356290.0,9000.0,669837.0,87223.0,,650.0,4300.0,4740.0,3390700.0,,27052.0,120750.0,,97282.0,552.5,14750.0,160300.0,1515000.0,,,112.2,11835.0,,,3318000.0,23000.0,300.0,518824.0,153670.0,5062.5,2400.0,,,1300.0,188.0,6609.0,205000.0,7558200.0,13812.0,344560.0,209440.0,,618600.0,53855650.0,,1300.0,717252.0,23520.0,1260.0,500.0,120574.0,2780000.0,41100.0,260000.0
1968,856000.0,130000.0,203516.0,16100.0,4682802.0,,3000.0,7019000.0,3394100.0,,40530.0,,10878.5,87740.0,1010840.0,1587546.0,4550.0,2150.0,,,3300.0,64500.0,7302442.0,5000.0,120.0,20955.0,65625.0,6120.0,8336820.0,3322000.0,950141.0,1837600.0,7000.0,40750.0,4700.0,400.0,2070000.0,2425.0,2200.0,178000.0,600000.0,55880.0,,28619208.0,2300.0,750.0,5127700.0,239627.0,481550.0,683240.0,1534600.0,,4670440.0,,,3596100.0,30770.0,23440108.0,,150.0,12630027.0,,16575.0,35115.0,800.0,3871.53,8095.0,1253244.0,1520.0,203882.0,230.0,21355.0,6682.0,167400.0,,37700.0,1778807.0,202500.0,21200000.0,3148700.0,1806000.0,516650.0,118804.0,456009.0,10631606.0,38544.0,43900.0,4015938.0,,856000.0,,19278.0,25900.0,8098.4,2340.0,93530.0,507.0,48768.0,980.0,150350.0,11310.0,,,,458500.0,,360000.0,3740754.0,,345875.0,27550.0,191204.0,,198300.0,65554.0,236565.0,3200.0,21400.0,15600.0,29160.0,97000.0,1200.0,258500.0,196000.0,316880.0,56.0,7791000.0,1788700.0,608100.0,6180215.0,15826.0,4758964.0,704565.0,35534.0,1485.0,,82300000.0,390060400.0,2820084.0,7052500.0,71661.0,749767.0,26000.0,1599.0,14649262.0,366560.0,11000.0,688221.0,86400.0,,734.0,4600.0,4430.0,3134500.0,,27432.0,123470.0,,100452.0,585.0,15000.0,158700.0,1593000.0,,,112.2,11476.0,,,3301000.0,23000.0,305.0,547817.0,156310.0,5175.0,2500.0,,,1225.0,195.0,8066.0,201100.0,7535900.0,14798.0,356960.0,212660.0,,680460.0,53172096.0,,1310.0,771252.0,22760.0,1380.0,500.0,103530.0,2950000.0,42000.0,280000.0
1969,856000.0,133000.0,209733.0,16300.0,4555989.0,,3100.0,7181000.0,3374300.0,,48240.0,,11382.0,90200.0,1035520.0,1581258.0,4800.0,2150.0,,,3350.0,69000.0,7322217.0,5100.0,126.0,21509.0,67100.0,6426.0,8495296.0,3214000.0,1023242.0,1871600.0,7200.0,43950.0,4800.0,450.0,2160000.0,2500.0,2200.0,186000.0,650000.0,61570.0,,28695304.0,2380.0,1000.0,4872200.0,260000.0,512400.0,699830.0,1561350.0,,5004412.0,,,3599400.0,35000.0,23127800.0,,120.0,12746519.0,,17550.0,33865.0,1000.0,4072.25,8265.0,1298838.0,1530.0,242816.0,230.0,20016.0,6515.0,167200.0,,38600.0,1767641.0,182900.0,21600000.0,3145000.0,1900000.0,542950.0,112345.0,469644.0,10288991.0,43332.0,54600.0,4508625.0,,877564.0,,20400.0,36845.0,8320.0,2400.0,94100.0,526.5,49683.0,900.0,139190.0,12180.0,,,,487100.0,,353000.0,3930460.0,,365810.0,27363.0,151386.0,,209500.0,67643.0,240325.0,3300.0,21500.0,16200.0,31270.0,80000.0,1260.0,274400.0,205000.0,354200.0,72.0,7915000.0,1758300.0,623800.0,6458882.0,16388.0,4955647.0,718155.0,39799.0,1625.0,,81500000.0,391139780.0,2807597.0,7262000.0,79166.0,781842.0,24000.0,1429.0,14764434.0,370552.0,15000.0,727818.0,87016.0,,850.0,4950.0,4270.0,3101100.0,,29296.0,125590.0,,102510.0,650.0,15250.0,166800.0,1619000.0,,,105.4,10769.0,,,3180000.0,24000.0,315.0,523157.0,153300.0,5130.0,2600.0,,,1025.0,203.0,10412.0,185200.0,7464000.0,14966.0,385240.0,229320.0,,762115.0,52665424.0,,1310.0,889482.0,23228.0,1460.0,500.0,93056.0,2850000.0,42900.0,300000.0
1970,750000.0,134000.0,222014.0,16950.0,4189984.0,,3100.0,7756000.0,3360500.0,,46570.0,,11222.0,92400.0,1065315.0,1632270.0,4800.0,2100.0,,,3400.0,64350.0,7421813.0,5149.0,128.0,22063.0,68575.0,6936.0,8314448.0,3204000.0,1115000.0,1936400.0,7300.0,63000.0,4900.0,500.0,2250000.0,2575.0,2200.0,194000.0,690000.0,65024.0,,28178608.0,2530.0,1000.0,4480000.0,283000.0,509700.0,711690.0,1585700.0,,5046171.0,,,3310100.0,41094.0,22850304.0,,77.5,12971044.0,,17608.5,33905.0,1100.0,4352.25,8520.0,1357916.0,1560.0,261885.0,180.0,20133.0,6730.0,177776.0,,40200.0,1771376.0,173800.0,20800000.0,3075600.0,2000000.0,558800.0,117500.0,502384.0,10023793.0,45552.0,39700.0,4761469.0,,1017917.0,,19550.0,53700.0,8741.6,2520.0,98400.0,546.0,52428.0,816.0,141080.0,13050.0,,,,496300.0,,355000.0,4112528.0,,364095.0,27690.0,153097.0,,222200.0,69714.0,243110.0,3300.0,21400.0,16000.0,31960.0,67000.0,1260.0,299560.0,213000.0,388600.0,94.0,8238000.0,1729600.0,625300.0,5986180.0,16938.0,4978087.0,733200.0,46318.0,1804.0,,83000000.0,391927680.0,2737504.0,7445000.0,73491.0,845236.0,25000.0,1709.0,14955069.0,369798.0,16000.0,736336.0,87738.0,,1000.0,6100.0,4070.0,3116300.0,,35250.0,130950.0,,102910.0,715.0,15500.0,168500.0,1660000.0,,,103.7,10466.0,,,2932000.0,26000.0,325.0,450055.0,155125.0,5692.5,3500.0,,,1275.0,210.0,7482.0,172400.0,7343200.0,16123.0,394860.0,247205.0,,762940.0,53073200.0,,1320.0,952175.0,24212.0,1540.0,500.0,90158.0,2912000.0,43800.0,290000.0
1971,682000.0,135000.0,246785.0,17550.0,4835390.0,,3300.0,7474000.0,3312200.0,,48890.0,,11200.0,89620.0,1081080.0,1671308.0,5130.0,2130.0,,,3450.0,76500.0,7414520.0,5184.0,126.0,22617.0,70050.0,7344.0,7931800.0,3160000.0,979740.0,2007400.0,7500.0,67000.0,5000.0,500.0,2340000.0,2650.0,2100.0,202000.0,675000.0,75794.0,,27520800.0,2610.0,1000.0,4407000.0,304000.0,527200.0,723740.0,1637900.0,,4948635.0,,,3293400.0,44000.0,23091808.0,,123.75,13304854.0,,17608.5,33805.0,1186.0,4550.0,8795.0,1400608.0,1520.0,263000.0,180.0,16738.0,6697.0,184451.0,,39800.0,1697576.0,181300.0,22500000.0,3161400.0,1900000.0,565410.0,121861.0,512460.0,9929488.0,47070.0,62100.0,4819834.0,,1103900.0,,18700.0,67067.0,8626.0,2610.0,96500.0,585.0,56772.0,800.0,149450.0,13920.0,,,,508000.0,,328000.0,4282700.0,,365995.0,27662.0,156917.0,,222300.0,73301.0,233300.0,3400.0,21432.0,17000.0,32100.0,69000.0,1260.0,284925.0,220000.0,357950.0,99.0,8392000.0,1768200.0,642000.0,5962442.0,17488.0,5092449.0,748580.0,49000.0,1967.0,,83100000.0,394984420.0,2731640.0,7591500.0,76352.0,918037.0,26000.0,1360.0,15154052.0,374333.0,18000.0,698911.0,89388.0,,1150.0,6700.0,4040.0,3205200.0,,31612.0,132575.0,,106370.0,780.0,15750.0,170200.0,1654000.0,,,98.6,9258.0,,,2876000.0,27000.0,328.0,441413.0,155900.0,5602.5,5000.0,,,1350.0,218.0,8618.0,182400.0,7471000.0,17906.0,380220.0,243915.0,,706235.0,53780350.0,,1320.0,999992.0,25036.0,1600.0,500.0,95278.0,2687000.0,45000.0,350000.0
1972,704000.0,140000.0,247330.0,17350.0,5384913.0,,3300.0,7298000.0,3312700.0,,52570.0,,11690.0,79640.0,1099631.0,1674093.0,5180.0,2150.0,,,3500.0,80700.0,7393800.0,5151.0,124.0,23171.0,71550.0,7854.0,8025749.0,3234000.0,917700.0,2070400.0,8000.0,64000.0,5200.0,550.0,2450000.0,2725.0,2150.0,219323.0,758000.0,81992.0,,28147696.0,2680.0,1000.0,4635500.0,315000.0,542400.0,736760.0,1673000.0,,5201112.0,,,3285900.0,44000.0,24275196.0,,168.75,14170552.0,,18193.5,34165.0,1237.0,4725.0,9200.0,1430271.0,1700.0,265000.0,200.0,16855.0,6700.0,190379.0,,41000.0,1711869.0,181700.0,22800000.0,3318900.0,2000000.0,585060.0,126000.0,534867.0,10486630.0,48588.0,44550.0,4938793.0,,1156000.0,,17850.0,81942.0,11422.6,2610.0,97500.0,604.5,68628.0,800.0,144777.0,14500.0,,,,527200.0,,337000.0,5299590.0,,311865.0,27156.0,157662.0,,208100.0,69968.0,224150.0,3500.0,21588.0,14305.0,31625.0,70000.0,1260.0,250660.0,229000.0,371480.0,51.0,8951000.0,1830800.0,658700.0,6242141.0,19863.0,5266348.0,761360.0,49300.0,2191.0,,83200000.0,405233570.0,2968565.0,7758000.0,72173.0,834408.0,28577.0,1555.0,15771521.0,382669.0,20000.0,718641.0,91759.0,,1300.0,6800.0,3640.0,3560900.0,,29576.0,134550.0,,88500.0,845.0,16000.0,171900.0,1685000.0,,,79.9,7732.0,,,2994000.0,29000.0,343.0,458377.0,163650.0,5827.5,7800.0,,,1300.0,240.0,10622.0,194500.0,7583100.0,22933.0,363000.0,258300.0,,726855.0,54442144.0,,1330.0,1081077.0,26048.0,1640.0,600.0,96770.0,2885000.0,45900.0,370000.0
1973,782500.0,142500.0,274380.0,17550.0,5220984.0,,3300.0,7168000.0,3300900.0,,54660.0,,11910.0,74200.0,1122108.0,1708488.0,6020.0,2030.0,,,3600.0,83900.0,7845500.0,5433.0,120.0,23468.0,70575.0,8364.0,7666858.0,3295000.0,891500.0,2148200.0,8000.0,64500.0,5300.0,550.0,2300000.0,2800.0,1950.0,210000.0,781000.0,77470.0,,28110804.0,2700.0,1000.0,4729400.0,330000.0,552400.0,770050.0,1706200.0,,5497281.0,,,3206700.0,50000.0,24627608.0,,150.0,14402411.0,,18759.0,36065.0,1289.0,4812.5,9435.0,1571548.0,1660.0,267000.0,190.0,16411.0,5800.0,194112.0,,41600.0,1847121.0,181000.0,23200000.0,3475500.0,2150000.0,600030.0,127800.0,582870.0,10321618.0,47888.0,71700.0,4908359.0,,1109400.0,,17000.0,106722.0,11352.8,2650.0,87773.0,624.0,75817.0,800.0,148776.0,15370.0,,,,546400.0,,347000.0,5623930.0,,272250.0,26853.0,244191.0,,227200.0,74370.0,191300.0,3609.0,21650.0,19760.0,32095.0,60000.0,1260.0,209350.0,239000.0,385340.0,52.0,9354000.0,1821500.0,675200.0,6069780.0,22348.0,5561259.0,751600.0,55588.0,2383.0,,88300000.0,412157060.0,3257227.0,7899000.0,65763.0,822723.0,28768.0,1718.0,16251905.0,383954.0,22000.0,767271.0,95471.0,,1500.0,7150.0,4140.0,3783700.0,,33036.0,140000.0,,83100.0,910.0,16250.0,187250.0,1623000.0,,,86.7,7800.0,,,3031000.0,30000.0,356.0,393467.0,150150.0,6075.0,14000.0,,,1225.0,245.0,7460.0,207500.0,7861200.0,37640.0,347520.0,267295.0,,675305.0,52385570.0,,1330.0,1054919.0,26848.0,1700.0,586.0,95790.0,2792000.0,47100.0,395000.0
1974,822000.0,145000.0,277730.0,17150.0,5292123.0,,3200.0,6926000.0,3308800.0,,55490.0,,13465.0,77900.0,1150737.0,1782120.0,6037.0,2030.0,,,3600.0,86450.0,9107800.0,5854.0,128.0,24062.0,69575.0,8772.0,7633160.0,3360000.0,943055.0,2229200.0,8000.0,68500.0,5500.0,650.0,2027409.0,2875.0,1950.0,248384.0,799000.0,68072.0,,28640104.0,2910.0,1000.0,4817900.0,340000.0,626960.0,773378.0,1741250.0,,5597921.0,,,3153700.0,51000.0,24650096.0,,112.5,13993281.0,,20670.0,37380.0,1392.0,4900.0,9670.0,1617924.0,1800.0,269000.0,200.0,11250.0,5216.0,198463.0,,40800.0,1914323.0,198900.0,24500000.0,3340000.0,2300000.0,588950.0,131417.0,604600.0,10126430.0,50396.0,44500.0,4868172.0,,1079680.0,,17000.0,130366.0,13563.0,2750.0,94900.0,643.5,81938.0,800.0,155660.0,15950.0,,,,524600.0,,359000.0,5964150.0,,269480.0,27467.0,261137.0,,239300.0,75646.0,172200.0,3609.0,22000.0,18392.0,31525.0,60000.0,1140.0,247180.0,245000.0,414780.0,52.0,9915000.0,1821300.0,691900.0,5688935.0,22095.0,5618103.0,743100.0,56115.0,2570.0,,91800000.0,420401660.0,3640462.0,8044000.0,63879.0,831827.0,32874.0,1250.0,16676646.0,374420.0,24000.0,787297.0,109698.0,,1650.0,7300.0,4500.0,3760200.0,,30784.0,145550.0,,80844.0,975.0,16500.0,199830.0,1576000.0,,,79.9,7500.0,,,3111000.0,31000.0,374.0,499820.0,120115.0,6052.5,14000.0,,,1175.0,248.0,7505.0,221400.0,8012800.0,41879.0,359000.0,275660.0,,711400.0,52428656.0,,1340.0,1133667.0,27120.0,1750.0,620.0,95890.0,2478000.0,47700.0,390000.0
