Date,ABW,AFG,AGO,ALB,AND,ANT,ARG,ARM,ASM,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NFK,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CIS,OWID_CZS,OWID_ERE,OWID_MNS,OWID_PYA,OWID_SRM,OWID_USS,OWID_WRL,OWID_YGS,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VIR,VNM,WLF,WSM,YEM,ZAF,ZMB,ZWE
1990,0.0,0.0,960560.0,70390.0,0.0,0.0,766000.0,,0.0,1022900.0,1739400.0,,161380.0,,13000.0,,14000.0,75170.0,1032000.0,220.0,0.0,,,,2060.0,20000.0,3558100.0,0.0,670.0,19320.0,0.0,2000.0,4618250.0,182300.0,1646290.0,44151980.0,6700.0,18100.0,55500.0,59500.0,510.0,97000.0,3510.0,1700.0,26600.0,347000.0,,0.0,24340.0,,5650000.0,0.0,810.0,446960.0,21010.0,333000.0,44430.0,43810.0,,0.0,1945190.0,,,4390380.0,84770.0,0.0,1528000.0,80.0,,30000.0,2434000.0,,50000.0,0.0,40000.0,500.0,1780.0,210.0,0.0,117760.0,210.0,220.0,24000.0,700.0,0.0,0.0,0.0,,12000.0,793790.0,145490.0,5715000.0,380390.0,515669.97,60770.0,6560.0,66000.0,528750.0,8790.0,46900.0,10287000.0,,152790.0,,67290.0,1909190.0,3450.0,1606000.0,1110.0,1200.0,217000.0,3150.0,200.0,256829.98,8670.0,,,,,318400.0,0.0,,231000.0,0.0,39430.0,,5000.0,0.0,30700.0,,4400.0,,38000.0,10070.0,0.0,2440.0,17250.0,139100.0,1934680.0,170.0,0.0,9040.0,48000.0,50.0,265260.0,290.0,10.0,295380.0,115000.0,87920.0,0.0,1531120.0,1000.0,100.0,3337140.0,349610.0,195600.0,11280.0,,21831120.0,178949400.0,292620.0,253900.0,11050.0,263000.0,290620.0,60750.0,7366000.0,0.0,1130000.0,2073000.0,10240.0,4430.0,0.0,10700.0,528000.0,,113000.0,0.0,,32000.0,0.0,0.0,41040.0,6680.0,9920.0,0.0,3000.0,0.0,,,0.0,13000.0,,,8089000.0,163770.0,,4900.0,148800.0,0.0,10800.0,20670.0,1720000.0,,0.0,,0.0,1000.0,83380.0,152920.0,545980.0,0.0,553040.0,169970.0,,201000.0,17938000.0,,0.0,40.0,425990.0,0.0,745000.0,200.0,5130.0,0.0,3143620.0,57000.0,154000.0
1991,0.0,0.0,958677.0,70390.0,0.0,0.0,797000.0,,0.0,1069080.0,1733830.0,,156539.0,,13300.0,,19430.0,75170.0,1022100.0,235.0,0.0,,,,2071.0,21506.0,3567510.0,0.0,734.0,19342.0,0.0,2000.0,5095036.0,181240.0,1709475.0,45219810.0,7425.0,18400.0,55620.0,59500.0,569.0,103870.0,3400.0,4134.0,28600.0,346500.0,,0.0,24662.0,,5652700.0,0.0,810.0,446960.0,23214.0,334200.0,47002.0,45350.0,,0.0,1989805.0,,,4465796.0,88841.0,0.0,1533800.0,80.0,19948.0,30000.0,2451600.0,,50000.0,0.0,40500.0,500.0,1780.0,226.0,12500.0,118837.0,210.0,220.0,25300.0,700.0,0.0,0.0,0.0,,12800.0,793790.0,515741.03,6080300.0,397243.0,515669.97,61074.0,7793.0,68200.0,535426.0,8732.0,46900.0,10291400.0,,152790.0,,70552.0,1925503.0,3590.0,1603400.0,1058.0,2061.0,217000.0,3150.0,240.0,254530.0,8670.0,,,,,320990.0,0.0,,235100.0,0.0,39463.0,3130.0,10000.0,0.0,30702.0,,4863.0,0.0,38000.0,11188.0,0.0,2455.0,17336.0,136990.0,1903964.0,183.0,0.0,9120.0,50500.0,50.0,263627.0,487.0,10.0,297198.0,115000.0,92895.0,0.0,1580520.0,1000.0,100.0,3337939.0,350710.0,198911.0,11764.0,,22226640.0,183032850.0,292939.0,253900.0,13225.0,308209.0,293617.0,60750.0,7366000.0,0.0,1122523.0,2092500.0,12268.0,4842.0,0.0,10700.0,528000.0,,114350.0,0.0,,32000.0,0.0,0.0,40200.0,6797.0,10176.0,0.0,3000.0,0.0,,,0.0,13115.0,,,8311900.5,161708.0,,4900.0,151200.0,0.0,11100.0,22003.0,1746700.0,,0.0,,0.0,1000.0,83112.0,155348.0,546952.0,0.0,553040.0,179809.0,,243800.0,18400200.0,,0.0,47.0,457347.0,0.0,862457.0,217.0,5126.0,0.0,3143620.0,56800.0,150600.0
1992,0.0,0.0,956794.0,70390.0,0.0,0.0,828000.0,13112.0,0.0,1115260.0,1728260.0,295504.0,151698.0,,13600.0,,24860.0,75170.0,1012200.0,250.0,0.0,119310.0,,1334976.0,2082.0,23012.0,3576920.0,0.0,798.0,19364.0,0.0,2000.0,5571822.0,180180.0,1772660.0,46287630.0,8149.9995,18700.0,55740.0,59500.0,628.0,110740.0,3290.0,6568.0,30600.0,346000.0,,0.0,24984.0,,5655400.0,0.0,810.0,446960.0,25418.0,335400.0,49574.0,46890.0,,0.0,2034420.0,195754.0,,4541212.0,92912.0,0.0,1539600.0,80.0,19646.0,30000.0,2469200.0,55142.0,50000.0,0.0,41000.0,500.0,1780.0,242.0,25000.0,119914.0,210.0,220.0,26600.0,700.0,0.0,0.0,0.0,90168.0,13600.0,793790.0,885992.0,6445600.0,414096.0,515669.97,61378.0,9026.0,70400.0,542102.0,8674.0,46900.0,10295800.0,519382.03,152790.0,160346.0,73814.0,1941816.0,3730.0,1600800.0,1006.00006,2922.0,217000.0,3150.0,280.0,252230.0,8670.0,422028.0,,315940.0,,323580.0,0.0,148120.0,239200.0,0.0,39496.0,3130.0,15000.0,0.0,30704.0,,5326.0,0.0,38000.0,12306.0,0.0,2470.0,17422.0,134880.0,1873248.0,196.0,0.0,9200.0,53000.0,50.0,261993.98,684.0,10.0,299016.0,115000.0,97870.0,0.0,1629920.0,1000.0,100.0,3338738.0,351810.0,202222.0,12248.0,47000.0,,187092930.0,,253900.0,15400.0,353418.0,296614.0,60750.0,7366000.0,0.0,1115046.0,2112000.0,14296.0,5254.0,0.0,10700.0,528000.0,13193040.0,115700.0,0.0,,32000.0,0.0,0.0,39360.0,6914.0,10432.0,0.0,3000.0,0.0,,,0.0,13230.0,,36780.0,8534800.0,159646.0,,4900.0,153600.0,0.0,11400.0,23336.0,1773400.0,112720.0,0.0,0.0,0.0,1000.0,82844.0,157776.0,547924.0,0.0,553040.0,189648.0,4592600.0,286600.0,18862400.0,1263496.0,0.0,54.0,488704.0,0.0,979914.0,234.0,5122.0,0.0,3143620.0,56600.0,147200.0
1993,0.0,0.0,954911.0,70390.0,0.0,0.0,859000.0,12803.0,0.0,1161440.0,1722690.0,296821.0,146857.0,,13900.0,,30290.0,75170.0,1002300.0,265.0,0.0,119310.0,,1400679.0,2093.0,24518.0,3586330.0,0.0,862.0,19386.0,0.0,2000.0,6048608.0,179120.0,1835845.0,47355460.0,8875.0,19000.0,55860.0,59500.0,687.0,117610.0,3180.0,9002.0,32599.998,345500.0,,0.0,25306.0,2595860.0,5658100.0,0.0,810.0,446960.0,27622.0,336600.0,52146.0,48430.0,13300.0,0.0,2079034.9,196046.0,339610.0,4616628.0,96983.0,0.0,1545400.0,80.0,19344.0,30000.0,2486800.0,55738.0,50000.0,0.0,41500.0,500.0,1780.0,258.0,37500.0,120991.0,210.0,220.0,27900.0,700.0,0.0,0.0,0.0,89097.0,14400.0,793790.0,1256243.0,6810900.0,430949.0,515669.97,61682.0,10259.0,72600.0,548778.0,8616.0,46900.0,10300200.0,520557.97,152790.0,160969.0,77076.0,1958129.0,3870.0,1598200.0,954.0,3783.0,217000.0,3150.0,320.0,249930.0,8670.0,427552.0,,316710.0,,326170.0,0.0,148980.0,243300.0,0.0,39529.0,3130.0,20000.0,0.0,30706.0,,5789.0,0.0,38000.0,13424.0,0.0,2485.0,17508.0,132770.0,1842532.0,209.0,0.0,9280.0,55500.0,50.0,260361.0,881.0,10.0,300834.0,115000.0,102845.0,0.0,1679320.0,1000.0,100.0,,,205533.0,12732.0,47000.0,,191153000.0,,253900.0,17575.0,398627.0,299611.0,60750.0,7366000.0,0.0,1107569.0,2131500.0,16323.999,5666.0,0.0,10700.0,528000.0,13463960.0,117050.0,0.0,,32000.0,0.0,0.0,38520.0,7031.0,10688.0,0.0,3000.0,0.0,,,0.0,13345.0,743677.0,38170.0,8757700.0,157584.0,,4900.0,156000.0,0.0,11700.0,24669.0,1800100.0,112775.0,0.0,0.0,0.0,1000.0,82576.0,160204.0,548896.0,0.0,553040.0,199487.0,4605400.0,329400.0,19324600.0,1298689.0,0.0,61.0,520060.97,0.0,1097371.0,250.99998,5118.0,0.0,3143620.0,56400.0,143800.0
1994,0.0,0.0,953028.0,70390.0,0.0,0.0,890000.0,12494.0,0.0,1207620.0,1717120.0,298138.0,142016.0,,14200.0,,35720.0,75170.0,992400.0,280.0,0.0,119310.0,,1466382.0,2104.0,26024.0,3595740.0,0.0,926.0,19408.0,0.0,2000.0,6525394.0,178060.0,1899030.0,48423290.0,9600.0,19300.0,55980.0,59500.0,746.0,124480.0,3070.0,11436.0,34600.0,345000.0,,0.0,25628.0,2595030.0,5660800.0,0.0,810.0,446960.0,29826.0,337800.0,54718.0,49970.0,14400.0,0.0,2123650.0,196338.0,339610.0,4692044.0,101054.0,0.0,1551200.0,80.0,19042.0,30000.0,2504400.0,56334.0,50000.0,0.0,42000.0,500.0,1780.0,274.0,50000.0,122068.0,210.0,220.0,29200.0,700.0,0.0,0.0,0.0,88026.0,15200.0,793790.0,1626494.0,7176200.0,447802.0,515669.97,61986.0,11492.0,74800.0,555454.0,8558.0,46900.0,10304600.0,521734.0,152790.0,161592.0,80338.0,1974442.0,4010.0002,1595600.0,902.0,4644.0,217000.0,3150.0,360.0,247630.0,8670.0,433076.0,,317480.0,,328760.0,0.0,149840.0,247400.0,0.0,39562.0,3130.0,25000.0,0.0,30708.0,,6252.0,0.0,38000.0,14542.0,0.0,2500.0,17594.0,130660.0,1811816.0,222.0,0.0,9360.0,58000.0,50.0,258728.0,1078.0,10.0,302652.0,115000.0,107820.0,0.0,1728720.0,1000.0,100.0,,,208844.0,13216.0,47000.0,,195213060.0,,253900.0,19750.0,443836.0,302608.0,60750.0,7366000.0,0.0,1100092.0,2151000.0,18352.0,6078.0,0.0,10700.0,528000.0,13734880.0,118400.0,0.0,,32000.0,0.0,0.0,37680.0,7148.0,10944.0,0.0,3000.0,0.0,,,0.0,13460.0,745306.0,39560.0,8980600.0,155522.0,,4900.0,158400.0,0.0,12000.0,26002.0,1826800.0,112830.0,0.0,0.0,0.0,1000.0,82308.0,162632.0,549868.0,0.0,553040.0,209326.0,4618200.0,372200.0,19786800.0,1333882.0,0.0,68.0,551418.0,0.0,1214828.0,268.0,5114.0,0.0,3143620.0,56200.0,140400.0
1995,0.0,0.0,951145.0,70390.0,0.0,0.0,921000.0,12185.0,0.0,1253800.0,1711550.0,299455.0,137175.0,,14500.0,,41150.0,75170.0,982500.0,295.0,0.0,119310.0,,1532085.0,2115.0,27530.0,3605150.0,0.0,990.0,19430.0,0.0,2000.0,7002180.0,177000.0,1962215.0,49491110.0,10325.0,19600.0,56100.0,59500.0,805.0,131350.0,2960.0,13870.0,36600.0,344500.0,,0.0,25950.0,2594200.0,5663500.0,0.0,810.0,446960.0,32029.998,339000.0,57290.0,51510.0,15500.0,0.0,2168265.0,196630.0,339610.0,4767460.0,105125.0,0.0,1557000.0,80.0,18740.0,30000.0,2522000.0,56930.0,50000.0,0.0,42500.0,500.0,1780.0,290.0,62500.0,123145.0,210.0,220.0,30500.0,700.0,0.0,0.0,0.0,86955.0,16000.0,793790.0,1996745.0,7541500.0,464655.0,515669.97,62290.0,12725.0,77000.0,562130.0,8500.0,46900.0,10309000.0,522909.97,152790.0,162215.0,83600.0,1990755.0,4150.0,1593000.0,850.0,5505.0,217000.0,3150.0,400.0,245330.0,8670.0,438600.0,,318250.0,,331350.0,0.0,150700.0,251500.0,0.0,39595.0,3130.0,30000.0,0.0,30710.0,,6715.0,0.0,38000.0,15660.0,0.0,2515.0,17680.0,128550.0,1781100.0,235.0,0.0,9440.0,60500.0,50.0,257095.0,1275.0,10.0,304470.0,115000.0,112795.0,0.0,1778120.0,1000.0,100.0,,,212155.0,13700.0,47000.0,,199273140.0,,253900.0,21925.0,489045.0,305605.0,60750.0,7366000.0,0.0,1092615.0,2170500.0,20380.0,6490.0,0.0,10700.0,528000.0,14005800.0,119750.0,0.0,,32000.0,0.0,0.0,36840.0,7265.0,11200.0,0.0,3000.0,0.0,,,0.0,13575.0,746935.0,40950.0,9203500.0,153460.0,,4900.0,160800.0,0.0,12300.0,27335.0,1853500.0,112885.0,0.0,0.0,0.0,1000.0,82040.0,165060.0,550840.0,0.0,553040.0,219165.0,4631000.0,415000.0,20249000.0,1369075.0,0.0,75.0,582775.0,0.0,1332285.0,285.0,5110.0,0.0,3143620.0,56000.0,137000.0
1996,0.0,0.0,949262.0,70390.0,0.0,0.0,952000.0,11876.0,0.0,1299980.0,1705980.0,300772.0,132334.0,,14800.0,,46580.0,75170.0,972600.0,310.0,0.0,119310.0,,1597788.0,2126.0,29036.0,3614560.0,0.0,1054.0,19452.0,0.0,2000.0,7478966.0,175940.0,2025400.0,50558940.0,11050.0,19900.0,56220.0,59500.0,864.0,138220.0,2850.0,16304.001,38600.0,344000.0,,0.0,26272.0,2593370.0,5666200.0,0.0,810.0,446960.0,34234.0,340200.0,59862.0,53050.0,16600.0,0.0,2212880.0,196922.0,339610.0,4842876.0,109196.0,0.0,1562800.0,80.0,18438.0,30000.0,2539600.0,57526.0,50000.0,0.0,43000.0,500.0,1780.0,306.0,75000.0,124222.0,210.0,220.0,31800.0,700.0,0.0,0.0,0.0,85884.0,16800.0,793790.0,2366996.0,7906800.0,481508.0,515669.97,62594.0,13958.0,79200.0,568806.0,8442.0,46900.0,10313400.0,524086.0,152790.0,162838.0,86862.0,2007068.0,4290.0,1590400.0,798.0,6366.0,217000.0,3150.0,440.0,243030.0,8670.0,444124.0,,319020.0,,333940.0,0.0,151560.0,255600.0,0.0,39628.0,3130.0,35000.0,0.0,30712.0,,7178.0,0.0,38000.0,16778.0,0.0,2530.0,17766.0,126440.0,1750384.0,248.0,0.0,9520.0,63000.0,50.0,255462.0,1472.0,10.0,306288.0,115000.0,117770.0,0.0,1827520.0,1000.0,100.0,,,215466.0,14184.0,47000.0,,203333200.0,,253900.0,24100.0,534254.0,308602.0,60750.0,7366000.0,0.0,1085138.0,2190000.0,22408.0,6902.0,0.0,10700.0,528000.0,14276720.0,121100.0,0.0,,32000.0,0.0,0.0,36000.0,7382.0,11456.0,0.0,3000.0,0.0,,,0.0,13690.0,748564.0,42340.0,9426400.0,151398.0,,4900.0,163200.0,0.0,12600.0,28668.0,1880200.0,112940.0,0.0,0.0,0.0,1000.0,81772.0,167488.0,551812.0,0.0,553040.0,229004.0,4643800.0,457800.0,20711200.0,1404268.0,0.0,82.0,614132.0,0.0,1449742.0,302.0,5106.0,0.0,3143620.0,55800.0,133600.0
1997,0.0,0.0,947379.0,70390.0,0.0,0.0,983000.0,11567.0,0.0,1346160.0,1700410.0,302089.0,127493.0,,15100.0,,52010.0,75170.0,962700.0,325.0,0.0,119310.0,,1663491.0,2137.0,30542.0,3623970.0,0.0,1118.0,19474.0,0.0,2000.0,7955752.0,174880.0,2088585.0,51626770.0,11775.0,20200.0,56340.0,59500.0,923.0,145090.0,2740.0,18738.0,40600.0,343500.0,,0.0,26594.0,2592540.0,5668900.0,0.0,810.0,446960.0,36438.0,341400.0,62434.0,54590.0,17700.0,0.0,2257495.0,197214.0,339610.0,4918292.0,113267.0,0.0,1568600.0,80.0,18136.0,30000.0,2557200.0,58122.0,50000.0,0.0,43500.0,500.0,1780.0,322.0,87500.0,125299.0,210.0,220.0,33100.0,700.0,0.0,0.0,0.0,84813.0,17600.0,793790.0,2737247.0,8272099.5,498361.0,515669.97,62898.0,15191.0,81400.0,575482.0,8384.0,46900.0,10317800.0,525262.0,152790.0,163461.0,90124.0,2023381.0,4430.0,1587800.0,746.0,7227.0,217000.0,3150.0,480.0,240730.0,8670.0,449648.0,,319790.0,,336530.0,0.0,152420.0,259700.02,0.0,39661.0,3130.0,40000.0,0.0,30714.0,,7641.0,0.0,38000.0,17896.0,0.0,2545.0,17852.0,124330.0,1719668.0,261.0,0.0,9600.0,65500.0,50.0,253829.0,1669.0,10.0,308106.0,115000.0,122745.0,0.0,1876920.0,1000.0,100.0,,,218777.0,14668.0,47000.0,,207393280.0,,253900.0,26275.0,579463.0,311599.0,60750.0,7366000.0,0.0,1077661.0,2209500.0,24436.0,7314.0,0.0,10700.0,528000.0,14547640.0,122450.0,0.0,,32000.0,0.0,0.0,35160.0,7499.0,11712.0,0.0,3000.0,0.0,,,0.0,13805.0,750193.0,43730.0,9649300.0,149336.0,,4900.0,165600.0,0.0,12900.0,30001.0,1906900.0,112995.0,0.0,0.0,0.0,1000.0,81504.0,169916.0,552784.0,0.0,553040.0,238843.0,4656600.0,500600.0,21173400.0,1439461.0,0.0,89.0,645489.0,0.0,1567199.0,319.0,5102.0,0.0,3143620.0,55600.0,130200.0
1998,0.0,0.0,945496.0,70390.0,0.0,0.0,1014000.0,11258.0,0.0,1392340.0,1694840.0,303406.0,122652.0,,15400.0,,57440.0,75170.0,952800.0,340.0,0.0,119310.0,,1729194.0,2148.0,32048.0,3633380.0,0.0,1182.0,19496.0,0.0,2000.0,8432538.0,173820.0,2151770.0,52694596.0,12500.0,20500.0,56460.0,59500.0,982.0,151960.0,2630.0,21172.0,42600.0,343000.0,,0.0,26916.0,2591710.0,5671600.0,0.0,810.0,446960.0,38642.0,342600.0,65005.996,56130.0,18800.0,0.0,2302110.0,197506.0,339610.0,4993708.0,117338.0,0.0,1574400.0,80.0,17834.0,30000.0,2574800.0,58718.0,50000.0,0.0,44000.0,500.0,1780.0,338.0,100000.0,126376.0,210.0,220.0,34400.0,700.0,0.0,0.0,0.0,83742.0,18400.0,793790.0,3107498.0,8637400.0,515214.0,515669.97,63202.0,16424.0,83600.0,582158.0,8326.0,46900.0,10322200.0,526438.0,152790.0,164084.0,93386.0,2039694.0,4570.0,1585200.0,694.0,8088.0005,217000.0,3150.0,520.0,238430.0,8670.0,455172.0,,320560.0,,339120.0,0.0,153280.0,263800.0,0.0,39694.0,3130.0,45000.0,0.0,30716.0,,8104.0,0.0,38000.0,19014.0,0.0,2560.0,17938.0,122220.0,1688952.0,274.0,0.0,9680.0,68000.0,50.0,252196.0,1866.0,10.0,309924.0,115000.0,127720.0,0.0,1926320.0,1000.0,100.0,,,222088.0,15152.0,47000.0,,211453340.0,,253900.0,28450.0,624672.0,314596.0,60750.0,7366000.0,0.0,1070184.0,2229000.0,26464.0,7726.0,0.0,10700.0,528000.0,14818560.0,123800.0,0.0,,32000.0,0.0,0.0,34320.0,7616.0,11968.0,0.0,3000.0,0.0,,,0.0,13920.0,751822.0,45120.0,9872200.0,147274.0,,4900.0,168000.0,0.0,13200.0,31334.0,1933600.0,113050.0,0.0,0.0,0.0,1000.0,81236.0,172344.0,553756.0,0.0,553040.0,248682.0,4669400.0,543400.0,21635600.0,1474654.0,0.0,96.0,676846.0,0.0,1684656.0,336.0,5098.0,0.0,3143620.0,55400.0,126800.0
1999,0.0,0.0,943613.0,70390.0,0.0,0.0,1045000.0,10949.0,0.0,1438520.0,1689270.0,304723.0,117811.0,,15700.0,,62870.0,75170.0,942900.0,355.0,0.0,119310.0,,1794897.0,2159.0,33554.0,3642790.0,0.0,1246.0,19518.0,0.0,2000.0,8909324.0,172760.0,2214955.0,53762420.0,13225.0,20800.0,56580.0,59500.0,1041.0,158830.0,2520.0,23606.0,44600.0,342500.0,,0.0,27238.0,2590880.0,5674300.0,0.0,810.0,446960.0,40846.0,343800.0,67578.0,57670.0,19900.0,0.0,2346725.0,197798.0,339610.0,5069124.0,121409.0,0.0,1580200.0,80.0,17532.0,30000.0,2592400.0,59314.0,50000.0,0.0,44500.0,500.0,1780.0,354.0,112500.0,127453.0,210.0,220.0,35700.0,700.0,0.0,0.0,0.0,82671.0,19200.0,793790.0,3477749.0,9002700.0,532067.0,515669.97,63506.0,17657.0,85800.0,588834.0,8268.0,46900.0,10326600.0,527614.0,152790.0,164707.0,96648.0,2056007.1,4710.0,1582600.0,642.0,8949.0,217000.0,3150.0,560.0,236130.0,8670.0,460696.0,,321330.0,,341710.0,0.0,154140.0,267900.0,0.0,39727.0,3130.0,50000.0,0.0,30718.0,,8567.0,0.0,38000.0,20132.0,0.0,2575.0,18024.0,120110.0,1658236.0,287.0,0.0,9760.0,70500.0,50.0,250563.0,2063.0,10.0,311742.0,115000.0,132695.0,0.0,1975720.0,1000.0,100.0,,,225399.0,15636.0,47000.0,,215513420.0,,253900.0,30625.0,669881.0,317593.0,60750.0,7366000.0,0.0,1062707.0,2248500.0,28492.0,8137.9995,0.0,10700.0,528000.0,15089480.0,125150.0,0.0,,32000.0,0.0,0.0,33480.0,7733.0,12224.0,0.0,3000.0,0.0,,,0.0,14035.0,753451.0,46510.0,10095100.0,145212.0,,4900.0,170400.0,0.0,13500.0,32667.0,1960300.0,113105.0,0.0,0.0,0.0,1000.0,80968.0,174772.0,554728.0,0.0,553040.0,258521.0,4682200.0,586200.0,22097800.0,1509847.0,0.0,103.0,708203.0,0.0,1802113.0,353.0,5094.0,0.0,3143620.0,55200.0,123400.0
2000,0.0,0.0,941730.0,70390.0,0.0,0.0,1076000.0,10640.0,0.0,1484700.0,1683700.0,306040.0,112970.0,407900.0,16000.0,,68300.0,75170.0,933000.0,370.0,0.0,119310.0,,1860600.0,2170.0,35060.0,3652200.0,0.0,1310.0,19540.0,0.0,2000.0,9386110.0,171700.0,2278140.0,54830250.0,13950.0,21100.0,56700.0,59500.0,1100.0,165700.0,2410.0,26040.0,46600.0,342000.0,,0.0,27560.0,2590050.0,5677000.0,0.0,810.0,446960.0,43050.0,345000.0,70150.0,59210.0,21000.0,0.0,2391340.0,198090.0,339610.0,5144540.0,125480.0,0.0,1586000.0,80.0,17230.0,30000.0,2610000.0,59910.0,50000.0,0.0,45000.0,500.0,1780.0,370.0,125000.0,128530.0,210.0,220.0,37000.0,700.0,0.0,0.0,0.0,81600.0,20000.0,793790.0,3848000.0,9368000.0,548920.0,515669.97,63810.0,18890.0,88000.0,595510.0,8210.0,46900.0,10331000.0,528790.0,152790.0,165330.0,99910.0,2072320.1,4850.0,1580000.0,590.0,9810.0,217000.0,3150.0,600.0,233830.0,8670.0,466220.0,28000.0,322100.0,,344300.0,0.0,155000.0,272000.0,0.0,39760.0,3130.0,55000.0,0.0,30720.0,,9030.0,0.0,38000.0,21250.0,0.0,2590.0,18110.0,118000.0,1627520.0,300.0,0.0,9840.0,73000.0,50.0,248930.0,2260.0,10.0,313560.0,115000.0,137670.0,0.0,2025120.0,1000.0,100.0,,,228710.0,16120.001,47000.0,,219573490.0,,253900.0,32800.0,715090.0,320590.0,60750.0,7366000.0,0.0,1055230.0,2268000.0,30520.0,8550.0,0.0,10700.0,528000.0,15360400.0,126500.0,0.0,,32000.0,0.0,0.0,32640.0,7850.0,12480.0,0.0,3000.0,0.0,,,0.0,14150.0,755080.0,47900.0,10318000.0,143150.0,,4900.0,172800.0,0.0,13800.0,34000.0,1987000.0,113160.0,0.0,0.0,0.0,1000.0,80700.0,177200.0,555700.0,0.0,553040.0,268360.0,4695000.0,629000.0,22560000.0,1545040.0,0.0,110.0,739560.0,0.0,1919570.0,370.0,5090.0,0.0,3143620.0,55000.0,120000.0
2001,0.0,0.0,935003.0,70390.0,0.0,0.0,1087100.0,11632.0,0.0,1553020.0,1683260.0,304346.0,112970.0,407747.0,16400.0,,73740.0,74846.0,921400.0,385.0,0.0,119310.0,,1889168.0,2181.0,36567.0,4019810.0,0.0,1550.0,19561.0,0.0,2000.0,9849074.0,170583.0,2333365.0,56679640.0,13950.0,23100.0,56800.0,59500.0,1100.0,187260.0,2300.0,26340.0,48600.0,357400.0,,0.0,27873.0,2588009.0,5679750.0,0.0,810.0,446960.0,49775.0,360300.0,71617.0,59853.0,21750.0,0.0,2411855.0,198949.0,379720.0,5320923.0,129550.0,0.0,1634700.0,80.0,16928.0,30000.0,2620500.0,61116.0,66998.0,0.0,45700.0,500.0,1780.0,404.0,125000.0,129567.0,210.0,220.0,44468.0,700.0,0.0,0.0,0.0,80924.0,20800.0,793790.0,3881850.0,9709069.0,557986.0,558203.0,64128.996,20331.0,88000.0,599385.0,8218.0,46900.0,10327100.0,520356.03,152790.0,167273.0,105372.0,2088633.0,4990.0,1581575.0,565.0,10671.0,217000.0,3150.0,600.0,231029.0,8670.0,473175.0,28200.0,330656.0,,362180.0,0.0,160700.0,286300.0,0.0,42435.0,3130.0,102500.0,0.0,58172.0,,9139.0,0.0,39664.0,22368.0,0.0,2599.0,18104.0,115880.0,1595659.0,316.0,0.0,9895.0,75500.0,50.0,247297.0,3630.0,10.0,315465.0,115000.0,145963.0,0.0,2025040.0,1000.0,112.0,,,232236.0,16224.001,61140.0,,224703090.0,,253900.0,35109.0,740573.0,323586.0,60750.0,7366000.0,0.0,1051760.0,2263400.0,32548.0,8641.0,0.0,10700.0,529200.0,15785650.0,127651.0,0.0,,32000.0,0.0,0.0,32041.0,8523.0,12737.0,0.0,3000.0,0.0,,,0.0,14150.0,753692.0,49830.0,10534300.0,141089.0,,4900.0,175160.0,0.0,14190.0,35333.0,2112500.0,113160.0,0.0,0.0,0.0,1000.0,80700.0,179252.0,562331.0,0.0,553040.0,278200.0,4707200.0,664010.0,22860400.0,1575763.0,0.0,118.0,764526.0,0.0,2035939.0,387.0,5086.0,0.0,3143620.0,54947.0,118800.0
