Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LVA,MAR,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNP,MOZ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CIS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SRB,SSD,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5700.0,650.0,0.0,0.0,0.0,0.0,0.0,49237.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2975.0,0.0,80.0,958506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19810.0,0.0,6045.0,0.0,0.0,0.0,4600.0,0.0,6300.0,0.0,0.0,0.0,0.0,111100.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,10000.0,80639.0,44843.0,2100.0,0.0,0.0,0.0,9271.0,2794.0,0.0,0.0,308044.0,0.0,380.0,0.0,0.0,0.0,0.0,18637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,7841.0,0.0,0.0,0.0,2005.0,0.0,77600.0,1900.0,0.0,0.0,2800.0,0.0,0.0,2047815.0,1170.0,0.0,0.0,60769.0,0.0,0.0,8100.0,0.0,5236.0,0.0,0.0,0.0,0.0,0.0,13700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,31545.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,104421.0,0.0,0.0,0.0,0.0,0.0,37660.0,0.0,0.0,0.0,0.0,0.0,0.0
1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,660.0,0.0,0.0,0.0,0.0,0.0,50569.0,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2990.0,0.0,80.0,777762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16670.0,0.0,7538.0,0.0,0.0,0.0,5200.0,0.0,8000.0,0.0,0.0,0.0,0.0,116700.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,665.0,0.0,0.0,0.0,12500.0,86172.0,49359.0,900.0,0.0,0.0,0.0,10054.0,4776.0,0.0,0.0,347634.0,0.0,410.0,0.0,0.0,0.0,0.0,17404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,7911.0,0.0,0.0,0.0,2173.0,0.0,85400.0,900.0,0.0,0.0,1000.0,0.0,0.0,1955924.0,1270.0,0.0,0.0,61575.0,0.0,0.0,8700.0,0.0,6287.0,0.0,0.0,0.0,0.0,0.0,14400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,0.0,0.0,0.0,0.0,0.0,0.0,41436.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,102547.0,0.0,0.0,0.0,0.0,0.0,40320.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5800.0,670.0,0.0,0.0,0.0,0.0,0.0,51944.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3100.0,0.0,90.0,741121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12520.0,0.0,7700.0,0.0,0.0,0.0,5200.0,0.0,56600.0,0.0,0.0,0.0,0.0,106900.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,690.0,0.0,0.0,0.0,13750.0,89263.0,54368.0,500.0,0.0,0.0,0.0,9985.0,6531.0,0.0,0.0,389701.0,0.0,360.0,0.0,0.0,0.0,0.0,23901.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,9968.0,0.0,0.0,0.0,2361.0,0.0,96500.0,200.0,0.0,0.0,2600.0,0.0,0.0,2031135.0,1360.0,0.0,0.0,62314.0,0.0,0.0,7500.0,0.0,7556.0,0.0,0.0,0.0,0.0,0.0,13700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,0.0,0.0,0.0,0.0,0.0,0.0,41893.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,109961.0,0.0,0.0,0.0,0.0,0.0,43040.0,0.0,0.0,0.0,0.0,0.0,0.0
1963,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5900.0,600.0,0.0,0.0,0.0,0.0,0.0,53362.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3215.0,0.0,100.0,856931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12680.0,0.0,7824.0,0.0,0.0,0.0,6000.0,0.0,64200.0,0.0,0.0,0.0,0.0,110000.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,15150.0,88224.0,59927.0,1100.0,0.0,0.0,0.0,11282.0,8001.0,0.0,0.0,419315.0,0.0,380.0,0.0,0.0,0.0,0.0,80479.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,21941.0,0.0,0.0,0.0,2547.0,0.0,89700.0,100.0,0.0,0.0,1900.0,0.0,0.0,2278131.0,1470.0,0.0,0.0,63070.0,0.0,0.0,8800.0,0.0,9229.0,0.0,0.0,0.0,0.0,0.0,13500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838.0,0.0,0.0,0.0,0.0,0.0,0.0,39525.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,122697.0,0.0,0.0,0.0,0.0,0.0,45750.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5800.0,680.0,0.0,0.0,0.0,0.0,0.0,54824.0,4100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3230.0,0.0,110.0,1017083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13830.0,0.0,8263.0,0.0,0.0,0.0,7000.0,0.0,65200.0,0.0,0.0,0.0,0.0,98220.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,530.0,0.0,0.0,0.0,0.0,1390.0,0.0,0.0,0.0,16100.0,93148.0,66096.0,1000.0,0.0,0.0,0.0,11812.0,9893.0,0.0,0.0,399167.0,0.0,430.0,0.0,0.0,0.0,0.0,72557.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,21302.0,0.0,0.0,0.0,2730.0,0.0,115800.0,601.0,0.0,0.0,1900.0,0.0,0.0,2464211.0,1580.0,0.0,0.0,63885.0,0.0,0.0,10600.0,0.0,11410.0,0.0,0.0,0.0,0.0,0.0,14010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,40474.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,123884.0,0.0,0.0,0.0,0.0,0.0,48540.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6600.0,730.0,0.0,0.0,0.0,0.0,0.0,58030.0,5100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3242.0,0.0,120.0,1159540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14490.0,0.0,10809.0,0.0,0.0,0.0,6200.0,0.0,66900.0,0.0,0.0,50.0,0.0,111650.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,1279.0,0.0,0.0,0.0,17280.0,93898.0,72947.0,1100.0,0.0,0.0,0.0,11673.0,11813.0,0.0,0.0,412523.0,0.0,399.0,0.0,0.0,0.0,0.0,73350.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,21508.0,0.0,0.0,0.0,2904.0,0.0,110500.0,202.0,0.0,0.0,2400.0,0.0,0.0,2664490.0,1700.0,0.0,0.0,65613.0,0.0,0.0,9700.0,0.0,14143.0,1.0,0.0,0.0,0.0,0.0,13850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0,0.0,0.0,0.0,0.0,0.0,0.0,42112.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,132578.0,0.0,0.0,0.0,0.0,0.0,51330.0,0.0,0.0,0.0,0.0,0.0,0.0
1966,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6800.0,750.0,0.0,0.0,0.0,0.0,0.0,57897.0,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3258.0,0.0,230.0,1320775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19950.0,0.0,10135.0,0.0,0.0,0.0,5900.0,0.0,65300.0,0.0,0.0,190.0,0.0,102700.0,0.0,0.0,200.0,0.0,4.0,0.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,0.0,1138.0,0.0,0.0,0.0,18590.0,104339.0,80561.0,900.0,0.0,0.0,0.0,10526.0,13573.0,0.0,0.0,442172.0,0.0,370.0,0.0,0.0,0.0,0.0,91626.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,26709.0,0.0,0.0,0.0,3084.0,0.0,92400.0,204.0,3.0,0.0,2300.0,0.0,0.0,2878194.0,1840.0,0.0,0.0,66323.0,0.0,0.0,10109.0,0.0,17841.0,3.0,0.0,0.0,0.0,0.0,14300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0,0.0,0.0,0.0,0.0,0.0,0.0,51800.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,114236.0,0.0,0.0,0.0,0.0,0.0,54130.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,7300.0,790.0,0.0,0.0,0.0,0.0,0.0,59519.0,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3275.0,0.0,144.0,1315911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,20600.0,0.0,10638.0,0.0,0.0,0.0,5600.0,0.0,52000.0,0.0,0.0,390.0,0.0,115255.0,0.0,0.0,200.0,0.0,10.0,0.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.0,1169.0,0.0,0.0,0.0,19230.0,112101.0,89022.0,1300.0,0.0,0.0,0.0,9637.0,16711.0,0.0,0.0,513304.0,0.0,360.0,0.0,0.0,0.0,0.0,96450.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,29211.0,0.0,0.0,0.0,3265.0,0.0,85600.0,318.0,9.0,0.0,1800.0,0.0,0.0,2996726.0,1980.0,0.0,0.0,66880.0,0.0,0.0,9927.0,0.0,24690.0,8.0,0.0,0.0,0.0,0.0,17900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.0,0.0,0.0,0.0,0.0,0.0,0.0,54769.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,127299.0,0.0,0.0,2.0,0.0,0.0,56850.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,7500.0,740.0,0.0,0.0,0.0,0.0,0.0,59460.0,5900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3394.0,0.0,183.0,1306208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,22160.0,0.0,12178.0,0.0,0.0,0.0,5600.0,0.0,69700.0,0.0,0.0,600.0,0.0,108610.0,0.0,0.0,200.0,0.0,20.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,0.0,0.0,1852.0,0.0,0.0,0.0,19800.0,104175.0,98471.0,2600.0,0.0,0.0,0.0,10827.0,20473.0,0.0,0.0,574487.0,0.0,317.0,0.0,0.0,0.0,0.0,105769.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,520.0,0.0,0.0,0.0,0.0,0.0,29408.0,0.0,0.0,0.0,3434.0,0.0,113600.0,365.0,18.0,0.0,1800.0,0.0,0.0,3172722.0,2130.0,0.0,5.0,100035.0,0.0,0.0,12464.0,0.0,40218.0,16.0,0.0,0.0,0.0,0.0,14400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.0,0.0,0.0,1.0,0.0,0.0,0.0,63673.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,131115.0,0.0,0.0,5.0,0.0,0.0,59580.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,0.0,60.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,7500.0,800.0,0.0,0.0,0.0,0.0,0.0,62927.0,5800.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3405.0,0.0,201.0,1513849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,19814.0,0.0,11147.0,0.0,0.0,10.0,5900.0,0.0,95800.0,0.0,0.0,800.0,0.0,104725.0,0.0,0.0,200.0,0.0,46.0,0.0,0.0,0.0,0.0,950.0,0.0,0.0,0.0,0.0,2140.0,0.0,0.0,0.0,20300.0,105690.0,109321.0,3000.0,0.0,2.0,0.0,11180.0,22748.0,0.0,0.0,526565.0,0.0,293.0,0.0,0.0,0.0,0.0,80605.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,620.0,0.0,0.0,0.0,0.0,0.0,30802.0,0.0,0.0,0.0,3613.0,0.0,105900.0,427.0,26.0,0.0,1300.0,0.0,0.0,3353912.0,2300.0,0.0,15.0,99251.0,0.0,0.0,12905.0,0.0,55844.0,24.0,0.0,0.0,0.0,0.0,15400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544.0,0.0,0.0,4.0,0.0,0.0,0.0,72390.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,116768.0,0.0,0.0,15.0,0.0,0.0,62440.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,0.0,60.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,7021.0,870.0,0.0,0.0,0.0,0.0,0.0,64716.0,5600.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,3591.0,0.0,183.0,1480670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,23477.0,0.0,9272.0,0.0,0.0,50.0,6000.0,0.0,156200.0,0.0,0.0,999.0,0.0,106444.0,0.0,0.0,444.0,0.0,94.0,0.0,0.0,0.0,0.0,1040.0,0.0,0.0,0.0,0.0,3113.0,0.0,0.0,0.0,19500.0,108706.0,121671.0,3701.0,0.0,10.0,0.0,12815.0,28632.0,0.0,0.0,597395.0,0.0,240.0,0.0,0.0,0.0,0.0,124058.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,540.0,0.0,0.0,0.0,0.0,730.0,0.0,0.0,0.0,0.0,0.0,34296.0,0.0,0.0,0.0,3809.0,0.0,86000.0,480.0,68.0,0.0,1400.0,0.0,0.0,3607571.0,2500.0,0.0,40.0,101651.0,0.0,0.0,9833.0,0.0,71743.0,47.0,0.0,0.0,0.0,0.0,18850.0,0.0,0.0,0.0,0.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,0.0,0.0,8.0,0.0,0.0,0.0,80876.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,168681.0,0.0,0.0,20.0,0.0,0.0,65350.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,0.0,60.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,9800.0,960.0,0.0,0.0,0.0,0.0,0.0,68080.0,5300.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,3893.0,0.0,212.0,1790968.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0,20636.0,0.0,11910.0,0.0,0.0,50.0,7000.0,0.0,146700.0,0.0,0.0,1201.0,0.0,85280.0,0.0,0.0,516.0,0.0,122.0,0.0,0.0,0.0,0.0,975.0,0.0,0.0,0.0,0.0,3287.0,0.0,0.0,0.0,19000.0,114121.0,136697.0,4906.0,60.0,100.0,0.0,13626.0,35443.0,0.0,0.0,658832.0,0.0,220.0,0.0,0.0,0.0,0.0,151885.0,0.0,216.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,35.0,0.0,0.0,660.0,0.0,0.0,0.0,0.0,860.0,0.0,0.0,0.0,0.0,0.0,31287.0,0.0,0.0,0.0,3993.0,0.0,95700.0,531.0,118.0,0.0,1900.0,0.0,0.0,4058721.0,2700.0,0.0,54.0,105699.0,0.0,0.0,10365.0,0.0,88133.0,79.0,0.0,0.0,0.0,0.0,22000.0,0.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,10.0,0.0,0.0,0.0,89384.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,0.0,0.0,0.0,0.0,165590.0,0.0,0.0,30.0,0.0,0.0,68360.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,0.0,60.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,10400.0,1080.0,0.0,0.0,0.0,0.0,0.0,68508.0,4600.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,4561.0,5.0,258.0,1987611.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,25103.0,0.0,13914.0,0.0,0.0,200.0,8000.0,0.0,164300.0,0.0,0.0,1403.0,0.0,128308.0,0.0,0.0,213.0,0.0,142.0,0.0,0.0,0.0,0.0,1080.0,0.0,0.0,0.0,0.0,3619.0,0.0,0.0,0.0,22600.0,118952.0,153958.0,5512.0,155.0,500.0,0.0,14095.0,31224.0,0.0,0.0,703271.0,0.0,170.0,0.0,0.0,0.0,0.0,163955.0,0.0,272.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,41.0,0.0,0.0,709.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,32578.0,0.0,0.0,0.0,4183.0,0.0,116200.0,924.0,197.0,0.0,2900.0,0.0,0.0,4435236.0,2900.0,0.0,117.0,107424.0,0.0,0.0,13204.0,0.0,105263.0,119.0,0.0,0.0,0.0,0.0,28710.0,0.0,0.0,0.0,0.0,200.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,15.0,0.0,0.0,0.0,52748.0,0.0,0.0,0.0,0.0,0.0,0.0,530.0,0.0,0.0,0.0,0.0,0.0,173630.0,0.0,0.0,45.0,0.0,0.0,71230.0,0.0,0.0,0.0,0.0,0.0,2.0
1973,0.0,60.0,0.0,3.0,0.0,31.0,0.0,0.0,0.0,9200.0,1300.0,0.0,0.0,0.0,0.0,0.0,70525.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,5333.0,10.0,370.0,1823366.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,680.0,0.0,0.0,0.0,0.0,29169.0,0.0,13176.0,0.0,0.0,513.0,9000.0,0.0,166900.0,0.0,0.0,1200.0,0.0,127366.0,0.0,0.0,401.0,0.0,168.0,0.0,0.0,0.0,0.0,1230.0,0.0,0.0,0.0,0.0,4010.0,0.0,0.0,0.0,21626.0,129830.0,173080.0,3423.0,311.0,1000.0,0.0,14283.0,29074.0,0.0,0.0,854553.0,0.0,180.0,0.0,0.0,0.0,0.0,265546.0,0.0,344.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,47.0,0.0,0.0,1984.0,0.0,0.0,0.0,0.0,1160.0,0.0,0.0,0.0,0.0,0.0,42867.0,0.0,0.0,0.0,4407.0,0.0,113000.0,1172.0,314.0,0.0,2700.0,0.0,0.0,4605380.0,3100.0,0.0,180.0,110975.0,0.0,0.0,13805.0,0.0,123457.0,155.0,0.0,0.0,0.0,0.0,27850.0,0.0,0.0,0.0,0.0,200.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0,20.0,0.0,0.0,0.0,42574.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,170320.0,0.0,0.0,75.0,0.0,0.0,74250.0,0.0,0.0,0.0,0.0,0.0,12.0
1974,0.0,60.0,0.0,45.0,0.0,36.0,0.0,0.0,0.0,10484.0,1220.0,0.0,0.0,0.0,0.0,0.0,70970.0,5800.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,4583.0,15.0,443.0,1975622.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,810.0,0.0,0.0,41.0,0.0,35783.0,0.0,12190.0,0.0,0.0,1030.0,9000.0,0.0,173927.0,0.0,0.0,1800.0,0.0,137010.0,0.0,0.0,556.0,0.0,181.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,4287.0,2.0,0.0,0.0,21791.0,136244.0,192321.0,3809.0,887.0,1800.0,0.0,12416.0,41786.0,0.0,0.0,946292.0,0.0,160.0,0.0,0.0,0.0,0.0,343865.0,0.0,432.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,53.0,0.0,0.0,1826.0,0.0,0.0,0.0,0.0,1330.0,0.0,0.0,0.0,0.0,2.0,51946.0,0.0,0.0,0.0,4630.0,0.0,98719.0,2327.0,401.0,0.0,2538.0,0.0,0.0,5054032.0,3300.0,0.0,254.0,140073.0,0.0,0.0,13512.0,0.0,143138.0,203.0,0.0,0.0,0.0,0.0,33544.0,0.0,0.0,0.0,0.0,98.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,0.0,0.0,20.0,0.0,0.0,0.0,47884.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,0.0,0.0,0.0,0.0,0.0,167039.0,0.0,0.0,101.0,0.0,0.0,77220.0,0.0,0.0,0.0,9.0,0.0,22.0
