Date,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,MYT,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CZS,OWID_ERE,OWID_SRM,OWID_USS,OWID_WRL,OWID_YGS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SMR,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VIR,VNM,VUT,WLF,WSM,YEM,ZAF,ZMB,ZWE
-10000,,0.02259479,0.00030400258,,0.043759122,0.05319149,,0.005758941,0.010220012,0.3376888,,0.0022727272,0.040886533,0.017753271,0.24905021,0.022741433,0.029326288,0.022676481,,0.013442983,0.07374971,0.010731393,0.097468354,,0.045878906,0.10125154,0.008768084,,0.09666574,0.04965435,,0.0015180266,0.0010749869,4.9406244e-05,0.0036357509,0.0019637716,0.012832315,0.04680229,0.023147224,0.0151132075,0.0068202494,0.009662338,0.0058477307,,0.116113566,,,0.041421857,0.0023217727,,,0.09978355,0.0090300385,0.018821374,0.0061691115,,0.0135,0.01588437,0.0050761187,0.2805806,0.013730474,0.02559467,,0.036461454,0.00065497076,0.014439496,0.0013851068,,,0.030654343,0.005839416,,0.0013428028,0.009048072,0.36185062,0.017637001,,0.010141625,0.0074074073,0.00256917,0.0068990043,0.07304813,0.0038324283,0.011764706,,0.48663682,,,2.5400052e-05,1.4838095,0.11967111,0.021408148,,0.023109796,0.011080785,,0.028524918,0.0032515605,0.023482896,0.082906425,7.9341466e-05,0.5515712,0.04280444,,0.12811677,0.014271605,0.040178172,0.017770672,0.14781022,0.059217084,,,0.110512294,0.05117845,0.046685442,2.0049853,0.028332641,0.003941939,0.008196721,8.51875,0.52072424,0.004808959,0.00071873504,0.30724886,0.00061063794,,,0.038879678,,0.34018806,1.0312822e-05,,0.41711515,,0.028747026,0.0031724568,,0.03033386,,0.009601883,,0.0027404055,0.002905792,,,,0.029295715,0.0022949323,,5.344411e-05,0.00016411378,0.007533749,0.019000405,0.25538474,,0.036234036,0.0006506163,0.7492501,,,0.008542811,,,0.04277451,0.033169262,0.03458537,,0.011026359,0.19401456,0.18923204,0.054150317,,0.021406174,0.0022835676,,0.08946931,0.07816116,0.008809464,,,0.0005221932,,0.012165334,0.015733836,0.0218484,0.008065815,0.0063506425,0.003812393,,,,0.0010667775,0.41858107,,0.005531291,,,,0.0020833334,1.9230769e-05,0.034920964,0.06495699,0.00058190414,0.0051162792,,,0.1466427,,0.007689009,0.06013973,0.02742469,0.17762087,,0.041965824,0.026025554,,,0.03113414,0.05133116,,0.15755436,0.008917362,0.065744065,0.17050914,0.009741744,0.025577595,0.23216908,,,0.078675814,,,0.06836955,,,,0.0018580601,7.4190706e-05,0.0008985862,0.001936151
-9000,,0.031284977,0.0005077404,,0.072956204,0.07234043,,0.008645452,0.011510256,0.39395854,,0.006818182,0.040886533,0.019692196,0.2905626,0.030334892,0.044022456,0.03779709,,0.020164473,0.25269264,0.019675756,0.14556962,9.99001e-05,0.072890624,0.118127614,0.010960105,,0.10740607,0.065171435,,0.0018975332,0.001363398,0.000100576995,0.0054544285,0.0021820064,0.016046721,0.048047695,0.038578708,0.021160377,0.010230374,0.0123826135,0.007795022,,0.14514196,,,0.062142577,0.0028998074,,,0.16623376,0.018073032,0.028232062,0.009275237,,0.027,0.019860722,0.008460198,0.31175712,0.020366669,0.031989206,,0.051047236,0.0013099415,0.020215826,0.0018490024,,,0.04430589,0.008029197,,0.0020142042,0.012668954,0.42216146,0.0264577,,0.015216507,0.015432099,0.003458498,0.010348506,0.0913369,0.004608223,0.026470589,,0.5407055,,,5.0800103e-05,2.4723809,0.13296095,0.03786633,,0.03081306,0.013851113,,0.056219414,0.006503121,0.031404622,0.09211569,0.00015868293,0.7814695,0.05707822,,0.16307408,0.021407407,0.046874844,0.02214745,0.17244525,0.08587129,,,0.13813524,0.076767676,0.058357887,2.8069403,0.04249377,0.0059129093,0.018032787,9.7375,0.65090525,0.007213439,0.0014374701,0.46106753,0.0012373453,,,0.058319516,,0.3969063,1.7188037e-05,,0.52139354,,0.047938146,0.0047590947,,0.033704627,,0.012817278,,0.0038378392,0.003874066,,,,0.036699194,0.0028671436,,0.00010810285,0.00032822756,0.0100449985,0.02660057,0.28376266,,0.04024354,0.0008674884,0.93656087,,,0.012814216,,,0.07036275,0.038701996,0.043697998,,0.0377802,0.21507145,0.2270789,0.06498306,,0.03210926,0.0038092127,,0.11184287,0.117252655,0.010110748,,,0.00078328984,,0.020275556,0.018356377,0.02914471,0.012098955,0.010592077,0.0050849216,,,,0.0014131338,0.4651062,,0.00829853,,,,0.003125,4.4871795e-05,0.058215473,0.103196196,0.0007758722,0.0076744184,,,0.21996406,,0.010252541,0.08019856,0.030854,0.20721954,,0.048960485,0.032548755,,,0.051892377,0.076996736,,0.2100819,0.011559043,0.08009675,0.1989282,0.01082162,0.028419489,0.27086392,,,0.08741681,,,0.091414645,,,,0.0037180143,0.00014838141,0.0013478793,0.002905519
-8000,,0.04331754,0.00084623403,,0.121605836,0.095744684,,0.012982259,0.012982108,0.45964172,,0.01590909,0.040886663,0.02183713,0.33898365,0.040459502,0.0660502,0.06300107,,0.030244883,0.42115694,0.03608143,0.21898735,0.0003996004,0.11576172,0.13781719,0.013722052,,0.119340904,0.085537575,,0.0024667932,0.0017042476,0.0002029185,0.008181643,0.002424363,0.020071056,0.049599748,0.06429788,0.029625786,0.01534556,0.01588452,0.010395315,,0.18142767,,,0.09322366,0.0036223507,,,0.2771645,0.036146063,0.04234809,0.013891285,,0.054,0.024825903,0.014100609,0.34640038,0.03030991,0.039986506,,0.07146613,0.0026432748,0.028302157,0.0024675298,,,0.06437686,0.010948905,,0.0030232468,0.017736536,0.4925169,0.03968655,,0.022822725,0.030864198,0.0046442687,0.01554054,0.114153296,0.005802948,0.055882353,,0.6007839,1.2075836e-05,,0.000101600206,4.1209526,0.14774331,0.06699428,3.628447e-05,0.041091386,0.017314155,,0.11080119,0.013020758,0.042901695,0.10239376,0.00032728355,1.1110444,0.076116696,,0.20775053,0.032112483,0.05468719,0.027657518,0.20118353,0.124869704,,,0.17267418,0.11515152,0.07295061,3.9298143,0.06374585,0.008869932,0.036065575,11.125,0.81362754,0.010803689,0.002890912,0.6917955,0.00249076,,,0.08748151,,0.46305734,2.5782056e-05,,0.6517421,,0.079896905,0.0071390523,,0.03745078,,0.017119024,,0.005372721,0.005166392,,,,0.045990665,0.0035854513,,0.0002162057,0.0007111597,0.013393069,0.037241016,0.31529,,0.044728246,0.0011557362,1.170701,,,0.019221324,,,0.11586274,0.045161277,0.056203157,,0.062967,0.2384605,0.27249452,0.077979006,,0.048164997,0.0063508656,,0.13980566,0.17587352,0.011641078,,,0.0012184508,,0.03379694,0.02141618,0.038873125,0.0181482,0.0176697,0.0067833583,,,,0.0018841785,0.5167471,,0.012447796,,,,0.0052083335,9.6153846e-05,0.09702579,0.16388232,0.0010336778,0.011569767,,,0.3299461,,0.013669791,0.10693142,0.034710016,0.24176094,,0.057121273,0.040685944,,,0.08648301,0.11549446,,0.2801186,0.015080154,0.09772093,0.23208319,0.012027197,0.03157721,0.3160083,,,0.097130544,,,0.122270115,,,,0.0074379225,0.00029758716,0.002021819,0.0043582786
-7000,,0.059978843,0.0014101227,0.011111111,0.20270073,0.12978724,,0.019473387,0.014666258,0.5362487,,0.03181818,0.040886663,0.024236549,0.39548698,0.05393302,0.099075295,0.10500177,,0.045369152,0.70193595,0.06615696,0.32911393,0.0007992008,0.18386719,0.16078837,0.017141605,,0.13260038,0.11226804,,0.0030360532,0.0021237547,0.0004076015,0.012273267,0.0026938,0.025107803,0.051488034,0.10716324,0.04147484,0.023018342,0.020396994,0.013859443,,0.22678503,,,0.13983549,0.004537572,,,0.46190476,0.07229213,0.063525,0.020836929,,0.108,0.03103238,0.023500877,0.38488886,0.045211714,0.049983136,,0.100053385,0.0052865497,0.03962355,0.0032900397,,,0.09397743,0.015328467,,0.004536811,0.024833629,0.57460064,0.059529826,,0.034238156,0.06234568,0.0062252963,0.023328591,0.14270945,0.007757952,0.11176471,,0.66753453,3.622751e-05,,0.00020828041,6.8685713,0.1641523,0.11854897,0.00010885341,0.054788515,0.021642694,,0.21837555,0.026041515,0.059783667,0.11387195,0.0006545671,1.5849353,0.101512596,,0.26488277,0.048170097,0.06380191,0.034608357,0.23471324,0.18210967,,,0.21584016,0.17278339,0.09118717,5.501662,0.09561877,0.013305182,0.07213115,12.71875,1.0170385,0.016205534,0.005781824,1.0378875,0.0049975896,,,0.13122115,,0.54021835,3.7813683e-05,,0.81467783,,0.13318795,0.010708988,0.00625,0.041610613,,0.022883365,,0.0075218086,0.0068885223,,,,0.057636827,0.004480292,,0.00043362606,0.001477024,0.017858215,0.052137204,0.3503241,,0.04968815,0.0015428116,1.4633764,,,0.028833603,,,0.1910098,0.052705884,0.074160516,,0.10494629,0.26441088,0.32699376,0.09357414,,0.0722497,0.010584776,,0.17475292,0.26381573,0.013450793,,,0.0019147084,,0.056328233,0.024986338,0.051844344,0.027222533,0.029481798,0.009042746,,,,0.0025214741,0.57417953,,0.01867249,,,,0.008333334,0.00019230769,0.16170965,0.26032457,0.001379874,0.01738372,,,0.49491912,,0.018226651,0.14256297,0.039049502,0.282052,,0.06664184,0.05084062,,,0.14414264,0.17324299,,0.3735103,0.019812599,0.119389586,0.27076286,0.0133641865,0.03508585,0.36867785,,,0.10792245,,,0.16360325,,,,0.014877739,0.00059599866,0.003032056,0.0065374174
-6000,,0.08304739,0.0023502046,0.033333335,0.33781022,0.17234042,,0.029217122,0.016597789,0.6256059,,0.06590909,0.040886663,0.036354825,0.46140352,0.07192367,0.099075295,0.17500886,,0.068055555,1.1698933,0.12129698,0.4949367,0.0016983018,0.29203126,0.18758315,0.021437965,,0.14733407,0.1473518,,0.0037950664,0.0026743577,0.0008169675,0.0184099,0.0029931616,0.037661705,0.053740796,0.1786054,0.058066037,0.03452857,0.026218217,0.018480234,,0.28348175,,,0.20977281,0.0056647398,,,0.76991343,0.14458425,0.09528607,0.031276964,,0.12,0.038795732,0.039168406,0.4276534,0.06755035,0.06248305,,0.100053385,0.010596491,0.055472795,0.0049350597,,,0.14096797,0.020437956,,0.0068071564,0.024833629,0.67036986,0.08929694,,0.0513552,0.12530865,0.008300396,0.03499289,0.17839572,0.100853376,0.22352941,,0.741704,7.245502e-05,,0.00042164084,11.448571,0.18239342,0.20975697,0.00025399128,0.4622726,0.027053367,,0.4303906,0.052097548,0.1633282,0.12669075,0.0013091342,2.2685766,0.17766649,,0.33804086,0.07225514,0.074435316,0.043402325,0.27383733,0.26644573,,,0.26980534,0.25914702,0.113986135,7.7024436,0.14342816,0.019957488,0.1442623,14.53125,1.2713062,0.024341239,0.01157962,1.5572196,0.009995179,,,0.19683397,,0.63026994,5.8439327e-05,,1.0183477,,0.2219667,0.016063891,0.015625,0.046234697,,0.03062779,,0.010530532,0.009184049,,,,0.07225286,0.005603409,,0.00086846674,0.0030087528,0.023810688,0.07299318,0.38924712,,0.099406,0.0020589123,1.8292222,,,0.043253634,,,0.31519607,0.061525755,0.102026165,,0.17491049,0.2932192,0.39239296,0.11229165,,0.10837345,0.017641293,,0.21844532,0.39572906,0.015600302,,,0.0028720626,,0.09388039,0.029152395,0.06911228,0.0408338,0.049199678,0.012060458,,,,0.0033665835,0.6379826,,0.028008735,,,,0.0125,0.00039102565,0.26952994,0.41348004,0.0018414689,0.02604651,,,0.7423787,,0.024301937,0.19009009,0.043929223,0.3290655,,0.07774988,0.06361802,,,0.24024202,0.25986513,,0.49802315,0.026228268,0.14606524,0.31589058,0.014844018,0.038984217,0.43012303,,,0.11991384,,,0.21900016,,,,0.029755479,0.0011919973,0.004548084,0.009807419
-5000,,0.11499011,0.0039175423,0.07777778,0.5630657,0.23404256,,0.04381864,0.018819816,0.7298911,,0.13181818,0.040886793,0.048473097,0.5383061,0.09591121,0.099075295,0.29168144,,0.10208699,1.9498194,0.22237472,0.7417722,0.0034965035,0.46382812,0.218847,0.026786497,,0.16370443,0.19339925,,0.004743833,0.0033298375,0.0016356995,0.027615653,0.0033257478,0.050215606,0.056391656,0.2976757,0.08129245,0.05179497,0.033735033,0.024641288,,0.35435152,,,0.31464943,0.0070905588,,,1.283225,0.2891685,0.12862131,0.046937015,0.0013333333,0.133325,0.048494667,0.06528082,0.47516912,0.10104475,0.078105874,,0.20010677,0.021192983,0.077662796,0.0065800794,,,0.18910177,0.027007299,,0.010210735,0.024833629,0.7820981,0.1339454,,0.07703484,0.25123456,0.011067194,0.052489333,0.22299466,0.19394879,0.45,,0.8241228,0.00015698587,,0.0008483617,19.081905,0.20266333,0.37110436,0.00050798256,0.6163708,0.03381671,,0.8482455,0.104195096,0.3081664,0.23034681,0.002628186,3.2578096,0.2538846,,0.43178594,0.10838409,0.08684151,0.054547213,0.31947342,0.3911738,,,0.33726436,0.38872054,0.14248267,10.783382,0.21514742,0.029936234,0.2885246,16.60625,1.5891367,0.036495388,0.023175212,2.3356352,0.020006428,,,0.29524982,,0.73530483,8.765899e-05,,1.2729344,,0.36998415,0.024096247,0.0375,0.051372055,,0.041069478,,0.014743508,0.012246046,,,,0.090581246,0.0070035,,0.0017369335,0.00607221,0.031747848,0.10219046,0.4324996,,0.1988417,0.0027452165,2.2865295,,,0.06488207,,,0.52059805,0.0718511,0.14718609,,0.29151878,0.32519546,0.4708711,0.13474864,,0.16256239,0.029402155,,0.2730587,0.5935882,0.018165115,,,0.0043516103,,0.15646732,0.034014437,0.0921362,0.061251163,0.08212634,0.01608061,,,,0.004488778,0.7088803,,0.0420139,,,,0.019791666,0.00078846153,0.44923046,0.6567212,0.0024552918,0.03912791,,,1.1135708,,0.03240311,0.2534657,0.049421597,0.38391095,,0.09070712,0.0794889,,,0.40041193,0.82290584,,0.6640215,0.035004515,0.17892978,0.36853987,0.016495258,0.04331582,0.5018121,,,0.13323735,,,0.2932945,,,,0.059510957,0.0023839946,0.0068227984,0.014713713
-4000,,0.46954295,0.0065300395,0.15555556,0.93843067,0.32553193,,0.065727964,0.021383498,0.8515279,,0.2659091,0.040886793,0.12118275,0.6280218,0.12788162,0.33025098,0.4861387,,0.1531323,3.2497041,0.4076916,1.113924,0.007092907,0.7366797,0.25532398,0.03349408,,0.18189421,0.2538365,,0.005882353,0.0041688518,0.003271399,0.04142348,0.003695427,0.12553902,0.059478275,0.4961261,0.11381132,0.07769246,0.04345207,0.032855053,,0.44294006,,,0.47199374,0.008863199,,,2.1387446,0.57834995,0.250176,0.07044866,0.0026666666,0.14815,0.060634114,0.10880151,0.52796745,0.25165504,0.097636476,,0.40021354,0.042385966,0.10872774,0.009870119,,,0.373068,0.035766423,,0.015318043,0.024833629,0.91246223,0.20091592,,0.11555429,0.5024691,0.0147233205,0.078733996,0.27875224,0.38789758,0.9,,0.91568685,0.00031397174,,0.0017018034,31.802856,0.22517651,0.6565761,0.0010159651,0.82182777,0.042270888,,1.6717852,0.20839019,0.5392912,0.69104046,0.0052662897,4.693253,0.5077726,,0.5520531,0.16257614,0.10131497,0.068707176,0.37272158,0.57638794,,,0.42157787,0.58310884,0.17810659,15.096774,0.32272634,0.044904917,0.5770492,18.98125,1.986421,0.05477602,0.046366394,3.503647,0.040012855,,,0.44287476,,0.8578708,0.00013234788,,1.5911679,,0.61665344,0.03614519,0.09375,0.057080913,,0.05522479,,0.02064142,0.016327739,,,,0.11357658,0.0087536145,,0.003473867,0.012199124,0.042330466,0.14306685,0.4805551,,0.3977131,0.0027452165,2.8581653,,,0.09732149,,,0.8605588,0.08396823,0.2217444,,0.4858655,0.3606902,0.5650453,0.1616997,,0.24384357,0.049003594,,0.34132546,0.89039314,0.021248426,,,0.006527415,,0.26077887,0.039690126,0.12286177,0.091876976,0.13713115,0.021440815,,,3.5727044e-05,0.0059850374,0.7876448,,0.06302005,,,,0.029166667,0.0015833334,0.74871045,1.0430862,0.0049105836,0.05866279,,,1.6703589,,0.043204416,0.33794814,0.13590989,0.4478925,,0.10582427,0.09939475,,,0.6673533,1.3859465,,0.8853714,0.04711786,0.21944943,0.42996377,0.018329334,0.048128653,0.5854471,,,0.14804263,,,0.3930013,,,,0.11902381,0.0047679893,0.010235542,0.02207057
-3000,,0.8240958,0.010883934,0.32222223,1.5640512,0.4680851,,0.09860603,0.024350952,0.9934668,,0.53409094,0.040886924,0.2423655,0.73269206,0.17052181,0.66050196,0.8102341,,0.22969663,5.4161787,0.7474392,1.670886,0.014285714,1.1700195,0.29787633,0.041867603,,0.20210467,0.3331605,,0.0074003795,0.0052176192,0.0065445625,0.06213522,0.0041061817,0.25107804,0.06304369,0.8268769,0.15933648,0.11653868,0.05602656,0.043809664,,0.55367553,,,0.7079906,0.011078998,,,3.5647187,1.1566999,0.46112654,0.10569456,0.006666667,0.164625,0.07578212,0.18133584,0.5866323,1.0045708,0.122041464,,0.8004271,0.08479532,0.15221901,0.013160159,,,0.73843455,0.048175182,,0.022979004,0.11175133,1.0645273,0.30137607,,0.17333144,1.0049382,0.019664032,0.118136555,0.3484492,0.77579516,1.8029412,,1.0174319,0.0006279435,,0.0034086867,53.00476,0.25020108,1.1616333,0.0020682148,1.0957704,0.05283861,,3.2948775,0.4167949,0.770416,1.151734,0.010542497,6.7819777,1.0155452,,0.7065004,0.24386282,0.11820092,0.08673613,0.4348436,0.8526003,,,0.5269672,0.87469137,0.22262998,21.135485,0.4840843,0.067357376,1.1540984,21.69375,2.4830263,0.08214756,0.09273279,5.255859,0.08002571,,,0.66431326,,1.0008492,0.00019766243,,1.9889601,,1.0277557,0.054217786,0.23125,0.06342255,,0.07456339,,0.028898243,0.021770641,,,,0.14243741,0.010942018,,0.006948949,0.024452955,0.056441147,0.20029315,0.5339455,,0.7954262,0.005490433,3.5727031,,,0.14598384,,,1.4236176,0.09824675,0.3425218,,0.8097758,0.40009436,0.6780547,0.19404031,,0.36576647,0.08167265,0.00011273957,0.4266506,1.3355843,0.024971055,,,0.009747607,,0.43463144,0.046318315,0.16384272,0.13781524,0.22905889,0.028587753,,,3.5727044e-05,0.007993904,0.8751448,,0.09453087,,,,0.04375,0.0031666667,1.2478577,1.6566516,0.009821167,0.08802325,,,2.5055382,,0.057605624,0.45059752,0.22240013,0.52254486,,0.12346307,0.12420982,,,1.1122555,1.9489884,,1.180514,0.06398623,0.2694644,0.5016241,0.020369101,0.05347639,0.6830227,,,0.1644918,,,0.5269136,,,,0.2380495,0.009535979,0.015352641,0.033105854
-2000,,1.1786486,0.01813989,0.64444447,2.6067884,0.7234042,,0.147902,0.027797816,1.1590446,,1.0704546,0.040886924,0.72709644,0.85480946,0.22737539,1.3210039,1.3503991,,0.3445468,9.026965,1.3703021,2.506329,0.028671328,1.8582813,0.34752402,0.052345462,,0.22456107,0.43727311,0.0023255814,0.009297913,0.0065285787,0.01309089,0.093203634,0.004562791,0.5021561,0.06724257,1.3781282,0.22307232,0.17480697,0.07231469,0.058412883,,0.69209373,,,1.0619859,0.01384393,,,5.9411254,2.313413,0.9063511,0.15854184,0.014666666,0.1829,0.09473817,0.3022268,0.6518119,1.5068562,0.1525601,,2.0010676,0.16959064,0.21310662,0.016450198,,,1.8229609,0.06423358,,0.034466565,0.335254,1.2419485,0.4520663,,0.2599992,2.0098765,0.026284585,0.17720483,0.4355437,2.3273857,3.6058824,,1.1304778,0.001255887,,0.0068173734,88.3419,0.27800518,2.0552,0.0041364296,2.1915407,0.38748297,,6.4937882,0.8335898,1.0015408,2.0155346,0.021084994,9.8290205,3.3837352,9.23361e-05,0.90503865,0.36579698,0.13790089,0.10974277,0.5073149,1.2663494,,,0.65871924,1.3120651,0.27828857,29.589638,0.7261316,0.101036064,2.3081968,24.79375,3.1037827,0.123221345,0.18546557,7.8835945,0.16005142,,,0.996471,,1.1676676,0.00029735305,,2.4862003,,1.7129263,0.08132668,0.56875,0.070469,,0.10127787,,0.04045754,0.029027846,,,,0.17868052,0.013678283,,0.013899112,0.04890591,0.0752546,0.2804111,0.5932774,,1.5908821,0.013726083,4.465881,,,0.21897577,,,2.3567255,0.115188606,0.55848813,,1.3496264,0.44385278,0.8136656,0.23284703,,0.5486508,0.20418164,0.00022547915,0.5333195,2.003382,0.029496603,,,0.014708442,,1.3038943,0.05406436,0.21848398,0.20672286,0.3827789,0.038113542,,,7.145409e-05,0.0106539205,0.9723938,,0.14179711,,,,0.06666667,0.0063333334,2.0797837,2.6311555,0.024552919,0.13203488,,,3.7583075,,0.07680829,0.600809,0.3088884,0.60963327,,0.1440406,0.15527909,,,1.853759,3.8979769,,1.5740186,0.08768458,0.3312338,0.58522785,0.0226317,0.059418175,0.7968583,,,0.18276855,,,0.7069161,,,,0.47610092,0.01907278,0.023029635,0.049660075
-1000,,1.5332015,0.030233417,1.2888889,4.344635,1.2659575,,0.22186708,0.031816542,1.3522304,,2.1431818,0.04088705,1.2118274,0.9972777,0.3031542,3.30251,2.2506652,,0.5168238,15.044941,2.5122237,3.7607596,0.057342656,2.9513867,0.40544468,0.065453745,,0.24951167,0.57392097,0.006976744,0.011764706,0.008180388,0.02618178,0.13980706,0.0050704884,1.5064936,0.13448514,1.3785326,0.31230187,0.2622115,0.093435094,0.07788287,,0.8651176,,,1.5929691,0.01731214,,,9.901948,4.626826,1.7888463,0.2377912,0.030666666,0.203225,0.11842798,0.50371134,0.724235,2.0091417,0.19069599,,4.0021353,0.33920467,0.2983498,0.02303028,0.45883963,,3.6285903,0.08613139,,0.051701788,0.8774563,1.4489423,0.67809945,,0.39000082,4.0203705,0.034980237,0.26578948,0.5444563,7.7579517,7.214706,,1.2560937,0.002511774,,0.013634747,147.23714,0.30889267,3.636133,0.008272859,3.287311,0.7221273,,12.798437,1.6671941,1.2326657,2.8793352,0.04217991,14.284982,6.7674737,0.0003693444,1.1605064,0.5486968,0.16088456,0.1391626,0.59186655,1.8889984,,,0.82340163,1.9681257,0.34786394,41.42561,1.0892026,0.15155439,4.618033,28.3375,3.8797283,0.18484849,0.37093115,11.82578,0.32010284,,,1.4947076,,1.3622687,0.00044688897,,3.1077507,,2.854877,0.12199002,1.38125,0.78906643,,0.13875765,,0.05664183,0.03870379,,0.00094339624,,0.22418329,0.017099377,,0.027799439,0.09786652,0.100339465,0.3925755,0.65919894,,3.181794,0.027452165,5.5823507,,,0.32846525,,,3.9039216,0.13552168,0.84927976,,2.2493773,0.49242383,0.97639924,0.27941778,,0.8229762,0.3266906,0.00056369783,0.6666473,3.0050783,0.035036497,,,0.022019148,,2.1731572,0.063127756,0.29128495,0.31008476,0.63999355,0.05082325,0.0013927576,,7.145409e-05,0.0142144635,1.0804536,,0.21269487,,,,0.1,0.012673077,3.4663062,4.1789,0.12276459,0.19808139,,,5.637461,,0.102411054,0.80108476,0.39537865,0.71124,,0.16804631,0.1941493,1.2305555,,3.0895984,5.8469653,,2.098701,0.12126665,0.4075803,0.6827667,0.025145698,0.06602026,0.929668,,,0.2030758,,,0.9491017,,,,0.95220184,0.038146388,0.034545798,0.074491404
0,,3.066403,0.050389025,2.588889,7.2410583,2.593617,,0.33280766,0.036540497,1.5775905,0.005,4.288636,0.04088731,6.0591373,1.1634966,0.40424454,9.9103365,3.7511175,,0.7752339,25.074902,4.605748,5.6405063,0.11468531,4.6875,0.4730229,0.08180623,,0.2772353,0.7532713,0.01627907,0.014800759,0.010225485,0.05236356,0.20970978,0.0056353044,7.5325437,0.26897162,6.1475506,0.43722326,0.39331725,0.12085002,0.1038448,,1.081397,,,2.3894634,0.021637766,,,16.503246,9.253652,8.586393,0.35672995,0.06266667,5.0,0.1480297,0.8395191,0.8047069,4.0182834,0.23837411,,9.204911,0.67840934,0.41768917,0.06580079,0.5735632,,9.019414,0.08759124,,0.07755268,3.228376,1.6904447,1.0171535,,0.5849992,8.041358,0.04673913,0.39871976,0.6805704,15.515903,14.432353,,1.3956606,0.005023548,,0.027269494,245.39523,0.3432121,6.4331665,0.016545719,3.287311,1.0567722,,25.224102,3.3343883,2.4653313,2.303468,0.084369734,20.816082,25.223677,0.0007386888,1.4895713,0.82304525,0.18769865,0.1768686,0.6905109,2.8305178,,,1.029252,2.9522448,0.43483102,57.995796,1.633804,0.22733214,9.236066,32.3875,4.8496604,0.27730566,0.7418783,17.738865,0.6402218,,,2.2420635,,1.5893236,0.00067033345,,3.8846884,,4.7581286,0.18298544,3.353125,1.5321679,,0.19245179,,0.07929881,0.051605705,,0.0018867925,,0.2813428,0.021375742,,0.05560009,0.19578774,0.13378622,0.54960525,0.7324414,,6.363588,0.27452165,6.977942,,,0.4926979,,,6.470588,0.1611374,1.7846774,,3.7489622,0.5463602,1.1716789,0.335302,,1.2344654,1.6334531,0.0011273957,0.8333112,4.5076284,0.041867606,,,0.033072237,,3.4770515,0.074770086,0.38840696,0.4651271,1.0707126,0.06776087,0.0013927576,,0.000107181135,0.01895262,1.2004826,,0.3190439,,,,0.15,0.025352564,5.777184,6.6371346,0.49105835,0.29715115,,,8.456195,,0.1365478,1.0681008,0.9884476,0.8297788,,0.19605473,0.24263617,1.2958333,,5.1493306,7.7959538,,2.7982774,0.16925491,0.50200975,0.7965602,0.027939664,0.073355876,1.0846131,,,0.22564027,,,1.2752936,0.0012305168,,0.0028776978,1.9044056,0.076292776,0.051818024,0.1117384
