Date,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CIS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1960,27887.0,759034.0,545923.0,493982.0,5559.0,96530.0,15006372.0,955615.0,13330.0,22050.0,8378309.0,4561167.0,2050961.0,57414.0,8463316.0,233478.0,224595.0,2661402.0,2918796.0,136221.0,69455.0,624775.0,2656234.0,49337.0,42208.0,1361048.0,33399157.0,84916.0,38343.0,8058.0,15795.0,342172.0,12368380.0,3778708.0,5530907.0,108085352.0,649467.0,719018.0,3404061.0,333938.0,7220681.0,24813.0,35030.0,454720.0,4227112.0,93258.0,8428.0,208955.0,5717803.0,51978188.0,43292.0,22470.0,3374572.0,986743.0,3485744.0,1555302.0,10184083.0,95300.0,17227480.0,697034.0,1375163.0,2449145.0,120175.0,29339142.0,9608.0,89133.0,41104656.0,1570123.0,1618622.0,21839.0,372463.0,48281.0,78558.0,68901.0,4660434.0,28530.0,19024.0,1264650.0,34865.0,165103.0,2653700.0,469057.0,1248430.0,601647.0,5582136.0,12878865.0,26938.0,78146908.0,1278075.0,7243051.0,3012390.0,140986.0,1624582.0,29799044.0,557190.0,434238.0,58979628.0,4167863.0,566529.0,742514.0,560529.0,7682.0,15428.0,6930929.0,232962.0,168576.0,759805.0,212316.0,407902.0,19869.0,3362.0,1587463.0,25866.0,1096416.0,218385.0,1121298.0,165150.0,3412732.0,21808.0,482071.0,543916.0,10189.0,18638844.0,5232.0,488207.0,597846.0,294316.0,4177858.0,90291.0,348796.0,4474.0,461097.0,56712.0,237590.0,159275.0,2116189.0,105925.0,29820.0,203048.0,6942788.0,705480.0,6863492.0,1787755.0,352303.0,4607.0,1802521.0,87000.0,42883.0,1016461960.0,10103586.0,464466.0,4762611.0,8450408.0,5300.0,74318.0,14193968.0,1050418.0,4712041.0,3096215.0,669947.0,,35377.0,30708.0,6296818.0,64421857.0,78580.0,761063.0,898848.0,768409.0,1646400.0,8057.0,393605.0,1070636.0,7544.0,497950.0,1929557.0,256453.0,10932.0,124728.0,1361347.0,446954.0,5425627.0,13513.0,2715.0,11540.0,1720175.0,2670.0,204187.0,168951.0,5282276.0,700552.0,762761.0,47238.0,11614.0,288590.0,1600702.0,8928167.0,890.0,519428.0,337502.0,20038250.0,2030063.0,126462473.0,2789291.0,21893.0,5027676.0,972.0,18355.0,4782194.0,6703.0,21290.0,503439.0,7664244.0,572244.0,480288.0
1961,28212.0,800151.0,572465.0,513592.0,6271.0,102640.0,15382420.0,1005125.0,13772.0,22073.0,8589875.0,4592914.0,2118517.0,59963.0,8500111.0,252237.0,232521.0,2813720.0,3080500.0,141905.0,73873.0,659094.0,2772677.0,50299.0,43123.0,1400360.0,35155579.0,85913.0,41844.0,8744.0,16350.0,359943.0,12729040.0,3871554.0,5715809.0,110327936.0,720538.0,759066.0,3527636.0,350453.0,7677734.0,26856.0,36453.0,473026.0,4327964.0,94722.0,8601.0,215427.0,5758030.0,52609561.0,45989.0,22826.0,3431879.0,1049480.0,3697636.0,1627599.0,10563416.0,100692.0,17614512.0,714269.0,1456756.0,2512483.0,126257.0,29992498.0,10061.0,94998.0,41381472.0,1613251.0,1704500.0,21872.0,395834.0,50425.0,80081.0,71869.0,4740951.0,29095.0,20155.0,1329872.0,36533.0,169230.0,2702168.0,494631.0,1293527.0,627663.0,5650018.0,13456171.0,26815.0,80524552.0,1282080.0,7608816.0,3196684.0,144661.0,1703972.0,30249038.0,577275.0,470445.0,60395537.0,4359193.0,604275.0,778534.0,573440.0,8175.0,15642.0,7351204.0,262181.0,174018.0,814758.0,225264.0,438660.0,20284.0,3429.0,1642504.0,30049.0,1141928.0,221560.0,1155193.0,165225.0,3561310.0,21901.0,509342.0,575556.0,10494.0,19547512.0,5625.0,512424.0,622842.0,292949.0,4345722.0,95782.0,380318.0,4744.0,481931.0,62913.0,243908.0,166790.0,2224076.0,110566.0,32002.0,212737.0,7189509.0,735131.0,6985555.0,1840926.0,368470.0,4774.0,1851675.0,94339.0,42965.0,1045185294.0,10557757.0,485440.0,4964999.0,8797585.0,5457.0,82336.0,14540630.0,1102264.0,4935617.0,3155977.0,687501.0,,36922.0,34003.0,6474669.0,66226377.0,82454.0,817854.0,969877.0,812531.0,1702400.0,8629.0,412526.0,1105731.0,7900.0,526499.0,2010201.0,260076.0,11546.0,129022.0,1423197.0,464004.0,5511783.0,15314.0,2970.0,12316.0,1800936.0,2700.0,216654.0,186277.0,5469513.0,732214.0,789327.0,48684.0,12198.0,302135.0,1638028.0,9336792.0,929.0,549535.0,362999.0,20633117.0,2061472.0,129276215.0,2916294.0,22665.0,5316657.0,1014.0,19847.0,5021716.0,7013.0,21928.0,534928.0,7911777.0,616682.0,503917.0
1962,28580.0,844139.0,599897.0,530766.0,7035.0,109069.0,15755304.0,1055974.0,14284.0,22033.0,8832932.0,4624644.0,2170106.0,62637.0,8545539.0,272708.0,240720.0,3017365.0,3244762.0,147703.0,78629.0,696397.0,2895029.0,51296.0,44239.0,1441044.0,36971452.0,86849.0,45526.0,9503.0,16929.0,378695.0,13121753.0,3987452.0,5899933.0,114685540.0,799697.0,803889.0,3657066.0,367849.0,8157261.0,29045.0,38223.0,491786.0,4432356.0,96940.0,8781.0,220582.0,5828213.0,53122383.0,49085.0,23147.0,3490118.0,1116155.0,3919508.0,1703660.0,10944888.0,106445.0,18089104.0,733452.0,1544253.0,2567399.0,132704.0,30722020.0,10536.0,102800.0,41661202.0,1656450.0,1786798.0,22197.0,420670.0,52667.0,81907.0,73530.0,4844217.0,29594.0,21492.0,1398137.0,38290.0,173214.0,2828656.0,521513.0,1342990.0,654858.0,5710839.0,14060535.0,27064.0,83307833.0,1293324.0,7994399.0,3408751.0,148268.0,1805829.0,30708292.0,597982.0,500516.0,61843154.0,4556292.0,645188.0,813050.0,588729.0,8702.0,15741.0,7811004.0,295137.0,179702.0,873670.0,239037.0,471812.0,20729.0,3506.0,1699383.0,34900.0,1186429.0,225946.0,1188070.0,169908.0,3718201.0,22078.0,537387.0,608894.0,10814.0,20514657.0,6043.0,536790.0,648864.0,291536.0,4520510.0,101703.0,413766.0,5035.0,505000.0,69804.0,256013.0,174709.0,2337649.0,115442.0,34325.0,222871.0,7447756.0,766030.0,7107497.0,1915999.0,380023.0,4979.0,1914441.0,102328.0,43116.0,1077208924.0,10956001.0,507931.0,5232047.0,9159605.0,5622.0,91023.0,14828737.0,1159664.0,5167088.0,3212831.0,705808.0,,38534.0,38427.0,6646237.0,68060071.0,86341.0,878477.0,1046826.0,859035.0,1750200.0,9241.0,432542.0,1139219.0,8270.0,556688.0,2093661.0,263871.0,12471.0,134390.0,1471245.0,480036.0,5616067.0,17346.0,3264.0,13118.0,1886731.0,2726.0,229882.0,205252.0,5664879.0,765694.0,816918.0,50744.0,12807.0,315673.0,1677355.0,9752066.0,969.0,581756.0,390531.0,21222158.0,2092299.0,131988693.0,3054757.0,23424.0,5598530.0,1051.0,20734.0,5269809.0,7339.0,22606.0,568450.0,8170332.0,664400.0,530601.0
1963,28917.0,890912.0,628663.0,547928.0,7849.0,115822.0,16132472.0,1107970.0,14826.0,21986.0,9034955.0,4658034.0,2222513.0,65129.0,8624158.0,294950.0,249332.0,3236007.0,3411401.0,153625.0,83654.0,734243.0,3022385.0,52413.0,45340.0,1483237.0,38852223.0,87884.0,49487.0,10338.0,17535.0,398477.0,13522659.0,4090405.0,6086441.0,121162226.0,887177.0,853798.0,3792786.0,386194.0,8656856.0,31382.0,40147.0,512724.0,4541130.0,99290.0,8970.0,225752.0,5903373.0,53664331.0,52642.0,23489.0,3548824.0,1186001.0,4153242.0,1780911.0,11339138.0,112577.0,18560792.0,753250.0,1637588.0,2623429.0,139516.0,31624763.0,11001.0,111196.0,41900114.0,1699844.0,1872291.0,22753.0,447076.0,55533.0,83486.0,75275.0,4937007.0,30028.0,22926.0,1469106.0,40098.0,177261.0,2937424.0,549793.0,1393585.0,682728.0,5768389.0,14694907.0,27439.0,86160905.0,1306885.0,8400518.0,3644720.0,151829.0,1891353.0,31188380.0,619337.0,527462.0,63355376.0,4757757.0,693516.0,849091.0,611241.0,9261.0,15789.0,8289479.0,331510.0,185546.0,935408.0,253633.0,507103.0,21180.0,3599.0,1758425.0,40502.0,1230140.0,229959.0,1221599.0,174436.0,3879656.0,22385.0,565961.0,644071.0,11143.0,21531878.0,6484.0,561998.0,675899.0,290127.0,4702804.0,107780.0,439858.0,5351.0,529327.0,77469.0,268035.0,183090.0,2456605.0,120692.0,36703.0,239336.0,7717509.0,799663.0,7225888.0,1991003.0,391960.0,5226.0,1967968.0,111010.0,43305.0,1112197599.0,11373977.0,531501.0,5510194.0,9532786.0,5791.0,100516.0,15149001.0,1220307.0,5418412.0,3260048.0,726189.0,,40731.0,43579.0,6820612.0,69923357.0,90141.0,952068.0,1130321.0,907987.0,1795000.0,9897.0,454058.0,1172977.0,8656.0,588480.0,2178321.0,267752.0,13457.0,140711.0,1519388.0,497639.0,5720204.0,19642.0,3584.0,13949.0,1977444.0,2750.0,243943.0,226123.0,5868464.0,800975.0,845265.0,52907.0,13443.0,329432.0,1719188.0,10181953.0,1011.0,616005.0,420433.0,21807015.0,2122600.0,134615404.0,3198885.0,24179.0,5889529.0,1090.0,24120.0,5539044.0,7682.0,23307.0,603882.0,8442236.0,717859.0,568358.0
1964,29221.0,940801.0,658872.0,565248.0,8706.0,122833.0,16510824.0,1160944.0,15399.0,21962.0,9245383.0,4692726.0,2284616.0,68233.0,8720520.0,319099.0,258369.0,3469758.0,3582451.0,159683.0,88656.0,773098.0,3153963.0,53636.0,46410.0,1527009.0,40792376.0,88948.0,53783.0,11248.0,18789.0,419480.0,13934678.0,4175596.0,6274214.0,127791981.0,983308.0,906746.0,3934314.0,405593.0,9176216.0,33872.0,42156.0,539908.0,4652751.0,101532.0,9166.0,230804.0,5985712.0,54147106.0,56709.0,23854.0,3608088.0,1259211.0,4401906.0,1860253.0,11743813.0,119074.0,19059712.0,773863.0,1737598.0,2675999.0,146622.0,32554595.0,11454.0,120217.0,42098400.0,1743144.0,1961490.0,23315.0,475135.0,60683.0,83555.0,77111.0,5029578.0,30389.0,24265.0,1539641.0,41950.0,181362.0,3019108.0,579635.0,1444787.0,711827.0,5829329.0,15361730.0,27823.0,89112744.0,1319272.0,8829497.0,3892862.0,155450.0,1985742.0,31702827.0,641322.0,558355.0,64897877.0,4960303.0,746419.0,886206.0,633981.0,9855.0,15801.0,8779189.0,370643.0,191540.0,999169.0,269095.0,542311.0,21633.0,3691.0,1812569.0,46954.0,1275080.0,234207.0,1255757.0,216584.0,4044188.0,22686.0,594943.0,681177.0,11479.0,22598679.0,6945.0,589961.0,704003.0,288759.0,4892973.0,113586.0,457532.0,5684.0,555012.0,85987.0,280009.0,191871.0,2580720.0,126328.0,39105.0,256969.0,7997781.0,841359.0,7345397.0,2066761.0,404469.0,5515.0,2024808.0,120470.0,43504.0,1148107111.0,11814048.0,556085.0,5799927.0,9916926.0,5968.0,110926.0,15484714.0,1280251.0,5684646.0,3296372.0,747961.0,,43425.0,49349.0,6997996.0,71815164.0,94176.0,1040516.0,1220744.0,959709.0,1841600.0,10600.0,477896.0,1208344.0,9050.0,621095.0,2264408.0,272365.0,14516.0,146303.0,1569094.0,516254.0,5834351.0,22250.0,3922.0,14819.0,2073333.0,2775.0,260530.0,249722.0,6079684.0,837937.0,874068.0,55182.0,14109.0,343393.0,1763576.0,10623707.0,1046.0,652647.0,452759.0,22385676.0,2152100.0,137215986.0,3347553.0,24933.0,6190134.0,1132.0,25276.0,5815419.0,8044.0,24006.0,641935.0,8725145.0,787480.0,608775.0
1965,29502.0,993966.0,690469.0,582374.0,9604.0,129877.0,16887194.0,1214581.0,15994.0,21955.0,9459784.0,4726878.0,2340574.0,72063.0,8814176.0,345266.0,267844.0,3720545.0,3753817.0,165714.0,93717.0,812932.0,3282735.0,54934.0,47461.0,1572285.0,42777980.0,90036.0,58328.0,12242.0,22061.0,441652.0,14343688.0,4241081.0,6461916.0,129348359.0,1088382.0,962951.0,4084031.0,426056.0,9596892.0,36497.0,44253.0,567720.0,4765234.0,103656.0,9361.0,235901.0,6064767.0,54659677.0,61210.0,24246.0,3666724.0,1335118.0,4654924.0,1943372.0,12155494.0,125935.0,19580951.0,794190.0,1844446.0,2722631.0,153974.0,33453489.0,11929.0,129885.0,42294196.0,1785661.0,2054759.0,23878.0,504937.0,66264.0,82507.0,79039.0,5127549.0,30669.0,25892.0,1599171.0,43845.0,185515.0,3109377.0,611024.0,1497338.0,742548.0,5888035.0,16004540.0,28203.0,92072826.0,1330262.0,9280707.0,4154466.0,159059.0,2074492.0,32227841.0,663429.0,596578.0,66476104.0,5171963.0,803542.0,922554.0,657629.0,10487.0,15779.0,9286249.0,413150.0,197771.0,1063946.0,285449.0,607340.0,22092.0,3737.0,1867893.0,54371.0,1320810.0,238541.0,1287767.0,255476.0,4218265.0,22941.0,624449.0,720348.0,11928.0,23716172.0,7424.0,618830.0,733217.0,286362.0,5091639.0,118771.0,476384.0,6031.0,582145.0,95435.0,291916.0,201039.0,2709043.0,132343.0,41592.0,275744.0,8289860.0,885180.0,7469419.0,2143353.0,417550.0,5832.0,2073571.0,130730.0,43695.0,1179174972.0,12274860.0,581528.0,6100240.0,10310905.0,6146.0,122299.0,15762096.0,1336533.0,5960746.0,3317422.0,770228.0,,46259.0,55771.0,7174333.0,73731369.0,98657.0,1135455.0,1318314.0,1014458.0,1886900.0,11352.0,503089.0,1245584.0,9414.0,654395.0,2351943.0,277197.0,15650.0,150749.0,1619143.0,535928.0,5959398.0,25219.0,4282.0,15733.0,2174433.0,2795.0,283637.0,277139.0,6298707.0,876339.0,903144.0,57564.0,14804.0,357425.0,1811965.0,11070798.0,1074.0,691685.0,487503.0,22988007.0,2180541.0,139663053.0,3501262.0,25689.0,6499653.0,1180.0,27526.0,6097061.0,8424.0,24701.0,683126.0,9019350.0,862914.0,651827.0
1966,29749.0,1050560.0,723627.0,599300.0,10617.0,136585.0,17264349.0,1268698.0,16594.0,21931.0,9709943.0,4763809.0,2394753.0,77070.0,8887919.0,373601.0,277768.0,3988186.0,3900528.0,171765.0,99181.0,853970.0,3415027.0,56295.0,48534.0,1619304.0,44806249.0,91173.0,63115.0,13329.0,25640.0,465173.0,14763748.0,4302743.0,6650046.0,131746910.0,1163892.0,1022986.0,4243770.0,447697.0,10022209.0,39359.0,46454.0,596110.0,4876987.0,105249.0,9560.0,241239.0,6137954.0,55166778.0,66003.0,24672.0,3723679.0,1414728.0,4889983.0,2030438.0,12575807.0,133060.0,20096611.0,812599.0,1956291.0,2770510.0,161416.0,34325114.0,12431.0,140263.0,42452048.0,1825872.0,2152344.0,24444.0,536628.0,72306.0,82219.0,81068.0,5239942.0,30874.0,27334.0,1660352.0,45771.0,189722.0,3146833.0,644107.0,1551723.0,774518.0,5948507.0,16647320.0,28658.0,95025477.0,1347250.0,9751066.0,4401054.0,162665.0,2146053.0,32737193.0,685508.0,643502.0,67914591.0,5384396.0,865080.0,960953.0,682136.0,11076.0,15728.0,9815880.0,462172.0,204211.0,1131360.0,302701.0,678569.0,22553.0,3778.0,1924418.0,62304.0,1367610.0,241914.0,1315521.0,253384.0,4402322.0,23131.0,654813.0,761541.0,12362.0,24885636.0,7910.0,649103.0,763627.0,282936.0,5298618.0,123093.0,496306.0,6392.0,610711.0,105930.0,303804.0,210652.0,2841486.0,138770.0,44213.0,295754.0,8593481.0,931341.0,7590341.0,2220995.0,431249.0,6043.0,2125227.0,141881.0,43875.0,1210732189.0,12758882.0,607853.0,6411630.0,10713456.0,6328.0,134906.0,16007142.0,1389174.0,6253181.0,3326794.0,792793.0,,49241.0,63040.0,7368164.0,75267305.0,103606.0,1237295.0,1423480.0,1072620.0,1934400.0,12156.0,529683.0,1284561.0,9724.0,689409.0,2444326.0,280889.0,16872.0,155226.0,1669066.0,557347.0,6083367.0,28540.0,4664.0,16693.0,2281031.0,2812.0,308580.0,309360.0,6523740.0,916318.0,932316.0,60058.0,15529.0,371442.0,1871615.0,11595265.0,1104.0,733184.0,525203.0,23587839.0,2207787.0,142008703.0,3658256.0,26446.0,6819106.0,1239.0,29839.0,6382088.0,8825.0,25405.0,727310.0,9325619.0,944957.0,697775.0
1967,29890.0,1110480.0,758315.0,616687.0,11821.0,142452.0,17646016.0,1323139.0,17196.0,21901.0,9852991.0,4803163.0,2443252.0,82550.0,8951328.0,404202.0,288209.0,4276191.0,4030377.0,177818.0,105035.0,896104.0,3551335.0,57706.0,49514.0,1668179.0,46870254.0,92133.0,68133.0,14520.0,29767.0,490111.0,15136519.0,4373584.0,6838375.0,134196718.0,1244382.0,1087274.0,4412420.0,470507.0,10454943.0,41056.0,48770.0,625005.0,4987269.0,106879.0,9769.0,246729.0,6205159.0,55468832.0,71048.0,25128.0,3779458.0,1498685.0,5022201.0,2121366.0,13007007.0,140585.0,20660198.0,828812.0,2075242.0,2823091.0,167641.0,35179806.0,12945.0,151380.0,42603817.0,1863779.0,2254427.0,25015.0,570308.0,78879.0,83406.0,83196.0,5357301.0,31044.0,28849.0,1723085.0,47712.0,193984.0,3237272.0,678902.0,1606614.0,807743.0,6013391.0,17356345.0,29136.0,98080058.0,1387226.0,10267125.0,4647972.0,166198.0,2259135.0,33233152.0,707670.0,698604.0,69431886.0,5600608.0,931127.0,999643.0,766160.0,11603.0,15649.0,10537106.0,515542.0,216232.0,1200153.0,320890.0,756223.0,23038.0,3845.0,1982576.0,67863.0,1415159.0,244349.0,1343866.0,251423.0,4594971.0,23230.0,685997.0,802284.0,12756.0,26103361.0,8507.0,680725.0,795233.0,279467.0,5513449.0,126621.0,516875.0,6631.0,640829.0,117570.0,315676.0,225865.0,2976102.0,145675.0,46973.0,320969.0,8903940.0,979867.0,7699768.0,2299864.0,445483.0,6135.0,2175248.0,153980.0,44054.0,1242944092.0,13267004.0,635047.0,6734310.0,11125561.0,6467.0,156895.0,16289779.0,1436971.0,6571731.0,3340014.0,815531.0,,52383.0,71331.0,7586123.0,76812479.0,108996.0,1347037.0,1536905.0,1134336.0,1977600.0,13021.0,557703.0,1324758.0,10008.0,726144.0,2534212.0,284074.0,18196.0,159839.0,1718790.0,578934.0,6194186.0,31614.0,5071.0,17693.0,2393205.0,2833.0,335554.0,346766.0,6754248.0,958021.0,961597.0,62674.0,16040.0,385379.0,1953712.0,12176090.0,1134.0,777513.0,565853.0,24193145.0,2233609.0,144288757.0,3818118.0,27202.0,7147892.0,1313.0,32344.0,6671673.0,9248.0,26208.0,774870.0,9644306.0,1033723.0,746766.0
1968,29921.0,1174441.0,794500.0,635924.0,13155.0,159134.0,18034536.0,1377661.0,17821.0,21876.0,10048170.0,4831802.0,2487265.0,88262.0,9000174.0,437292.0,299109.0,4584466.0,4165384.0,182653.0,111265.0,939013.0,3690749.0,59133.0,50404.0,1718974.0,48973047.0,92855.0,73358.0,15820.0,34524.0,517617.0,15487885.0,4446360.0,7026998.0,136747486.0,1330290.0,1156257.0,4588402.0,494603.0,10894865.0,43021.0,51207.0,654156.0,5096778.0,109059.0,9971.0,252322.0,6267134.0,55765529.0,76360.0,25612.0,3828566.0,1586092.0,5159581.0,2216348.0,13449455.0,146039.0,21248036.0,846346.0,2175513.0,2873315.0,173334.0,35900735.0,13473.0,163282.0,42733856.0,1900892.0,2361338.0,25578.0,606086.0,86043.0,85656.0,85365.0,5466737.0,31236.0,30461.0,1787193.0,49671.0,198311.0,3316715.0,715580.0,1662257.0,842429.0,6079237.0,18112881.0,29699.0,101229353.0,1427337.0,10820484.0,4907726.0,169365.0,2325145.0,33703021.0,730114.0,758915.0,71026895.0,5820443.0,1001918.0,1039135.0,859572.0,12140.0,15533.0,11362681.0,573356.0,229021.0,1271455.0,340119.0,841063.0,23561.0,3928.0,2042314.0,73971.0,1462669.0,246598.0,1375002.0,249460.0,4794924.0,23437.0,718092.0,845701.0,13367.0,27366849.0,9579.0,713786.0,828441.0,276131.0,5736698.0,129779.0,537688.0,6761.0,672608.0,130439.0,327573.0,242829.0,3113354.0,153033.0,49864.0,348152.0,9227307.0,1030794.0,7803319.0,2379197.0,460415.0,6328.0,2206092.0,167103.0,44215.0,1275949214.0,13798704.0,663049.0,7068700.0,11547892.0,6553.0,182299.0,16575555.0,1482823.0,7040866.0,3360136.0,838436.0,,55708.0,80600.0,7786878.0,78366306.0,114791.0,1465862.0,1659208.0,1199457.0,2012000.0,13954.0,587177.0,1365716.0,10299.0,764751.0,2627004.0,287511.0,19636.0,164584.0,1768232.0,599472.0,6291760.0,34974.0,5500.0,18736.0,2511131.0,2852.0,364836.0,389002.0,6989566.0,1001519.0,991020.0,65416.0,16374.0,399260.0,2042140.0,12773304.0,1165.0,857445.0,609993.0,24797422.0,2257620.0,146463196.0,3981174.0,27952.0,7485383.0,1409.0,37397.0,6965080.0,9691.0,26992.0,826079.0,9973573.0,1129869.0,799066.0
1969,29903.0,1242213.0,832046.0,656733.0,14552.0,191249.0,18429419.0,1431196.0,18457.0,21855.0,10280809.0,4852163.0,2529777.0,94172.0,9039007.0,473000.0,310502.0,4909780.0,4304295.0,185819.0,117633.0,982397.0,3831426.0,60481.0,51306.0,1771505.0,51119350.0,93374.0,78747.0,17240.0,39979.0,546626.0,15804855.0,4513988.0,7216360.0,139527262.0,1422876.0,1230113.0,4769317.0,520028.0,11338528.0,45113.0,53769.0,683718.0,5207004.0,111346.0,10165.0,258027.0,6326884.0,56259360.0,82550.0,26119.0,3875429.0,1676897.0,5300634.0,2315045.0,13902322.0,151707.0,21772801.0,865089.0,2280052.0,2908731.0,179003.0,36409163.0,14030.0,176365.0,42833742.0,1939040.0,2474413.0,26120.0,643851.0,93788.0,87079.0,86638.0,5560616.0,31465.0,32095.0,1852175.0,51656.0,202712.0,3379985.0,754196.0,1718390.0,878476.0,6147411.0,18913090.0,30277.0,104437712.0,1469698.0,11400151.0,5180215.0,171812.0,2404654.0,34152929.0,753107.0,819530.0,72679753.0,6035195.0,1077560.0,1077271.0,962903.0,12890.0,15351.0,12225296.0,633901.0,242551.0,1345583.0,360361.0,933665.0,24098.0,3933.0,2102425.0,80583.0,1507983.0,249419.0,1404638.0,247333.0,5001690.0,23831.0,751177.0,891713.0,13987.0,28667997.0,10836.0,748104.0,863087.0,272927.0,5968092.0,133237.0,559646.0,6731.0,706100.0,144588.0,339504.0,261008.0,3255749.0,160857.0,52888.0,377400.0,9567687.0,1084021.0,7917513.0,2457954.0,475853.0,6581.0,2237511.0,181271.0,44356.0,1309823060.0,14353330.0,691875.0,7414075.0,11977816.0,6632.0,211635.0,16835934.0,1532032.0,7621418.0,3364185.0,861612.0,,59210.0,90768.0,7968040.0,79922296.0,120819.0,1594255.0,1790655.0,1267850.0,2042500.0,14954.0,617916.0,1406882.0,10588.0,805210.0,2750215.0,290950.0,21197.0,169437.0,1818423.0,618383.0,6397326.0,38693.0,5948.0,19818.0,2635005.0,2869.0,396584.0,435084.0,7228381.0,1046406.0,1020764.0,68278.0,16707.0,413024.0,2135104.0,13384985.0,1205.0,953113.0,657175.0,25386908.0,2279208.0,148629124.0,4145501.0,28695.0,7829767.0,1538.0,41232.0,7268659.0,10151.0,27781.0,881141.0,10311065.0,1232693.0,853821.0
1970,29843.0,1314510.0,875402.0,677801.0,16013.0,228656.0,18835224.0,1482013.0,19022.0,21823.0,10505755.0,4872871.0,2586439.0,100441.0,9061057.0,511589.0,322368.0,5243642.0,4440047.0,188334.0,123501.0,1026361.0,3978504.0,61531.0,52124.0,1825722.0,53323573.0,93645.0,83346.0,18786.0,46247.0,576646.0,16132459.0,4564145.0,7406357.0,142386810.0,1524060.0,1309308.0,4955420.0,546882.0,11786753.0,47347.0,56307.0,714009.0,5318102.0,113545.0,10517.0,263905.0,6348795.0,56496072.0,89685.0,26656.0,3930043.0,1771770.0,5444569.0,2417713.0,14360992.0,157645.0,22330440.0,883329.0,2389966.0,2934402.0,184630.0,36953694.0,14617.0,190671.0,42925829.0,1977799.0,2584737.0,26634.0,683422.0,102180.0,88432.0,86469.0,5646740.0,31701.0,33753.0,1918352.0,54716.0,206771.0,3473191.0,795012.0,1773549.0,915993.0,6214324.0,19743891.0,30875.0,107862779.0,1516360.0,12011279.0,5466935.0,173568.0,2503959.0,34592379.0,776146.0,876037.0,74322974.0,6238837.0,1170417.0,1108956.0,1060277.0,13853.0,15229.0,13123306.0,693095.0,256959.0,1419141.0,381702.0,1034443.0,24664.0,3901.0,2162286.0,87739.0,1555873.0,252255.0,1432319.0,249756.0,5216180.0,24229.0,781686.0,940752.0,14654.0,29991493.0,12052.0,783492.0,899418.0,271474.0,6208166.0,137597.0,583546.0,7125.0,741720.0,160176.0,351513.0,280493.0,3405216.0,168944.0,56016.0,408945.0,9926746.0,1139567.0,8039946.0,2534594.0,491976.0,6710.0,2279646.0,196584.0,44492.0,1344264413.0,14931575.0,720827.0,7750520.0,12407427.0,6788.0,245451.0,17026266.0,1585355.0,8223644.0,3368354.0,885123.0,,62890.0,102800.0,8164758.0,81464683.0,127143.0,1733819.0,1932492.0,1339898.0,2074507.0,15746.0,650108.0,1446936.0,10864.0,847805.0,2847655.0,294352.0,22914.0,174346.0,1863258.0,638279.0,6517403.0,42820.0,6414.0,20940.0,2765675.0,2896.0,431235.0,477688.0,7510516.0,1082967.0,1049065.0,71268.0,17038.0,426680.0,2231234.0,14008351.0,1250.0,1059445.0,687832.0,25913847.0,2298732.0,150922373.0,4318535.0,29445.0,8182355.0,1652.0,44174.0,7589967.0,10632.0,28576.0,939682.0,10651838.0,1311685.0,905588.0
