Date,ABW,AFG,AGO,ALB,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESH,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,GAB,GBR,GEO,GHA,GIB,GIN,GLP,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SLB,SLE,SLV,SOM,SPM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VGB,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1985,,,,,0.0,45.853027,,,,11.640787,72.51263,6.3402658,,0.59314054,,,16.320673,5.3732705,,,,0.06028636,,,,93.68031,,,,,,66.51679,57.540203,80.23504,22.495691,,,,,,63.686756,,,,,,0.0,2.8750367,3.6446776,,,0.40181115,,5.263158,71.939445,30.237823,,,25.20347,0.0,,24.97134,,,18.454147,,,1.3268555,,,,,,,,,10.1117525,,,,,,,0.0,,,,0.5784877,16.901121,27.798811,6.927201,15.158679,2.9085016,99.914604,0.012960588,23.650263,,,14.223239,6.4118633,,,,,,5.0823493,0.0,,,,,,97.18459,,1.8763793,9.329798,60.04184,,6.6167464,,,,31.253572,,,,,,,,,,,,,25.216927,,,,,,0.7050417,99.12482,,,76.2975,0.0,,20.817406,45.1829,,78.86219,50.492752,,1.6330947,,,59.476192,,,,0.0,,17.70169,16.603529,,0.0,,,0.0,,,,,,,,,,,9.406381,,53.081524,,,,,,,16.026957,,0.027304996,,,0.5623553,,35.21709,10.807119,,,3.9384654,,12.178154,11.329905,,47.89173,,,29.137897,,,,0.4348705,,
1986,,,,,0.0,43.152367,,,,11.183614,73.2006,3.7337797,,0.78737473,,,9.374999,5.561932,,,,0.05512375,,,,91.828995,,,,,,66.69049,58.11356,81.7139,21.032778,,,,,,68.236824,,,,,,0.0,3.0954032,3.8522167,,,0.66659975,,1.9258916,80.04788,27.639322,,,21.030579,0.0,,25.31237,,,17.671238,,,1.5841147,,,,,,,,,11.456599,,,,,,,0.0,,,,0.54913706,24.190905,25.937187,7.2618556,16.711706,2.6921525,99.90875,0.037420012,22.94026,,,13.989435,5.6194215,,,,,,4.4630504,0.0,,,,,,99.75111,,1.7152382,10.103137,57.885277,,8.281814,,,,24.793179,,,,,,,,,,,,,25.54464,,,,,,0.82923925,98.91349,,,82.40133,0.0,,20.545265,38.499657,,78.88477,55.26032,,1.3664162,,,44.804718,,,,0.0,,14.322055,16.410122,,0.0,,,0.8036685,,,,,,,,,,,6.930652,,45.379406,,,,,,,22.422955,,0.024201356,,,0.79003346,,30.019547,9.841289,,,3.9072874,,12.544128,8.852183,,50.20554,,,25.456848,,,,1.0948389,,
1987,,,,,0.0,42.24961,,,,10.369839,73.04341,3.5109818,,0.9105686,,,9.253625,5.835806,,,,0.053400263,,,,93.033165,,,,,,64.16609,58.904114,83.73729,20.114803,,,,,,69.81999,,,,,,0.0,3.9632773,4.0926185,,,0.8959179,,3.9223392,84.881134,25.156712,,,21.065016,0.0,,26.022257,,,19.088827,,,1.3858436,,,,,,,,,9.1867075,,,,,,,0.0,,,,0.5680863,22.11833,21.890572,5.2523727,17.344992,11.550422,99.90614,0.056570683,21.228374,,,12.457424,6.4775248,,,,,,4.941189,0.0,,,,,,80.41519,,1.5925766,11.780105,62.304832,,10.311211,,,,22.326666,,,,,,,,,,,,,28.505014,,,,,,1.029979,99.05163,,,80.68693,0.0,,19.913677,45.04877,,78.63773,44.797146,,1.2713172,,,48.507572,,,,0.0,,15.131143,15.518747,,0.0,,,0.71949756,,,,,,,,,,,8.1763935,,50.363987,,,,,,,14.21294,,0.022612497,,,0.8905487,,42.10705,7.967408,,,3.4083545,,10.752805,12.365118,,56.97739,,,22.872252,,,,1.0612116,,
1988,,,,,0.0,29.299517,,,,10.507794,75.497,2.9622653,,0.8370442,,,10.319524,5.7661977,,,,0.052424636,,,,94.17544,,,,,,61.2473,59.977894,76.17499,20.023113,,,,,,69.89322,,,,,,0.0,3.2626605,3.9537015,,,1.4410659,,1.3103251,85.552216,22.806587,,,25.885878,0.0,,24.981073,,,19.968836,,,1.5819995,,,,,,,,,7.0880995,,,,,,,0.0,,,,0.5781138,20.291437,22.633194,6.5939674,17.555887,11.0874195,99.8565,0.051672906,21.62251,,,14.100252,7.907406,,,,,,2.1343105,0.0,,,,,,92.79231,,1.4787992,8.621103,58.723534,,10.418522,,,,23.58453,,,,,,,,,,,,,29.603834,,,,,,1.2246245,98.96836,,,80.5822,0.0,,19.683376,42.20439,,77.9147,46.810833,,1.3073299,,,57.29912,,,,0.0,,19.617111,15.103107,,0.0,,,0.65296715,,,,,,,,,,,7.6175184,,49.188953,,,,,,,11.564287,,0.02327205,,,0.774749,,60.392765,6.1328287,,,4.0149326,,9.291261,14.1606,,58.722637,,,26.396463,,,,1.9994813,,
1989,,,,,0.0,26.135784,,,,9.947415,73.617905,2.9968464,,0.7446667,,,12.930429,6.0702443,,,,0.0519629,,,,93.845985,,,,,,59.010662,55.490753,60.996014,20.247427,,,,,,73.08355,,,,,,0.0,2.5226085,3.5756319,,,2.517276,,1.4748107,85.872765,23.358654,,,13.563719,0.0,,24.420065,,,11.974421,,,1.5186039,,,,,,,,,5.517181,,,,,,,0.0,,,,0.5338559,22.045029,23.259537,5.044459,13.089382,10.896898,99.89905,0.014667559,17.742832,,,13.602426,8.13323,,,,,,2.860322,0.0,,,,,,98.01603,,1.3186357,6.4524403,62.16567,,12.821364,,,,25.0145,,,,,,,,,,,,,24.60873,,,,,,1.3136109,99.35569,,,80.16135,0.0,,18.829807,40.749832,,77.59889,47.654404,,1.1769234,,,25.116282,,,,0.0,,18.032722,14.837524,,0.0,,,0.6054605,,,,,,,,,,,8.151226,,51.676205,,,,,,,14.814671,,0.020678246,,,0.75845975,,34.590878,6.018356,,,3.430161,,10.330222,9.847429,,60.16314,,,49.30627,,,,1.6889184,,
1990,,,,,0.0,34.989185,,,,9.9702215,66.24721,7.1613684,,0.7966994,,,11.433006,3.8902147,,,,0.0505996,,,,94.500916,,,,,,62.347786,53.9795,53.834263,20.414036,,,,,,72.60907,,,,,,0.0,1.8628552,3.5222955,,,3.1996915,,0.83830106,78.544685,23.724451,,,17.220163,0.0,,29.4702,,,13.128545,,,1.792025,,,,,,,,,5.1754384,,,,,,,0.0,,44.6084,,0.70323485,23.010492,23.09713,4.9261084,12.802012,16.389647,99.761284,0.014355715,16.373447,,,11.1442,8.429943,,,,,,3.9548495,0.0,,,,,,99.841255,,1.4436619,12.903225,67.669174,,12.671375,,,,25.177782,8.521739,,0.0,,,,,,,,,,17.495173,,,,,,1.1598303,99.79441,,,80.14338,0.0,,19.06018,37.15429,,76.80331,45.42014,,1.1083837,,,34.6982,,,,0.0,,17.744944,15.423269,,0.0,,,0.54425776,,,,,,,19.219912,,,,7.3754416,23.713827,51.000137,,,,,,,11.164903,,0.020533882,,,0.866648,,40.371914,7.309623,,,3.4949455,,10.917163,11.802929,,62.34386,,,61.847713,,,,0.6039731,,
1991,,,,,0.0,29.710293,,,,10.368503,65.09171,7.502506,,0.7585335,,,10.13301,5.5787663,,,,0.0464696,,,,94.6263,,,,,,61.393505,56.006077,70.97458,18.413998,,,,,,69.77226,,,,,,0.0,1.8076286,3.167792,,,2.908093,,1.6892477,72.77874,22.913393,,,17.975567,0.0,,31.400969,,,12.974642,,,1.6228938,,,,,,,,,8.80932,,,,,,,0.0,,64.56876,,0.7009346,22.204845,23.131565,5.030181,8.926353,16.057545,99.89846,0.02788869,20.844206,,,11.639143,8.373067,,,,,,2.649406,0.0,,,,,,92.286285,,1.1576438,12.857143,58.053097,,13.318848,,,,22.136204,14.73137,,0.0,,,,,,,,,,16.756989,,,,,,1.2701447,99.80101,,,77.339325,0.0,,19.107336,36.40593,,80.27206,42.50848,,1.130199,,,33.10902,,,,0.0,,25.68662,15.742817,,0.0,,,1.4762061,,,,,,,25.40483,,,,5.812036,28.335949,44.30156,,,,,,,9.048247,,0.020062193,,,0.672043,,37.848602,4.1308455,,,4.1821427,,10.741865,11.134497,,70.3254,,,68.58849,,,,1.1763588,,
1992,,,,,0.0,34.389725,,,,10.299597,72.479454,8.841448,,0.8681042,,,8.949854,5.361174,,,,0.04521878,,,,94.4203,,,,,,61.64369,55.767498,82.69866,17.366554,,,,,,61.782764,,,,,,0.0,2.370872,3.6963484,,,4.4444447,,1.0882643,69.11565,21.784071,,,12.5119705,0.0,,34.76603,,,15.182972,,,1.9654871,,,,,,,,,6.01197,,,,,,,0.0,,48.98877,,0.66287875,26.638681,20.841736,5.266497,13.700914,23.818045,99.89308,0.11747454,20.55416,,,10.02486,8.255777,,,,,,2.1165414,0.0,,,,,,81.92502,,1.6711591,12.121211,65.625,,9.9187155,,,,25.08641,14.003295,,0.0,,,,,,,,,,13.657899,,,,,,1.3185655,99.82068,,,72.75511,0.0,,19.00614,37.227722,,74.851395,39.195976,,1.2396694,,,18.622795,,,,0.0,,21.662655,17.121027,,0.0,,,1.3965604,,,,,,,26.7269,,,,8.347676,27.714748,52.333317,,,,,,,7.3293643,,0.031859696,,,0.75452715,,39.628807,6.460373,,,3.1030953,,9.729862,12.337216,,70.093414,,,74.47707,,,,0.4473794,,
1993,,,,,0.0,38.57245,,,,10.323703,74.15708,12.73424,,0.7277397,,,6.6043878,4.730444,,,,0.056939073,,,,95.25633,,,,,,61.68844,58.93239,78.98772,18.750757,,,,,,67.74924,,,,,,0.0,2.6078064,3.940698,,,4.766134,,1.8182755,78.39561,21.59424,,,16.200361,0.0,,31.837538,,,13.944494,,,1.7702949,,,,,,,,,6.175457,,,,,,,0.0,,47.903564,,0.6381039,25.141516,19.625616,4.8387094,14.103045,22.745764,99.87287,0.10000116,20.578865,,,11.247435,9.794708,,,,,,2.6130476,0.0,,,,,,95.40805,,2.7997127,11.940298,73.28245,,4.470232,,,,24.627949,10.03861,,0.0,,,,,,,,,,13.914475,,,,,,1.4496574,99.79954,,,77.167366,0.0,,19.706957,38.471695,,80.41599,40.24606,,1.1762028,,,30.577173,,,,0.0,,23.067198,18.226152,,0.0,,,1.2920306,,,,,,,26.902538,,,,14.428275,25.439331,52.918907,,,,,,,5.750053,,0.03956698,,,0.73356044,,46.186157,3.7685077,,,4.7717843,,10.270781,14.970803,,68.42985,,,74.70456,,,,0.083569,,
1994,,,,,0.0,41.73245,,,,9.9148655,71.02984,10.414889,,0.85506034,,,8.656991,3.422854,,,,0.060515337,,,,95.4056,,,,,,60.328487,59.91988,74.26599,18.137293,,,,,,72.18858,,,,,,0.0,3.047945,4.4966893,,,4.309064,,0.83488405,80.61493,22.096807,,,18.140957,0.0,,27.842121,,,16.747738,,,2.1374326,,,,,,,,,6.5967016,,,,,,,0.0,,62.242565,,0.6264916,20.873459,20.822308,5.5985703,8.51316,23.432074,99.89313,0.08122702,21.092896,,,7.9192533,13.74575,,,,,,1.2810979,0.0,,,,,,93.21542,,4.6106553,18.644068,74.549545,,7.323452,,,,18.134735,11.616161,,0.0,,,,,,,,,,16.307709,,,,,,1.6100178,99.643875,,,82.14893,0.0,,19.377851,37.16468,,81.09164,39.994747,,1.3354341,,,37.371464,,,,0.0,,23.71003,20.091812,,0.0,,,1.1849831,,,,,,,28.942245,,,,17.11818,26.377037,43.027332,,,,,,,6.264716,,0.038022812,,,0.7864341,,39.21869,4.267253,,,5.935939,,9.532383,14.970712,,72.00685,,,75.21973,,,,0.59111667,,
1995,,,,,0.0,39.635246,,,,9.407731,70.6812,9.129312,,0.9113167,,,3.442532,5.210084,,,,0.080263264,,,,94.15729,,,,,,61.172176,56.87249,72.40424,19.286135,,,,,,68.37411,,,,,,0.0,3.9782107,4.8839316,,,5.0847454,,0.97895,61.226696,22.095871,,,14.76949,0.1150748,,30.546873,,,15.0507765,,,1.9797283,,,,,,,,,8.695652,,,,,,,0.0,,61.58009,,0.6466784,19.411617,18.022327,4.1548095,9.866869,26.86892,99.78912,0.08213688,17.466402,,,9.212627,12.482957,,,,,,1.4797226,0.0,,,,,,94.03553,,2.7366862,22.448978,73.68421,,5.0529275,,,,22.629656,13.0505705,,0.0,,,,,,,,,,13.350653,,,,,,1.7673602,99.65644,,,83.93446,0.0,,19.720285,35.681023,,77.48532,36.857006,,1.430135,,,28.501976,,,,0.0,,28.264185,20.501009,,0.0,,,1.1107384,,,,,,,30.764448,,,,18.463867,25.1938,47.578907,,,,,,,8.447449,,0.040383648,,,0.7661945,,41.570038,3.9238403,,,5.090555,,10.601639,13.040272,,70.05147,,,72.24194,,,,0.28341055,,
1996,,,,,0.0,32.54642,,,,9.408695,66.95978,8.996196,,0.7452755,,,6.4406486,6.771322,,,,0.06743088,,,,93.56041,,,,,,63.361584,51.231163,60.444508,17.534836,,,,,,73.97725,,,,,,0.0,3.5406547,4.842858,,,3.8965902,,0.65362644,65.53657,21.437372,,,23.815022,0.0,,25.62401,,,13.214124,,,1.6216832,,,,,,,,,10.410244,,,,,,,0.0,,70.64632,,0.74095184,18.970045,15.95155,4.027557,9.821708,24.977062,99.87892,0.0736888,19.307407,,,8.979606,12.478934,,,,,,1.2532258,0.0,,,,,,71.818214,,2.0320199,17.777779,59.615387,,15.60855,,,,23.968714,12.801206,,0.0,,,,,,,,,,9.7061615,,,,,,2.1648626,99.50329,,,79.182655,0.0,,19.405693,36.70133,,77.90021,36.95208,,1.4590268,,,46.14035,,,,0.0,,25.823366,18.221094,,0.0,,,1.0247016,,,,,,,35.530792,,,,16.614298,28.122606,38.404095,,,,,,,8.531997,,0.049358338,,,0.3743669,,42.941486,3.6720502,,,4.684616,,11.360623,14.366235,,71.2375,,,70.868744,,,,0.68918294,,
1997,,,,,0.0,38.80356,,,,8.989149,68.03382,10.168686,,0.7704161,,,6.063417,6.387975,,,,0.08059255,,,,92.978355,,,,,,62.360817,55.186493,62.13549,17.516706,,,,,,64.037476,,,,,,0.0,3.4106839,4.218753,,,6.6379704,,0.34888592,63.06056,20.729431,,,19.547401,0.10845987,,29.156416,,,12.975907,,,2.047509,,,,,,,,,9.156739,,,,,,,0.0,,57.29677,,0.7627119,12.157132,15.386591,4.1221375,6.125816,24.755814,99.90772,0.071202755,18.738337,,,9.761911,12.498077,,,,,,1.1744279,0.0,,,,,,67.016136,,2.0847812,24.390244,65.410194,,15.324063,,,,19.348513,13.372956,,0.0,,,,,,,,,,6.962513,,,,,,2.3619273,99.57466,,,70.287834,0.0,,19.361753,29.523497,,74.46556,33.43468,,1.5112815,,,41.988785,,,,0.0,,30.888577,18.880848,,0.0,,,0.9172801,,,,,,,29.838024,,,,16.214056,23.444613,48.274242,,,,,,,7.9380517,,0.05264266,,,0.36086607,,38.906097,3.8349452,,,5.504075,,11.45328,12.54397,,73.358444,,,60.929333,,,,1.0638803,,
1998,,,,,0.0,36.01876,,,,8.488753,69.92117,10.8419,,0.92581314,,,6.714796,7.4118786,,,,0.119189516,,,,92.92329,,,,,,60.486572,53.99988,48.170883,17.287024,,,,,,62.27472,,,,,,0.0,3.079542,4.529731,,,9.604106,,0.9242542,59.74183,19.942501,,,19.075443,0.11695906,,34.802452,,,12.539284,,,2.3848252,,,,,,,,,8.293217,,,,,,,0.0,,52.709793,,0.5913978,17.798302,17.0291,5.659472,7.313571,23.174026,99.90164,0.065830365,18.32374,,,9.946743,12.331326,,,,,,1.8311406,0.0,,,,,,68.98116,,2.4489796,40.540543,74.48276,,13.70296,,,,16.985353,15.319149,,0.0,,,,,,,,,,6.9487243,,,,,,2.5953686,99.62206,,,75.8403,0.0,,19.06064,36.30915,,74.98883,33.62355,,1.7972579,,,36.51613,,,,0.0,,35.64823,19.168646,,0.0,,,0.86344224,,,,,,,29.293215,,,,16.595413,25.145773,49.18446,,,,,,,6.029433,,0.06372132,,,0.3482298,,38.335438,4.171504,,,9.080944,,10.147997,12.5446615,,71.594734,,,51.157326,,,,0.8891097,,
1999,,,,,0.0,26.866888,,,,8.457536,70.91426,8.285651,,1.0195514,,,5.764706,7.197469,,,,0.07165485,,,,90.03717,,,,,,61.290302,59.41687,39.149124,16.105118,,,,,,71.497345,,,,,,0.0,3.677731,5.2269373,,,11.311983,,0.8199701,69.62207,20.466146,,,13.232504,0.120918974,,30.524345,,,14.187551,,,2.6130652,,,,,,,,,9.715689,,,,,,,0.0,,56.635803,,0.63441706,17.05412,15.599825,5.2025785,4.7035103,14.39694,99.90988,0.084124655,19.795565,,,9.3160305,12.964059,,,,,,1.6237406,0.0,,,,,,66.56838,,3.1345565,36.111107,67.15328,,6.397828,,,,20.42142,20.26239,,0.0,,,,,,,,,,11.078236,,,,,,2.947393,99.558426,,,69.84938,0.0,,18.75384,32.931305,,77.063034,44.49218,,1.6715479,,,20.168459,,,,0.0,,36.23935,18.972496,,0.0,,,0.8299458,,,,,,,36.133636,,,,15.9018135,28.431372,48.275642,,,,,,,4.2754407,,0.05643341,,,0.34305313,,29.981106,3.4364917,,,8.297601,,9.860898,12.545181,,75.200096,,,58.46598,,,,0.45465288,,
2000,0.0,64.583336,63.194443,96.1945,0.0,32.59159,21.626297,0.0,0.0,8.089287,72.83702,8.137045,100.0,1.2682691,0.0,25.641027,5.8971143,6.479429,0.0,0.0,48.801533,0.11494252,69.230774,1.6666665,51.54639,89.49073,0.0,0.0,100.0,0.0,80.0,60.607464,56.987293,49.82977,16.639126,36.458332,98.84058,100.0,100.0,0.0,75.35622,0.0,6.666666,99.12537,6.8529606,0.0,0.0,3.1275718,6.2237453,0.0,37.5,15.536961,6.9946194,0.1968504,71.50997,19.448992,0.0,0.0,15.611987,0.11750881,98.81656,33.414318,72.0,0.0,12.736593,36.363636,61.832066,2.628229,78.80435,91.35286,0.0,50.617283,9.836065,0.0,0.0,20.0,7.8201737,0.0,58.620693,50.1548,89.13043,0.0,1.1111112,0.0,61.813187,57.53791,51.85185,0.68201196,19.99184,14.048198,4.9957657,3.2006702,1.9122257,100.0,0.07032349,18.844929,4.5790253,0.5427408,9.187302,14.58172,40.37123,85.48896,15.151515,0.0,0.0,1.4184885,0.0,89.863014,4.4221106,0.0,0.0,0.0,47.34513,100.0,3.054807,40.0,68.115944,0.0,5.620438,7.1559634,63.953487,0.0,19.379236,17.180616,26.415096,0.0,36.666668,,0.0,99.895515,7.142857,0.0,0.0,29.37853,90.08264,10.815451,97.22221,27.439024,0.0,38.26323,21.491228,3.3727005,99.71232,98.181816,0.0,71.75533,0.0,1.6891892,18.71816,25.853514,70.34765,81.97791,42.891834,42.396313,1.6273223,0.6864989,52.33161,29.784773,100.0,0.0,29.268291,0.0,46.590908,28.66563,18.70215,62.500004,0.0,50.0,3.3557048,1.5472056,0.0,0.0,11.111111,61.725067,0.0,0.0,30.735523,,33.333332,73.958336,14.977258,28.655401,57.247128,98.48484,0.0,12.910891,0.0,0.0,55.555553,6.721106,98.45506,0.0,,0.0,0.36630034,0.7554296,25.05226,3.0350575,86.4,99.37107,6.5642457,93.412384,9.229898,7.5330772,29.999998,73.75396,0.0,0.0,54.781628,0.0,50.0,0.0,0.75473493,99.48119,45.636627
2001,0.0,72.46377,62.19512,95.39295,0.0,41.036167,16.72474,0.0,0.0,7.696424,69.268616,6.8037977,100.0,1.3735217,0.0,13.888888,5.6386657,3.7983427,0.0,0.0,48.730007,0.11966494,69.230774,1.6393442,54.545456,84.28854,0.0,0.0,100.0,0.0,72.72727,58.108753,59.39479,54.040646,18.958124,36.475407,98.0057,99.83108,100.0,0.0,74.153915,0.0,5.882353,98.55073,6.535948,0.0,0.0,3.4626784,6.5429926,0.0,37.5,15.583377,6.697819,0.26296017,63.75228,18.077066,0.0,0.0,21.152443,0.23557127,99.01961,28.93217,74.68354,0.0,14.023221,33.333332,62.857143,2.4794033,79.79651,83.866844,0.0,57.291668,8.527132,0.0,0.0,16.666666,5.5957365,0.0,57.142857,43.684994,69.99999,0.0,1.0869565,0.0,49.616367,56.313725,47.45763,0.7138935,20.90241,12.99971,4.1903987,3.2526062,1.9224806,100.0,0.045506254,19.988966,3.3873343,0.530504,9.077312,14.590104,59.459457,83.119514,10.714286,0.0,0.0,0.78740156,0.0,89.91825,3.3165832,0.0,0.0,0.0,46.77661,100.0,2.2980504,19.54023,66.276344,3.8216558,6.8589745,6.1538463,61.36364,0.0,16.516031,9.89011,26.168222,0.0,38.543896,,0.0,99.65987,6.3829784,0.0,0.0,28.645834,90.983604,8.762206,100.0,21.511627,0.0,38.267616,19.838057,3.5923593,99.52193,98.91892,0.0,63.645622,0.0,1.3404826,18.045189,26.265429,49.21875,85.55609,37.27949,34.328358,1.9343166,0.58269835,52.21503,34.172817,100.0,0.0,23.809525,0.0,40.54054,27.861813,19.523825,60.0,0.0,50.74627,3.3519554,2.0871143,0.0,0.0,7.692308,59.033077,0.0,0.0,30.365368,,0.0,70.192314,15.964802,26.726519,51.559402,98.57143,0.0,12.864623,0.0,0.0,38.46154,6.7234383,98.74913,0.0,,0.0,0.5319149,0.6151142,19.91165,3.4052937,94.69965,99.37107,6.9532604,99.783775,7.5132055,9.09091,20.0,67.07358,0.0,0.0,59.49036,0.0,50.0,0.0,1.0233222,99.37028,37.468353
