Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1850,629226.9,531513.44,273922.12,9318.316,47265.47,599036.94,79335.07,11826.3545,903583.8,2978339.2,308206.03,177117.27,13847295.0,222999.36,341355.56,5358071.0,1530208.6,15957.091,10328.109,300663.8,1764671.2,64175.207,260832.69,3509151.8,39811.17,3672.482,195221.39,14487.455,78215.39,8368548.5,354953.5,676326.2,101962100.0,171199.3,324069.47,1188477.8,94760.055,505.749,562297.5,11828.472,8156.8154,42103.363,4367968.5,49150.668,4432753.5,32124204.0,4848.0005,3705.4937,819044.8,131910.4,540973.7,240522.2,2552495.2,57265.094,2083574.6,132046.45,1514814.0,485515.16,17310.611,39666950.0,877.56726,35725.633,166634370.0,446093.22,420181.56,334257.03,16999.207,31027.273,55981.953,854260.1,11815.212,263400.16,147969.5,25206.873,108634.97,196234.19,256633.06,3615718.8,5170998.0,45278920.0,7038873.5,2260293.0,253050.69,8989.471,295754.66,7220467.5,289612.12,77142.52,4051271.8,430143.12,487107.8,156638.33,704835.9,984.85913,71015.12,6467150.0,59254.99,249866.61,96563.74,108975.3,116271.51,1190.9911,1137.9309,439350.0,33808.74,569953.4,63547.17,617003.94,9001.859,665422.4,263318.4,293906.3,2148.809,2024560.2,63237.914,323999.62,13692.111,725199.1,8291.188,213212.78,725724.1,80523.94,55219.11,184002.42,177300.3,23271.734,202532.7,2147965.5,90493.18,196.04193,7577898.5,430060.78,856325.2,72.55496,105086.21,166036.0,681080500.0,2686213.5,52768.453,567979.3,874771.1,10574.373,244395.44,11657461.0,8453550.0,920766.44,104829.71,20376.857,2535406.0,40939260.0,118495.55,563403.3,2143647.5,416121.0,25607.732,4172.196,162855.03,117986.41,146152.72,129722.53,118691.58,3413.7888,16165.408,855022.7,102957.82,1310014.9,2424.2998,943778.9,297.33176,188293.3,140761.0,1352658.2,94026.24,212864.14,32415.502,7190.432,57332.76,177620.83,1841110.9,226.17763,466405.66,573377.06,469369.78,5704824.5,58814.84,76646950.0,666577.8,17387.62,482255.53,2610005.5,6365.1924,4048.6477,1103823.6,973658.9,203028.36,115423.72
1851,633039.25,532697.75,276796.8,9221.927,47656.6,609847.75,80215.98,11635.713,961435.75,2989494.5,308115.2,177977.92,14734764.0,221779.17,343100.12,5412285.0,1534274.9,16026.093,10259.887,302622.3,1780515.4,62513.18,265622.94,3560649.2,39825.48,3713.5715,196917.62,14715.398,78725.95,8235180.5,358722.38,691100.0,101152810.0,172361.36,324773.53,1196820.9,95264.68,508.96277,567315.0,11841.944,8174.021,42655.51,4393993.0,49725.6,4461765.5,34092164.0,4868.3276,3756.359,794707.1,134275.81,546474.44,246497.19,2553075.2,57715.42,2112422.5,131873.42,1534433.0,491123.0,17513.637,40261230.0,882.4426,35889.082,159255020.0,449741.88,421277.66,335753.38,17026.045,31100.71,55604.08,863065.1,11758.43,266742.75,149745.3,26152.879,109031.195,197674.48,259447.3,3931106.8,5235036.5,45503080.0,6285810.5,2271081.2,254920.42,9124.636,297144.2,7261914.5,284760.66,77294.52,4080020.8,424026.3,489067.84,157096.28,708996.2,992.70514,69078.34,6475408.0,59732.44,252722.66,97326.43,111471.05,116615.914,1183.8182,1140.073,421460.2,34292.848,577363.06,63676.773,622680.56,9136.884,671514.25,263384.62,295339.12,2162.342,2045334.0,63693.945,325037.56,13765.684,728575.25,8364.514,213680.69,729914.5,80636.266,59897.297,184334.48,180880.83,23584.951,202831.69,2156774.5,91137.61,197.08595,7612392.0,445131.94,860095.4,73.487625,106887.09,166608.28,684197760.0,2711860.2,53474.582,576134.44,890125.5,10691.12,250556.64,12025839.0,8456294.0,927779.7,105447.41,20601.803,2554769.2,41354996.0,119354.09,565370.7,2156359.5,417146.88,26063.887,4253.2983,163192.22,119788.195,146871.08,130829.33,118252.26,3449.1467,16303.25,860324.3,103683.234,1336213.5,2434.6956,945923.8,297.76004,188643.75,141744.27,1360546.5,93895.41,213050.14,32765.441,7232.16,64338.758,179168.02,1852409.0,228.77184,469080.7,577614.7,473712.12,5768788.5,61311.535,83103464.0,666042.1,17168.129,491677.47,2639309.0,6424.27,4095.3118,1106016.6,994408.6,203729.8,117279.82
1852,636853.75,533876.6,279694.0,9259.247,48042.242,620638.6,80406.09,11484.295,1024424.94,3471493.8,309533.5,178840.06,16050024.0,220557.56,344854.3,5466635.5,1538335.4,16094.83,10219.145,304575.28,1799731.0,61253.594,270408.34,3612323.8,39909.426,3754.3223,198613.45,14944.438,79239.88,8340498.0,361159.4,774757.9,100346910.0,173530.08,325472.53,1205255.1,95770.49,512.16925,572321.44,11856.001,8191.128,43208.35,4420145.5,50300.363,4490871.5,36646060.0,4888.567,3810.793,821762.8,136662.1,551965.25,252614.72,2589395.2,58170.516,2152793.5,132947.45,1554013.8,496124.16,17719.8,42325268.0,887.31805,36052.37,158696540.0,453921.22,421834.94,337251.4,17052.64,31174.074,55230.49,871854.56,11723.247,270096.72,151521.98,27118.707,109426.46,199111.88,262268.47,4030403.2,5299281.5,45727564.0,6126863.5,2281836.8,256782.98,9257.776,298521.34,7302370.0,281222.47,77441.89,4108647.8,427199.8,491039.6,158257.38,713179.5,1000.581,67581.66,6483649.0,60204.97,255599.11,98087.17,114056.41,116956.04,1178.9268,1142.0289,427082.53,34779.07,586092.3,63790.684,629176.25,9271.922,679408.25,264628.97,296831.75,2175.8435,2066103.5,64147.41,326069.38,13838.606,731940.7,8437.438,214148.72,734098.1,80747.82,63767.094,184664.0,184472.94,23898.016,203128.23,2165528.8,91781.67,198.12881,8330445.0,448583.3,863859.6,74.416084,108696.82,167178.17,696188860.0,2737498.5,54183.25,584303.4,905505.06,10807.565,256912.05,12838659.0,8459035.0,934821.94,106067.8,20823.271,2574114.2,41855504.0,120211.96,567325.3,2169137.2,418171.66,26519.176,4336.6294,163527.02,121600.055,147798.97,131929.67,118926.13,3484.661,16440.916,865645.2,104406.914,1345230.4,2439.1313,948059.7,298.36276,188991.75,142729.14,1368411.0,94153.586,214196.8,33118.047,7273.907,71471.13,180705.83,1863719.2,231.36374,471734.56,581916.5,478112.28,5860912.5,63831.605,86603290.0,668476.06,17011.781,501158.28,2668765.8,6484.155,4142.796,1108206.9,1015233.06,204427.02,119137.03
1853,640668.44,535046.44,282612.4,9327.285,48419.32,631394.06,80597.46,11436.552,1133742.6,3890867.0,310946.9,179702.17,16446351.0,219333.5,346615.75,5521103.0,1542385.4,16163.246,10253.9375,306520.03,1819128.9,61109.438,275187.66,3664133.5,40195.06,3794.5151,200308.69,15174.34,79756.63,8619206.0,363422.75,723707.0,99544170.0,174702.98,326163.34,1213776.0,96276.58,515.3642,577304.25,11869.968,8208.074,43760.965,4446423.0,50876.055,4520062.5,38374068.0,4908.67,3876.5635,851825.7,139068.23,557116.0,258727.34,2625546.0,58629.94,2291091.8,134021.53,1573545.0,501246.75,17929.05,47355436.0,892.19336,36215.01,157882030.0,458150.78,422383.2,338748.72,17078.84,31247.148,54861.02,880643.4,11748.557,273460.0,153299.27,28080.727,109819.72,200544.95,265095.0,4056474.0,5363710.5,45952172.0,6004526.0,2292548.5,258634.94,9387.782,299881.56,7341358.0,281349.66,77581.74,4137082.8,430355.75,493017.3,159415.3,717384.2,1008.47577,67286.836,6491859.5,60669.848,258495.6,98844.95,116734.27,117289.16,1180.1727,1143.7727,432709.38,35266.523,594949.8,63888.62,635727.4,9406.97,687308.4,265873.72,298604.3,2189.2812,2086849.5,64596.957,327093.47,13910.68,735287.56,8509.722,214616.05,738270.5,80858.17,66828.2,184988.95,188073.58,24210.725,203420.83,2174195.0,92424.44,199.17007,8793952.0,467166.0,867611.56,75.33631,110513.36,167744.25,709858560.0,2763101.5,54893.93,592480.25,920899.06,10923.426,263468.66,13128801.0,8461769.0,941801.5,106690.016,21039.191,2593429.5,42360044.0,121066.67,569259.75,2181976.5,419193.34,26973.023,4422.2275,163857.9,123420.94,149012.78,133020.14,119608.14,3520.1213,16578.273,870980.6,105127.91,1365121.5,2443.548,950185.06,299.46454,189335.78,143714.77,1376236.6,94409.484,215339.33,33473.26,7315.658,79033.42,182231.84,1875383.8,233.95193,474353.97,586279.56,482566.72,5954242.5,66374.84,91466150.0,670895.75,17033.006,510694.72,2698367.5,6544.854,4191.0933,1110393.0,1036112.56,205117.5,120991.445
1854,644482.56,536203.75,285550.8,9715.838,48784.777,642098.2,80789.1,11389.142,1227690.6,3846312.0,312353.3,180562.66,17786028.0,218105.81,348382.16,5575667.5,1546420.4,16231.289,10288.423,308453.78,1838706.5,60964.78,279959.97,3716036.8,40479.86,3833.9329,202003.22,15404.853,80275.67,8909180.0,366480.25,625714.8,98744340.0,175877.56,326842.88,1222379.6,96782.04,518.5437,582251.7,11883.821,8224.797,44312.438,4472820.0,51451.05,4549329.0,42270950.0,4928.585,3942.1582,955280.4,141493.3,562247.4,264830.97,2662700.0,59093.28,2193037.5,135095.02,1593014.5,506175.4,18141.328,52517416.0,897.0688,36376.508,186052600.0,462429.97,422918.9,340242.88,17104.49,31319.717,54495.504,889392.3,11773.774,276830.72,155076.77,29036.648,110209.97,201972.19,267925.2,4179214.8,5428298.0,46176732.0,5902753.5,2303203.5,260472.69,9513.552,301220.28,7379224.0,281473.66,77711.26,4165256.8,433487.53,494995.62,160568.9,721608.5,1016.3784,66993.86,6500026.0,61124.34,261411.66,99598.734,119507.67,117612.67,1181.3485,1145.2795,438336.22,35754.312,603935.94,63970.35,642332.75,9542.023,695209.9,267117.6,300374.84,2202.6238,2107553.2,65041.19,328107.75,13981.695,738607.3,8581.131,215082.47,742427.06,80966.766,69476.43,185307.31,191679.69,24522.684,203707.89,2182740.8,93064.92,200.20944,10668612.0,543276.1,871346.06,76.244286,112332.96,168305.05,756674100.0,2788646.2,55606.086,600659.06,936298.9,11038.418,270233.5,13713266.0,8464491.0,948625.6,107313.17,21247.494,2612703.8,42868590.0,121915.75,571166.44,2194873.0,420209.97,27424.848,4510.1323,164183.4,125249.84,150232.22,134097.06,120296.68,3555.5076,16715.201,876326.5,105845.31,1489142.9,2447.9375,952298.44,300.55365,189674.34,144700.3,1384008.6,94662.24,216476.11,33831.0,7357.401,86587.09,183743.62,1887027.5,236.53487,476925.47,590701.8,487071.9,6048777.5,68941.04,95930650.0,673295.44,17054.123,520283.4,2728107.0,6606.358,4240.199,1112573.8,1057027.5,205798.56,122839.336
1855,648294.2,537344.94,288507.97,9690.126,49135.555,652735.3,81744.54,11342.039,1322229.6,4375707.5,318336.78,181419.94,18114736.0,216873.52,350151.16,5630311.0,1550435.8,16298.903,10322.518,310373.75,1868120.8,60819.49,284723.97,3767876.8,40763.766,3872.3582,203696.83,15635.744,80796.48,9210576.0,369444.78,784213.6,97947176.0,177051.33,327508.0,1231061.9,97285.945,521.7035,587150.94,11897.518,8241.454,44861.87,4499333.5,52025.07,4578661.5,46836450.0,4948.2524,4007.5588,956377.75,143936.28,567353.8,270923.44,2699648.2,59560.105,2208577.8,139938.56,1612411.1,511043.8,18356.592,57643492.0,901.94415,36536.37,175468530.0,468211.88,423438.66,341731.56,17129.443,31391.572,54133.797,898089.3,11798.876,280206.75,156854.22,29984.25,110596.2,203392.17,270757.44,4224856.5,5493021.5,46401056.0,5846442.0,2313790.8,262292.78,9633.971,302532.84,7415470.5,281593.3,77827.55,4193099.0,464527.6,496969.1,163849.66,725852.06,1024.2781,66702.695,6508133.5,61565.723,264346.84,100347.49,122379.78,117923.95,1182.4296,1146.5247,443106.0,36241.566,616664.7,64035.64,651303.44,9677.081,703107.56,271923.8,302140.6,2215.8396,2124855.0,65478.668,329110.44,14051.453,741891.94,8651.432,215547.28,746563.2,81073.234,72367.48,185617.11,195288.36,24833.695,203988.03,2191133.2,93702.27,201.24657,9360512.0,570233.56,875057.44,77.13599,114152.71,168859.17,764860160.0,2814106.8,56319.195,608834.56,951694.6,11152.262,277214.03,14706580.0,8467194.0,955451.5,107936.46,21446.111,2631924.8,43626332.0,122756.695,573037.94,2207822.8,421219.5,27874.072,4600.3853,164502.05,127085.76,151455.61,135156.97,120990.25,3590.7976,16851.56,881678.1,106558.17,1476913.2,2452.6826,954398.3,301.62662,190005.84,145684.94,1391712.4,96092.945,220527.27,34191.223,7399.1206,94131.84,185238.77,1898635.5,239.11125,479435.72,595179.25,491624.53,6226405.5,71530.05,102634700.0,684696.6,17075.107,529921.0,2757976.0,6668.6685,4290.11,1114747.8,1077958.4,206467.53,124676.81
1856,652102.25,538465.8,291482.8,9844.41,49468.58,680779.7,81169.39,11437.078,1468252.9,4912165.0,315136.9,182272.44,17930854.0,215635.52,351920.44,5685012.5,1554431.4,16366.035,10462.664,312277.2,1878391.2,62254.844,289480.0,4045313.8,41377.53,3909.5735,205389.36,15866.764,81318.52,9523604.0,372339.78,867372.6,97152450.0,178221.83,328155.56,1239818.8,97787.41,524.8396,601722.06,11911.028,8257.763,45409.047,4910518.5,52597.848,4608049.5,49318670.0,4967.626,4090.3347,1155588.9,146402.84,572429.9,288420.25,2691543.0,60029.996,2435880.8,137237.11,1631722.8,515684.72,18574.793,59723692.0,906.8196,36694.11,187169680.0,471135.12,423941.38,343212.34,17153.545,31462.494,53775.734,906722.44,11910.318,283590.62,158487.8,30921.375,111421.625,204803.39,273591.38,4274491.5,5557862.0,46624964.0,5814765.5,2324298.8,264092.1,9723.271,303814.75,7450568.0,286938.88,77927.78,4220408.5,439652.12,498931.94,162858.06,730112.3,1032.1638,68099.19,6516168.5,61991.26,267300.75,101090.19,125353.9,118220.27,1191.945,1139.559,447860.7,36727.4,622297.7,64410.62,655701.94,9812.137,710996.5,269596.94,303898.84,2228.897,2158720.2,65907.984,330099.7,14119.758,745133.5,8720.389,216009.88,750674.4,81177.06,74453.7,185916.36,198896.48,25143.426,204259.67,2199339.5,94336.64,202.28113,9466704.0,623907.2,878739.56,78.00744,115983.11,169405.16,787974300.0,2839459.2,57033.08,668653.2,967085.8,11264.673,284418.0,15540616.0,8469877.0,962188.4,108465.36,21632.973,2651200.8,43897584.0,123587.03,574866.75,2220822.8,422220.06,28320.117,4693.033,164812.23,128928.26,152682.45,136196.28,121687.27,3625.9705,16987.242,887031.2,107265.6,1649940.9,2457.3953,956483.4,303.41028,190328.86,146667.84,1399334.5,95154.984,218726.14,34553.86,7440.804,102378.125,186714.83,1910192.8,241.67961,481871.3,599710.1,496221.12,6241460.0,107003.65,105803416.0,678011.7,17350.502,539610.75,2787966.5,6731.7896,4340.8223,1116913.8,1098889.4,207121.81,126500.055
1857,655904.9,539563.44,294473.88,9822.782,49780.797,716232.6,81356.1,11533.693,1562833.4,5559008.5,316510.06,183118.56,18492892.0,214390.77,353687.66,5739754.0,1558398.4,16432.63,10604.255,314161.4,1898493.8,63724.24,294225.28,4137200.8,42000.043,3945.36,207080.69,16097.69,81841.26,9852204.0,375025.34,1103193.8,96359900.0,179386.61,328782.47,1248646.1,98285.51,527.9478,614983.1,11924.313,8273.661,45952.367,4913503.0,53170.52,4637484.5,51520064.0,4986.649,4173.7856,1174660.9,148885.45,577469.94,285474.12,2728432.2,60502.527,2548073.2,138304.22,1650937.8,520536.8,18795.896,60590816.0,911.69495,36849.227,184001550.0,475560.0,424421.22,344682.8,17176.646,31532.27,53421.156,915306.6,12023.772,286975.78,160120.72,31845.951,112239.734,206204.47,276424.1,4374441.5,5622789.5,46848264.0,5771474.5,2334714.8,265866.7,9804.737,305061.34,7484128.5,292405.25,78009.09,4247249.5,442736.2,500879.1,163991.31,734388.5,1040.025,69528.875,6524116.0,62398.24,270272.9,101825.79,128433.49,118499.04,1201.4221,1132.4445,452584.4,37210.93,631674.7,64762.8,662463.5,9947.187,718871.9,270829.7,305648.0,2241.764,2184018.2,66327.78,331073.2,14186.404,748323.25,8787.767,216470.19,754755.9,81277.71,77432.125,186203.05,202501.11,25451.58,204521.28,2207326.8,94965.89,203.31279,8982583.0,627590.44,882387.44,78.85457,117807.875,169941.58,793282940.0,2864677.5,57746.86,687663.9,982453.6,11375.371,291853.4,16052896.0,8472532.0,969117.5,108988.95,21806.01,2670398.5,44417976.0,124404.29,576645.4,2233867.8,423209.62,28762.398,4788.124,165112.6,130775.68,153911.36,137211.48,122386.2,3661.0046,17122.11,892381.3,107966.664,1793409.6,2462.067,958551.8,305.19107,190641.8,147648.23,1406858.9,95393.2,219836.27,34918.87,7482.4385,110657.26,188169.47,1922037.0,244.23853,484218.78,604291.7,500858.25,6339605.0,123581.03,108030744.0,680316.7,17632.479,549342.94,2818071.2,6795.7207,4392.335,1119070.8,1119797.2,207758.69,128305.32
1858,659700.8,540634.5,297480.03,9780.229,50069.14,738409.6,82612.98,11631.895,1634089.5,7942276.5,324307.2,183956.8,19214286.0,213138.22,355450.47,5794515.5,1562332.6,16498.64,10747.249,316023.6,1932328.2,65228.395,298959.53,4202589.0,42631.457,3979.5012,208770.66,16328.271,82364.22,10200381.0,524261.25,1123685.6,95569320.0,180543.23,329385.6,1257540.1,98779.336,531.0241,621490.0,11937.344,8289.088,46490.914,4918062.5,53737.188,4666956.5,54433836.0,5005.272,4257.9155,1005741.6,151383.27,587829.25,282669.12,2766252.5,60977.28,2879540.5,144656.53,1670044.8,525434.6,19019.863,59686264.0,916.57025,37001.24,180565180.0,482072.25,424874.75,346140.56,17198.592,31600.693,53069.91,923719.75,12139.273,290360.22,161752.6,32756.008,113049.53,207593.8,279253.9,4227374.0,5687780.5,47541090.0,5752923.0,2345026.2,267613.16,9877.291,306268.1,7515906.5,297994.75,78068.63,4273553.0,485324.2,502805.16,168107.02,738678.4,1047.8508,70992.555,6531962.5,62783.902,273262.88,102553.266,131622.16,118757.57,1210.8391,1125.1583,458797.9,37691.273,646256.4,65091.414,672522.1,10082.228,726728.6,277061.1,307385.28,2254.4094,2211353.8,66736.57,332029.0,14251.194,751453.5,8853.331,216927.31,758803.4,81374.83,82067.88,186475.12,206099.23,25757.867,204771.42,2215062.0,95589.19,204.34117,8485890.0,593215.2,885994.56,79.673355,119623.5,170466.98,799812350.0,2889738.2,58460.01,678026.0,997789.4,11484.075,299528.5,17199214.0,8475157.0,976902.4,109505.97,21963.152,2695001.2,45286984.0,125205.97,578366.4,2246954.5,424186.22,29200.344,4885.71,165401.52,132627.03,155141.0,138198.98,123085.555,3695.8796,17256.037,897723.94,108660.414,1704733.8,2466.6907,960602.4,306.96603,190943.25,148625.3,1414271.5,97282.17,225036.33,35286.195,7524.009,118969.914,189600.34,1932741.2,246.78654,486464.84,608921.4,505532.7,6554075.5,188644.27,109795250.0,695251.94,17921.197,559114.3,2848283.0,6860.465,4444.6475,1121216.9,1140662.9,208375.55,130088.7
1859,663488.5,543200.7,300500.0,9948.749,50330.547,729500.25,84248.8,11731.689,1839890.4,6560955.0,326152.22,184785.55,19670090.0,211876.81,357206.53,5849278.5,1566229.1,16564.006,10891.602,317861.0,1943540.1,66768.05,303680.9,4340340.0,43271.98,4011.7786,210459.06,16558.283,82886.805,10560690.0,585306.44,937022.44,94780440.0,181689.33,329961.75,1266496.9,99267.99,534.0644,611338.2,11950.078,8303.9795,47023.777,4924104.0,54310.266,4696455.5,52508950.0,5023.4385,4342.731,1145264.9,153895.36,594797.5,283911.94,2803796.8,61453.84,3402073.5,146025.69,1689032.2,530057.9,19246.668,60213750.0,921.4456,37149.656,198065630.0,485611.56,425298.5,347583.22,17219.234,31667.549,52721.84,932197.25,12256.856,293741.8,163383.14,33649.664,113849.914,208970.02,282079.25,4663483.0,5752810.5,48051170.0,5733310.0,2355220.8,269327.84,9959.7295,307430.38,7546245.0,303709.8,78103.53,4299249.0,491131.72,504704.47,169400.86,742981.25,1055.6307,72491.04,6539694.0,63145.54,276270.25,103271.59,134923.67,118993.234,1220.1741,1117.6781,465016.9,38167.55,651153.6,65395.727,635062.94,10217.257,734561.8,280066.7,309108.03,2266.801,2222877.2,67133.016,332965.75,14313.93,754515.56,8916.843,217380.81,762812.06,81467.82,88851.75,186758.17,209687.97,26062.012,205008.56,2222513.0,96205.516,205.36595,8317054.0,658750.25,889555.6,80.45978,121427.68,170979.97,822376200.0,2914615.0,59172.01,674199.8,1013082.75,11590.501,307451.94,16636740.0,8477743.0,984699.3,110015.26,22102.332,2714003.0,45836156.0,125989.59,580022.2,2260079.0,425147.9,29633.373,4985.847,165677.55,134481.23,156371.14,139155.22,123783.8,3730.5735,17388.895,903054.75,109345.914,1962432.6,2471.2593,962633.6,308.73233,191231.56,149598.23,1421556.8,97605.28,226370.05,35655.797,7565.503,127316.766,191005.11,1945459.6,249.32225,488596.0,613596.25,510241.0,6631124.5,143743.48,114987310.0,698232.44,18216.822,566002.2,2878593.0,6926.027,4497.7603,1123351.1,1161467.0,208969.72,131846.47
1860,667266.44,545778.3,303532.5,10223.811,50561.96,747698.1,86282.58,11833.088,1998427.9,6846423.5,329810.4,185603.2,19983666.0,210605.44,358953.5,5904022.5,1570083.8,16628.672,11037.275,319670.88,1958561.8,68343.97,308388.9,4451988.5,43921.797,4041.9749,212145.78,16787.49,83408.58,10944809.0,686574.75,1119178.1,93993050.0,182822.47,330507.97,1275512.6,99750.56,537.0646,619852.06,11962.485,8318.275,47550.06,4931537.0,54876.805,4960686.0,55344252.0,5041.096,4428.237,1064341.0,156420.86,601750.8,285135.4,2841841.2,61931.785,3731132.8,148860.97,1707888.2,571722.3,19476.281,64375076.0,926.32104,37293.98,219468930.0,489742.22,425689.03,349008.38,17238.424,31732.63,52376.793,940479.44,12376.558,297118.72,165012.05,34525.176,114639.91,210331.6,284898.4,4833254.0,5817856.0,48279500.0,5702051.5,2365287.2,271007.34,10031.213,308543.62,7604836.5,309552.78,78110.945,4324268.5,507705.7,506572.03,171514.98,747295.75,1063.354,74025.16,6547295.5,63480.414,279294.62,103979.734,138341.98,119203.34,1229.405,1109.9799,471237.75,38638.887,657485.06,65675.08,601567.4,10352.2705,742366.7,284500.1,310814.34,2278.9082,2238790.5,67515.73,333881.25,14374.414,757502.0,8978.074,217830.81,766777.44,81556.336,91848.11,187495.66,213264.16,26363.754,205231.16,2229646.5,96813.95,206.38681,9654977.0,670571.44,893064.9,81.20982,123217.51,171479.06,859345150.0,2939284.2,59882.344,706472.25,1028324.7,11694.37,315632.56,17115056.0,8480288.0,992373.56,110515.6,22221.477,2732893.0,46490404.0,126752.695,581605.4,2273237.2,426092.72,30060.908,5088.5933,165939.23,136337.34,157600.1,140076.7,124479.43,3765.065,17513.959,974619.94,110022.28,1974303.4,2475.7646,964643.94,310.48703,191505.3,150566.28,1428700.6,98384.375,228920.75,36027.645,7606.9077,135698.53,192381.48,1957008.1,251.84421,490598.97,618314.75,514979.97,6740488.0,153067.98,118457220.0,704744.06,18519.527,572848.0,2908994.0,6992.414,4551.677,1125472.5,1182189.9,209538.6,133574.86
1861,671237.44,548883.1,306583.44,10382.557,50664.63,770438.6,88659.766,11877.405,2052206.1,7080185.5,334966.28,186573.12,21279164.0,211072.72,360933.2,5937872.5,1573915.8,16629.52,11206.786,322876.97,1974765.6,69887.58,304454.2,4478308.5,44377.703,4061.5447,214483.14,17039.615,84524.27,10620685.0,809904.1,1006213.1,93565224.0,185201.11,331381.9,1285442.5,100281.12,539.19946,627166.2,11988.707,8340.8125,48284.17,5103099.5,54985.508,5530592.5,60716976.0,5062.401,4477.216,1309856.1,159149.28,608708.75,286347.2,2886237.8,62551.547,3815027.0,151786.98,1726653.1,614056.2,19657.023,68498664.0,929.5153,37526.188,227715250.0,495172.7,426531.12,350597.38,17276.193,31829.65,52059.94,949356.5,12463.553,300505.06,167364.2,35393.52,115305.66,212395.86,287719.94,4918240.0,5883023.5,48325550.0,5678723.0,2375144.8,274642.75,10070.948,308567.88,8280755.0,316250.2,78094.48,4348637.5,526682.3,508894.62,173965.56,751642.56,1069.1165,76243.05,6554836.5,63666.742,282436.44,104718.23,141933.95,119513.85,1233.9358,1102.1697,477491.62,39205.676,663888.4,65858.51,633839.0,10487.12,750161.94,289818.4,312820.75,2303.6663,2262893.5,68158.13,335859.7,14441.929,760441.56,9058.465,218280.5,769377.8,81735.94,93734.87,188421.06,216840.44,26706.822,205677.39,2238438.8,97419.03,207.45433,9288362.0,773131.3,896542.56,81.93869,125985.766,171982.06,880435300.0,2953866.8,60593.27,736916.4,1043561.75,11794.312,321743.22,17384208.0,8482305.0,1002684.94,111092.64,22299.496,2757306.5,47118824.0,127575.56,583148.0,2287457.2,427220.1,30565.105,5169.436,166367.48,138200.53,158973.02,141312.75,125281.11,3802.974,17675.602,1129901.8,111116.09,2206566.2,2482.8801,966632.6,311.99136,191979.19,151610.97,1435731.9,99744.98,232274.64,36255.004,7634.284,143759.83,194873.33,1967929.0,254.3932,492516.44,623544.44,520053.84,6854485.0,188436.92,117112810.0,714448.9,18722.982,578071.5,2940926.8,7041.94,4629.9844,1127614.0,1202699.0,210277.83,135448.23
