Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1850,3594926.2,1677454.2,599838.75,18718.145,60428.832,4249198.0,214058.5,20107.586,3442233.5,3309644.0,668245.44,390446.62,7245051.0,450035.0,1327378.2,21192738.0,4033337.2,17991.027,7061.5645,855741.6,6392557.5,74712.234,2539507.8,14521671.0,64859.24,7787.595,426148.47,200060.52,202550.36,9808184.0,1921613.6,1329106.0,253096220.0,273775.72,1079106.1,1488520.1,99172.414,1725.4453,3782583.0,57083.832,12763.92,170946.25,5734273.0,148818.38,8232572.5,34679700.0,28500.184,5687.8535,2264365.8,182576.47,1309251.8,843491.8,3792607.2,49934.234,8011284.5,726640.3,8845702.0,1656724.6,116583.28,57461724.0,877.56635,34192.195,57722384.0,1049640.1,757086.5,821080.9,146373.94,125034.31,60144.05,2628879.5,21053.504,658524.06,1135679.8,6074.3174,445432.75,841758.94,639462.6,8312542.0,17159420.0,200839060.0,39130176.0,6092205.5,907159.44,73321.23,344534.97,16295537.0,378227.22,95916.55,8715889.0,2214792.5,2742280.2,779732.3,4609996.0,2332.7656,80174.484,7543559.5,36999.742,1038983.9,110501.5,136458.0,291834.72,1275.0983,7986.0054,1229257.6,57137.766,2904213.8,234397.08,2112482.0,8514.285,2682511.2,1014864.9,3716066.0,2009.5331,7830251.0,450890.78,2961437.0,29088.826,5331701.0,187548.75,3964169.0,1078115.1,1621664.1,60189.426,338784.1,348985.38,439527.7,1951976.8,4427951.5,530840.25,1007.55615,6458207.5,1374490.9,4879080.5,145.20438,3425963.0,215858.58,1239410200.0,12851578.0,220141.61,2644537.8,4718822.0,545.982,442375.34,18618908.0,10777092.0,2858547.8,1105330.5,10647.641,9667461.0,80623180.0,172712.14,808376.6,11663432.0,1271841.6,16493.842,16944.174,462874.12,278592.66,3223159.5,2185826.5,94074.9,4339.056,68569.766,2050176.2,493180.6,2503143.2,48347.234,2984.774,1275011.1,280.68033,1901394.6,223410.08,7568017.0,473029.4,546422.44,237980.17,16529.22,51393.56,454831.56,10565093.0,741.441,1049068.8,3239548.2,1395184.9,20371896.0,813457.1,71207380.0,2211083.0,24758.48,2020533.0,8228750.5,76302.95,10790.0205,2046172.4,518185.94,525426.56,533645.06
1851,3615134.2,1678920.0,606027.06,18627.871,60685.11,4367059.0,215020.97,19863.139,3935046.2,3333447.8,669126.3,391298.72,7315222.5,447255.5,1329762.0,21383808.0,4040526.5,18065.66,6950.517,860841.0,6435224.5,73070.31,2588613.8,14743202.0,65071.223,7855.6797,429844.78,202920.28,203072.17,9772536.0,1932262.8,1347969.8,250934430.0,274115.3,1079998.2,1496093.0,99560.62,1734.9648,3812470.8,57131.24,12774.086,173441.08,5768099.5,150538.34,8287626.0,35026224.0,28524.139,5779.0347,2292907.0,187174.33,1323388.1,856733.3,3797187.8,50295.266,8089379.0,731023.3,9002488.0,1667629.8,117313.89,57708684.0,882.4417,34262.246,56399124.0,1054037.8,758207.75,822576.06,146496.17,125144.164,59760.543,2654267.0,21025.836,667267.5,1148427.1,6878.513,449633.78,846819.2,646593.7,8371460.5,17378578.0,201611650.0,38271950.0,6120392.5,913299.4,74170.734,345817.66,16392149.0,373362.78,95866.36,8746326.0,2215804.5,2745172.2,784545.9,4623274.0,2346.9358,78232.85,7552393.0,37139.56,1050593.4,111271.945,138924.06,292064.06,1260.8398,8001.8657,1221494.9,58141.918,2926715.5,236506.27,2127726.2,8644.267,2711981.5,1016701.06,3731541.2,2020.6134,7913478.0,453601.97,2964495.8,29196.27,5352895.0,188683.4,3970916.8,1086172.8,1623026.0,65656.55,339093.16,357694.62,445408.38,1953603.8,4434034.0,534105.06,1013.093,6526597.5,1393125.2,4898360.0,146.65594,3483365.5,216482.12,1244053400.0,12964554.0,223448.97,2684051.0,4813203.5,553.0422,450238.12,18885368.0,10780931.0,2879801.8,1110738.4,10689.139,9738404.0,81712660.0,173089.17,809873.44,11703411.0,1273417.0,16979.838,17093.203,463256.97,283285.66,3236582.5,2199019.2,93343.27,4383.2275,69058.336,2062189.9,496148.62,2520501.5,49330.754,2993.0713,1278089.0,280.82837,1902989.2,224386.55,7607050.0,473604.62,547092.0,240110.97,16622.078,52043.188,457675.34,10604443.0,748.6833,1052520.0,3245279.2,1399445.0,20669058.0,878130.56,73680620.0,2214032.0,24560.47,2066218.9,8320312.0,76747.46,10871.034,2050176.8,565278.7,525866.9,543429.7
1852,3635346.8,1680385.9,612240.3,18671.375,60940.84,4484927.5,215043.11,19657.947,4427691.0,3359117.2,670007.56,392154.7,7406512.5,444476.3,1332159.4,21575046.0,4047717.2,18140.113,6867.086,865939.3,6478106.0,71831.05,2637716.5,14964981.0,65352.965,7923.778,433541.0,205781.62,203598.33,9972014.0,1941593.9,1381632.9,248776400.0,274464.97,1080890.2,1503766.2,99951.516,1744.4836,3842367.5,57179.285,12784.254,175938.1,5802062.0,152258.58,8342790.0,35383700.0,28548.09,5873.815,2321570.0,191795.6,1337523.1,870120.75,3837527.2,50661.85,8168090.5,735510.7,9159253.0,1677954.1,118047.93,58315404.0,887.3171,34332.94,56371510.0,1058502.2,758795.75,824076.8,146618.39,125254.31,59381.48,2679658.5,21019.807,676025.8,1161176.0,7706.982,453835.53,851879.0,653734.5,8419483.0,17597986.0,202384880.0,37612140.0,6148566.5,919437.75,75019.96,347095.44,16487872.0,369813.44,95816.14,8776753.0,2218582.5,2748086.0,789417.56,4636577.0,2361.1567,76731.31,7561233.0,37278.863,1062224.5,112042.125,141480.61,292293.4,1248.9022,8017.586,1237252.0,59149.684,2949356.5,238601.3,2143034.5,8774.2705,2743262.0,1018548.75,3747080.5,2031.7148,7996732.5,456312.94,2967551.0,29303.38,5374091.5,189818.05,3977665.5,1094231.1,1624388.0,70315.93,339402.9,366420.97,451289.4,1955230.5,4440114.5,537371.0,1018.6293,6615393.5,1411138.9,4917643.0,148.1099,3540782.2,217105.61,1250690000.0,13077562.0,226759.83,2723587.5,4907626.5,560.2657,458295.6,19182276.0,10784776.0,2901099.5,1116150.8,10730.505,9809347.0,82817590.0,173469.53,811369.56,11743463.0,1274994.5,17465.91,17244.535,463639.88,287990.7,3250216.5,2212211.5,93727.14,4427.5894,69546.93,2074230.0,499116.4,2535366.5,50314.93,2995.4219,1281160.4,281.1565,1904583.9,225365.75,7646082.5,474199.28,547762.94,242244.69,16714.979,52819.777,460513.0,10643829.0,755.9256,1055971.9,3251081.8,1403770.8,20972394.0,942829.75,75881096.0,2217005.0,24425.645,2111971.8,8412042.0,77192.82,10952.926,2054180.6,612481.3,526307.25,553221.9
1853,3655563.5,1681852.0,618478.75,18745.703,61196.023,4602803.0,215068.89,19556.488,4920145.0,3384472.2,670889.3,393014.44,7443623.5,441697.47,1334570.4,21766458.0,4054909.0,18214.385,6859.4146,871036.6,6521182.0,71707.555,2686815.8,15187010.0,65836.6,7991.8877,437237.0,208644.56,204128.86,10341388.0,1950773.6,1415393.4,246622030.0,274824.28,1081782.2,1511541.5,100345.125,1754.0016,3872274.0,57227.332,12794.422,178437.34,5836161.5,153980.47,8398067.0,35633856.0,28572.045,5979.9805,2349616.2,196440.9,1351331.9,883508.56,3877727.2,51034.055,8253266.0,740000.06,9315998.0,1688441.4,118785.5,59649840.0,892.19244,34404.3,56314176.0,1063020.6,759383.75,825583.2,146740.61,125364.77,59006.8,2705081.8,21074.332,684799.06,1173926.4,8538.846,458038.03,856938.4,660885.3,8463914.0,17817648.0,203158720.0,36988948.0,6176729.0,925574.75,75868.914,348368.22,16582294.0,369932.38,95765.89,8807172.0,2221360.5,2751022.8,794289.2,4649906.0,2375.43,76431.664,7570079.5,37417.66,1073877.4,112812.03,144131.08,292522.7,1243.1658,8033.1665,1253026.1,60161.125,2972129.8,240682.83,2158402.8,8904.297,2774562.2,1020400.5,3762906.5,2042.8374,8080014.0,459023.66,2970603.8,29410.162,5395291.0,190952.64,3984414.8,1102290.1,1625750.0,74167.72,339713.4,375164.7,457170.88,1956857.5,4446191.0,540638.1,1024.1648,6687851.0,1429639.5,4936928.5,149.56625,3598213.8,217729.03,1258188000.0,13190600.0,230074.19,2763147.8,5002091.5,567.6579,466555.03,19440216.0,10788626.0,2922358.5,1121568.1,10771.735,9880292.0,83926760.0,173853.2,812865.2,11783588.0,1276574.0,17952.066,17398.248,464022.8,292707.94,3264139.5,2225403.0,94122.83,4471.953,70035.555,2086296.6,502083.9,2550166.8,51299.773,2997.775,1284225.0,281.99277,1906178.2,226347.56,7685115.0,474793.88,548433.7,244381.5,16807.922,54027.234,463344.12,10683609.0,763.16797,1059424.4,3256956.5,1408163.4,21276998.0,1007556.2,78234850.0,2219978.8,24468.455,2157792.2,8503943.0,77639.086,11035.729,2058183.6,659796.06,526747.8,563021.8
1854,3675785.0,1683318.2,624742.6,19140.7,61450.66,4720687.5,215098.22,19455.438,5412387.5,3407595.8,671771.5,393877.88,7530137.5,438918.88,1336995.4,21958040.0,4062102.2,18288.479,6851.746,876132.8,6564454.5,71584.04,2735912.2,15409293.0,66319.69,8060.011,440932.88,211509.12,204663.83,10718597.0,1960778.2,1449051.9,244471340.0,275192.8,1082674.2,1519420.2,100741.46,1763.5189,3902190.5,57275.387,12804.592,180938.84,5870397.5,155702.62,8453455.0,36034600.0,28596.004,6086.0376,2377828.8,201110.84,1365140.6,896894.7,3918972.0,51411.94,8322118.5,744491.6,9472723.0,1698792.4,119526.734,61013920.0,897.0678,34476.332,60948584.0,1067593.9,759971.75,827095.2,146862.83,125475.57,58636.45,2730509.0,21128.854,693587.5,1186678.4,9374.569,462241.22,861997.1,668046.0,8513441.0,18037568.0,203933180.0,36386340.0,6204877.0,931710.25,76717.54,349636.1,16675824.0,370052.12,95715.62,8837580.0,2224138.2,2753983.0,799160.8,4663261.0,2389.7576,76133.89,7578933.0,37555.945,1085552.4,113581.67,146879.02,292751.97,1237.4475,8048.612,1268817.6,61176.27,2995037.5,242751.6,2173832.0,9034.348,2805882.5,1022256.44,3778739.0,2053.9824,8163324.0,461734.06,2973652.8,29516.6,5416492.5,192087.22,3991164.8,1110349.9,1627112.0,77608.1,340024.62,383926.12,463052.66,1958484.2,4452264.0,543906.3,1029.6998,6801191.5,1450723.8,4956217.5,151.02509,3655660.0,218352.38,1270683500.0,13303670.0,233392.1,2802731.2,5096599.0,575.2244,475023.8,19717766.0,10792481.0,2943495.2,1126990.5,10812.834,9951238.0,85040216.0,174240.19,814360.1,11823787.0,1278155.6,18438.309,17554.426,464405.72,297437.62,3278071.8,2238594.0,94530.18,4516.32,70524.21,2098390.0,505051.2,2570242.8,52285.305,3000.1294,1287283.0,282.829,1907772.9,227331.84,7724146.0,475388.44,549104.44,246521.47,16900.914,55227.395,466168.28,10723426.0,770.4102,1062877.4,3262906.2,1412624.2,21582890.0,1072311.0,80568130.0,2222953.5,24511.25,2203682.5,8596017.0,78086.266,11119.473,2062186.0,707225.1,527188.56,572829.9
1855,3696010.8,1684784.9,631032.2,19121.621,61704.75,4838581.0,215134.5,19354.795,5904399.0,3433126.5,672654.25,394744.88,7558410.5,436140.62,1339434.5,22149800.0,4069296.5,18362.393,6844.081,881228.0,6607988.5,71460.49,2785005.5,15631717.0,66802.24,8128.1484,444628.6,214375.36,205203.3,11103863.0,1970729.2,1482608.9,242324290.0,275570.2,1083566.2,1527404.4,101140.55,1773.0355,3932116.2,57323.45,12814.982,183442.64,5904772.5,157425.06,8508958.0,36459844.0,28619.96,6191.987,2406345.8,205806.05,1378948.9,910279.06,3960064.2,51795.574,8398552.0,749286.8,9629426.0,1709156.5,120271.75,62357276.0,901.9432,34549.04,59326020.0,1072262.5,760559.6,828612.94,146985.06,125586.72,58270.367,2755940.5,21183.37,702391.1,1199431.9,10214.681,466445.22,867055.44,675216.94,8559183.0,18257746.0,204708290.0,35829210.0,6233013.5,937844.25,77565.83,350899.0,16768030.0,370172.7,95665.31,8867978.0,2232007.2,2756967.8,804204.2,4676642.5,2404.141,75837.984,7587793.0,37693.723,1097249.9,114351.05,149728.16,292981.25,1231.7472,8063.925,1283774.2,62195.18,3018109.0,244808.28,2189335.8,9164.425,2837222.2,1024137.25,3794578.0,2065.1504,8243321.0,464444.28,2976698.5,29622.697,5437697.0,193221.8,3997915.5,1118410.2,1628473.9,81293.21,340336.6,392705.7,468934.88,1960110.9,4458332.5,547175.9,1035.2339,6805953.5,1470307.6,4975509.5,152.48642,3713121.2,218975.66,1277144000.0,13416772.0,236713.62,2842339.0,5191150.0,582.9713,483709.62,20023218.0,10796341.0,2964676.2,1132418.4,10853.798,10022185.0,86192664.0,174630.48,815854.44,11864061.0,1279739.2,18924.637,17713.156,464788.72,302179.94,3292013.5,2251784.2,94949.055,4560.688,71012.88,2110510.2,508018.22,2586065.0,53271.547,3002.8774,1290334.4,283.6652,1909367.5,228318.53,7763177.5,476038.97,549778.8,248664.72,16993.951,56420.324,468985.16,10763278.0,777.6526,1066331.0,3268931.5,1417154.9,21905198.0,1137095.6,83142100.0,2225995.5,24554.025,2249643.5,8688264.0,78534.42,11204.19,2066187.6,754770.75,527629.44,582646.1
1856,3716241.2,1686250.8,637347.9,19282.773,61958.29,4957324.0,215167.31,19396.412,6396989.0,3458441.8,673537.2,395615.28,7557848.0,433362.66,1341887.6,22341732.0,4076496.2,18436.125,6942.9487,886322.1,6651599.5,72918.33,2834096.5,15852792.0,67615.1,8196.3,448324.16,217243.34,205747.33,11497459.0,1980658.4,1517760.8,240180820.0,275956.1,1084458.2,1535495.6,101542.42,1782.5514,3962064.2,57371.52,12825.373,185949.44,5939326.0,159147.81,8564574.0,36744630.0,28643.918,6315.4155,2435206.0,210533.72,1392756.6,935079.1,3956167.8,52185.023,8489187.0,753481.4,9786108.0,1719382.4,121020.695,62952732.0,906.8186,34622.44,61234556.0,1076908.2,761149.9,830136.5,147107.28,125698.234,57908.5,2781377.0,21324.361,711214.7,1212043.5,11059.779,471094.22,872113.25,682399.25,8605293.0,18478192.0,205484050.0,35296740.0,6261138.5,943977.2,78389.1,352157.0,16859444.0,375525.34,95614.99,8898234.0,2229694.0,2759977.8,808904.06,4690050.0,2418.5828,77229.76,7596660.0,37830.99,1108969.9,115120.16,152682.34,293210.47,1234.6182,8071.184,1298742.5,63217.91,3041265.8,247180.02,2204875.8,9294.53,2868582.2,1025980.8,3810423.5,2076.342,8332021.5,467154.2,2979741.2,29728.45,5458904.5,194356.33,4004667.0,1126471.4,1629835.9,84175.81,340649.34,401503.75,474817.44,1961737.9,4464396.5,550447.75,1040.7675,6854774.0,1490984.9,4994804.5,153.9504,3770611.0,219598.88,1285785700.0,13529907.0,240039.14,2882894.2,5285754.5,590.9046,492620.62,20316086.0,10800206.0,2985819.5,1137758.4,10894.628,10093252.0,87280184.0,175024.1,817348.1,11904410.0,1281325.0,19411.059,17874.53,465171.72,306935.7,3305964.2,2264973.8,95379.33,4605.059,71501.59,2122657.2,510984.97,2604058.2,54258.51,3005.6384,1293379.1,285.2316,1910962.0,229307.45,7802208.5,476577.62,550445.8,250811.38,17087.04,58316.81,471794.22,10803165.0,784.8949,1069785.2,3275035.2,1421756.5,22198642.0,1201920.4,85312600.0,2228906.0,24851.355,2295683.2,8780689.0,78983.56,11289.918,2070188.5,802439.0,528070.5,592470.9
1857,3736476.2,1687717.0,643689.8,19268.291,62211.29,5076129.5,215206.98,19439.746,6889310.0,3484281.5,674420.7,396489.03,7596182.0,430585.03,1344355.2,22533842.0,4083697.0,18509.678,7043.827,891415.25,6695476.5,74411.08,2883184.2,16073947.0,68437.22,8264.464,452019.53,220113.1,206296.02,11899726.0,1990434.5,1549831.1,238040940.0,276350.1,1085350.2,1543695.6,101947.08,1792.0664,3992022.0,57419.594,12835.764,188458.58,5974018.5,160872.22,8620306.0,37042776.0,28667.877,6439.643,2463563.2,215287.98,1406563.5,939449.7,3997341.8,52580.355,8571315.0,757979.56,9942767.0,1729924.9,121773.695,63248210.0,911.694,34696.54,60694376.0,1081651.1,761740.06,831665.75,147229.5,125810.13,57550.785,2806845.2,21467.523,720053.75,1224656.9,11910.549,475742.8,877170.56,689591.94,8654134.0,18698906.0,206260430.0,34752680.0,6289251.0,950108.75,79211.71,353410.03,16949742.0,381006.22,95564.63,8928482.0,2232536.2,2763014.5,813775.6,4703484.0,2433.0845,78654.8,7605533.0,37967.746,1120712.8,115889.0,155745.56,293439.7,1237.6124,8078.4795,1313711.8,64244.5,3064591.0,249535.23,2220491.5,9424.663,2899962.2,1027849.3,3826276.0,2087.5583,8420896.0,469863.88,2982780.0,29833.855,5480114.5,195490.84,4011418.8,1134533.1,1631197.9,87953.33,340962.88,410320.72,480700.44,1963364.5,4470454.5,553720.8,1046.3003,6892316.0,1509333.1,5014103.0,155.41696,3828116.2,220222.02,1291692800.0,13643073.0,243368.38,2921981.2,5380403.0,599.0304,501765.03,20584136.0,10804076.0,3007216.0,1143100.9,10935.325,10164320.0,88406800.0,175420.98,818841.2,11944835.0,1282912.9,19897.578,18038.639,465554.72,311704.44,3319924.5,2278162.8,95820.875,4649.432,71990.32,2134831.2,513951.53,2618274.8,55246.23,3008.412,1296417.1,286.8182,1912556.6,230298.55,7841239.5,477172.2,551116.4,252961.58,17180.18,60248.566,474595.2,10843443.0,792.1372,1073240.1,3281218.2,1426430.6,22508542.0,1266778.1,87406740.0,2231883.8,25155.43,2341797.2,8873292.0,79433.734,11376.69,2074188.9,850228.56,528511.7,602304.3
1858,3756716.2,1689183.4,650058.2,19233.197,62463.74,5193879.5,215254.69,19484.828,7381342.5,3517206.5,675304.8,397366.03,7640127.0,427807.78,1346837.2,22726132.0,4090899.0,18583.05,7146.7603,896507.25,6739645.0,75939.59,2932269.0,16295296.0,69268.836,8332.643,455714.78,222984.67,206849.42,12311071.0,2000265.8,1583686.2,235904580.0,276751.88,1086242.2,1552006.2,102354.56,1801.5808,4021989.5,57467.676,12846.154,190970.08,6008852.0,162592.72,8676154.0,37398680.0,28691.838,6564.692,2490908.5,220069.5,1425730.1,943976.8,4039534.2,52981.64,8667932.0,762896.8,10099403.0,1740634.1,122530.88,63106576.0,916.5693,34771.348,60118760.0,1086506.2,762330.25,833200.9,147351.72,125922.44,57197.176,2832235.2,21612.918,728908.44,1237271.9,12767.764,480391.0,882227.3,696795.0,8690507.0,18919888.0,207113280.0,34233396.0,6317351.0,956238.75,80033.67,354658.16,17038744.0,386618.62,95514.25,8958722.0,2242848.2,2766078.5,818884.9,4716944.5,2447.6484,80113.9,7614413.5,38103.996,1132478.9,116657.57,158921.97,293668.88,1240.7323,8085.817,1330207.0,65275.0,3088097.0,251874.08,2236189.2,9554.828,2931362.5,1029750.2,3842135.2,2098.8005,8503155.0,472573.25,2985814.8,29938.91,5501327.0,196625.33,4018171.8,1142595.8,1632559.9,93391.32,341277.22,419156.94,486583.84,1964991.1,4476507.0,556995.2,1051.8325,6921089.0,1526296.8,5033404.5,156.8862,3885637.0,220845.1,1297412600.0,13756273.0,246701.38,2961105.8,5475098.0,607.35535,511151.4,20896504.0,10807952.0,3029538.0,1148445.4,10975.888,10237218.0,89586940.0,175821.17,820333.6,11985336.0,1284502.9,20384.195,18205.578,465937.75,316486.38,3333893.5,2291351.2,96273.6,4693.8076,72479.08,2147032.2,516917.78,2634996.5,56234.707,3011.1997,1299448.5,288.42554,1914151.2,231291.73,7880270.0,477843.03,551791.94,255115.45,17273.37,62216.617,477387.78,10882697.0,799.3795,1076695.8,3287483.0,1431178.9,22841162.0,1331670.1,89471864.0,2234952.5,25466.44,2387986.5,8966075.0,79884.97,11464.543,2078188.4,898141.94,528953.06,612146.7
1859,3776960.8,1692175.2,656453.44,19409.537,62715.637,5311640.0,216693.17,19531.686,7873070.0,3533890.0,676303.56,398246.2,7667801.5,425030.9,1349333.9,22918602.0,4098102.0,18656.244,7251.791,901598.25,6773892.0,77504.74,2981350.8,16516720.0,70110.234,8400.836,459409.84,225858.1,207407.61,12731441.0,2009915.6,1617439.0,233771710.0,277161.16,1087134.1,1560429.6,102764.88,1811.0945,4051967.8,57515.758,12856.545,193483.98,6043827.5,164321.97,8732118.0,37391052.0,28715.799,6690.586,2519051.0,224878.98,1441551.6,952569.25,4081550.0,53388.95,8776532.0,767413.56,10256015.0,1751205.9,123292.414,63317100.0,921.44464,34846.88,62871660.0,1090266.8,762920.4,834741.8,147473.94,126035.17,56847.617,2857795.0,21760.598,737778.75,1249888.6,13632.307,485038.72,887283.6,704008.6,8756854.0,19141142.0,207937490.0,33713090.0,6345438.0,962367.25,80874.875,355901.3,17126854.0,392366.16,95463.836,8988955.0,2246578.0,2769170.8,823769.6,4730432.5,2462.2766,81607.87,7623300.5,38239.734,1144268.2,117425.875,162215.89,293898.06,1243.9805,8093.201,1346749.1,66309.48,3106663.2,254196.83,2207418.8,9685.023,2962783.5,1033113.44,3858001.5,2110.0686,8585428.0,475282.4,2988846.0,30043.617,5522542.0,197759.78,4024925.2,1150658.9,1633921.8,100980.97,341619.88,428012.88,492467.62,1966618.0,4482553.0,560270.75,1057.3641,6951781.0,1547945.0,5052709.5,158.35815,3943173.2,221468.12,1306537100.0,13869505.0,250038.17,3000556.8,5569839.5,615.88605,520788.7,21083132.0,10811832.0,3051951.2,1153792.2,11016.317,10308280.0,90725690.0,176224.64,821825.44,12025914.0,1286094.9,20870.918,18375.447,466320.8,321281.72,3347872.5,2304538.8,96737.38,4738.1855,72967.875,2159260.5,519883.78,2657515.8,57223.98,3014.0017,1302473.2,290.05417,1915745.6,232286.89,7919299.5,478441.44,552462.6,257273.1,17366.615,64222.0,480171.56,10924098.0,806.6218,1080152.0,3293830.5,1436002.5,23124666.0,1396598.4,91896750.0,2237936.5,25784.57,2431333.2,9059040.0,80337.305,11553.514,2082187.2,946181.6,529394.56,621998.25
1860,3797209.8,1695212.5,662875.7,19692.82,62966.992,5430026.0,218239.33,19580.352,8347436.5,3557658.5,677329.2,399129.34,7685335.0,422254.38,1351845.2,23111254.0,4105306.5,18729.258,7358.965,906688.2,6808215.5,79107.414,3030429.0,16738449.0,70961.69,8469.044,463104.75,228733.44,207970.69,13161585.0,2019566.4,1651287.8,231642340.0,277577.6,1088026.0,1568967.6,103178.08,1820.6074,4081955.0,57563.85,12866.937,196000.31,6078944.0,166047.28,8820526.0,37755690.0,28739.762,6817.351,2546731.8,229717.12,1457409.2,961161.8,4124176.5,53802.355,8871699.0,772038.8,10412605.0,1762332.0,124058.414,64418224.0,926.32,34923.14,66150536.0,1094075.0,763510.4,836288.7,147596.16,126148.35,56502.055,2883276.5,21910.629,746665.06,1262507.0,14505.179,489686.03,892339.44,711232.9,8809749.0,19362670.0,208717140.0,33181172.0,6373512.5,968494.4,81715.555,357139.53,17214518.0,398252.3,95413.39,9019181.0,2252144.2,2772292.5,828715.25,4743947.5,2476.9717,83137.56,7632194.5,38374.965,1156081.4,118193.914,165631.77,294127.22,1247.3591,8100.6367,1363339.4,67347.97,3125266.8,256503.7,2181723.2,9815.254,2994225.2,1036522.0,3873874.2,2121.3643,8667714.0,477991.3,2991873.5,30147.975,5543760.5,198894.23,4031679.5,1158722.9,1635283.8,104787.07,342436.4,436888.84,498351.78,1968244.6,4488592.5,563547.56,1062.8949,7034801.0,1567218.2,5072017.5,159.83287,4000726.2,222091.06,1317394000.0,13982772.0,253378.81,3040036.2,5664627.5,624.6295,530686.1,21343480.0,10815717.0,3074329.8,1159141.4,11056.613,10379344.0,91887380.0,176631.39,823316.6,12066571.0,1287689.1,21357.748,18548.352,466703.88,326090.66,3361860.8,2317726.0,97212.164,4782.5654,73450.086,2172680.8,522849.56,2679889.5,58214.06,3016.8186,1305491.2,291.70474,1917340.2,233284.0,7958328.5,479060.12,553217.5,259434.69,17459.92,66265.8,482946.38,10964479.0,813.86414,1083609.0,3300263.8,1440903.2,23414424.0,1461564.4,94164110.0,2240980.2,26110.02,2474683.8,9152190.0,80790.79,11643.642,2086185.5,994350.0,529836.25,631859.2
1861,3818578.8,1700269.0,669325.44,19881.092,62969.117,5611148.5,221206.0,19573.17,8838188.0,3585276.5,682675.94,400451.94,7753109.5,423129.22,1355819.4,23219796.0,4112515.0,18727.96,7503.1216,916374.4,6856700.0,80794.97,2987919.8,16964250.0,71586.58,8506.51,468239.28,232111.84,210927.28,12812797.0,2032219.4,1681392.5,230474050.0,280963.66,1090229.8,1578930.9,103662.18,1826.7981,4111969.2,57681.465,12892.735,200983.58,6114257.0,166225.42,8958897.0,38362360.0,28798.42,6888.945,2574196.0,235508.45,1473303.5,969754.94,4187686.0,54360.543,8919305.0,775412.3,10569171.0,1777252.5,124578.58,65469380.0,929.5143,35115.094,67471390.0,1103382.5,765002.4,838650.8,147896.52,126413.99,56191.14,2911216.5,22030.256,755573.75,1280591.6,15387.521,493238.28,901931.4,718470.0,8858509.0,19584484.0,209468110.0,32967146.0,6401450.0,983034.44,81792.44,356945.1,17264422.0,406299.22,95356.34,9049176.0,2272465.0,2778754.2,835176.3,4757726.5,2486.8792,85521.62,7641147.0,38356.473,1168999.8,119016.03,169262.7,294709.94,1245.434,8108.6064,1379991.5,69121.9,3139426.2,256624.56,2218871.5,9945.351,3025690.5,1045775.0,3894596.0,2145.5073,8741785.0,483130.22,3007822.8,30275.514,5564981.5,201042.1,4038544.8,1163601.8,1638620.2,106668.15,343653.12,445785.34,505255.5,1972246.6,4499738.5,566826.7,1068.7253,7079252.5,1586944.5,5091329.0,161.31474,4068650.8,222731.52,1325737300.0,14044997.0,256723.56,3079484.5,5759474.0,631.1862,537698.44,21585340.0,10819104.0,3102571.2,1164574.1,11052.755,10452338.0,92791070.0,177238.22,824825.94,12118092.0,1290533.9,21987.154,18674.465,467648.88,330914.06,3380066.2,2342718.8,97801.5,4831.778,74251.59,2183687.0,528474.06,2717844.2,59455.617,3023.2834,1308532.4,293.12598,1921249.4,234469.72,7997333.5,482767.9,557447.6,260634.0,17521.283,67991.32,490503.75,11005390.0,821.1649,1087061.5,3310561.5,1447388.9,23706410.0,1526582.2,95365870.0,2257797.8,26338.146,2504231.8,9254028.0,81092.74,11813.146,2090251.4,1041514.06,530916.1,643469.9
