Date,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,570000.0,1770000.0,2150000.0,26680000.0,14200000.0,3810000.0,0.0,43100000.0,9590000.0,16299999.0,30000.0,28200000.0,30000.0,50000.0,2320000.0,12120000.0,30000.0,660000.0,5940000.0,8390000.0,40000.0,780000.0,49410000.0,440000.0,129999.99,40000.0,500000.0,10000.0,76970000.0,6580000.0,6460000.0,750240000.0,400000.0,170000.0,1030000.0,40000.0,0.0,12510000.0,0.0,0.0,700000.0,11160000.0,800000.0,46900000.0,156780000.0,40000.0,0.0,5490000.0,810000.0,5690000.0,2440000.0,26670000.0,,41330000.0,3620000.0,550000.0,13850000.0,90000.0,60880000.0,0.0,150000.0,77200000.0,7420000.0,320000.0,310000.0,0.0,0.0,10000.0,9700000.0,20000.0,730000.0,380000.0,780000.0,5400000.0,190000.0,14090000.0,28510000.0,151060000.0,4139999.8,37450000.0,7820000.0,550000.0,3190000.0,74230000.0,3770000.0,1310000.0,263570000.0,81490000.0,1430000.0,8510000.0,,0.0,0.0,51650000.0,4060000.0,,330000.0,0.0,2089999.9,0.0,450000.0,1060000.0,6140000.0,5100000.0,2570000.0,5410000.0,2060000.0,10000.0,0.0,53550000.0,0.0,1640000.0,,0.0,970000.0,,2830000.0,170000.0,0.0,180000.0,170000.0,14090000.0,,50000.0,3890000.0,330000.0,0.0,28600000.0,6310000.0,210000.0,60000.0,5950000.0,2170000.0,3981720000.0,16890000.0,519999.97,4100000.0,9430000.0,0.0,270000.0,42880000.0,78430000.0,8200000.0,220000.0,3130000.0,60480000.0,251950000.0,110000.0,28240000.0,740000.0,240000.0,440000.0,20000.0,70000.0,530000.0,60000.0,9830000.0,,10000.0,,15900000.0,2630000.0,12220000.0,259999.98,0.0,2980000.0,0.0,30000.0,15050000.0,0.0,730000.0,0.0,0.0,1710000.0,3400000.0,32910000.0,0.0,400000.0,180000.0,195540000.0,580000.0,606900030.0,410000.0,0.0,23580000.0,5920000.0,0.0,20000.0,0.0,54530000.0,1340000.0,4780000.0
1991,530000.0,1640000.0,1420000.0,33390000.0,14790000.0,4000000.0,0.0,43350000.0,10160000.0,17040000.0,40000.0,29090000.0,20000.0,50000.0,1520000.0,8910000.0,30000.0,650000.0,5800000.0,8170000.0,50000.0,730000.0,52690000.0,430000.0,140000.0,40000.0,490000.0,10000.0,74930000.0,7010000.0,6750000.0,784090050.0,420000.0,150000.0,170000.0,60000.0,0.0,13030000.0,0.0,0.0,670000.0,7680000.0,1300000.0,37230000.0,134080000.0,40000.0,0.0,5920000.0,770000.0,6240000.0,2560000.0,24250000.0,,42850000.0,3500000.0,560000.0,13330000.0,100000.0,61320000.0,0.0,210000.0,79240000.0,6820000.0,320000.0,320000.0,0.0,0.0,10000.0,9590000.0,20000.0,780000.0,390000.0,780000.0,3710000.0,230000.0,11780000.0,28380000.0,155290000.0,4220000.0,46010000.0,6910000.0,490000.0,3160000.0,70140000.0,3910000.0,1150000.0,262090000.0,85990000.0,1420000.0,7610000.0,,0.0,0.0,61390000.0,990000.0,,560000.0,0.0,2210000.0,0.0,410000.0,1110000.0,6200000.0,4670000.0,1850000.0,5660000.0,2170000.0,10000.0,0.0,52280000.0,0.0,1420000.0,,0.0,960000.0,,3450000.0,170000.0,0.0,210000.0,150000.0,15470000.0,0.0,40000.0,3790000.0,250000.0,0.0,27100000.0,5030000.0,259999.98,60000.0,6090000.0,5790000.0,3904720000.0,16270000.0,630000.0,4610000.0,7290000.0,0.0,270000.0,39690000.0,75550000.0,8450000.0,270000.0,3240000.0,45590000.0,216590000.0,90000.0,28240000.0,920000.0,250000.0,420000.0,20000.0,70000.0,580000.0,60000.0,7260000.0,,10000.0,,14370000.0,2310000.0,11700000.0,259999.98,0.0,3680000.0,0.0,60000.0,16750000.0,0.0,660000.0,0.0,0.0,1240000.0,3090000.0,34740000.0,0.0,410000.0,180000.0,197290000.0,600000.0,569290000.0,390000.0,0.0,25140000.0,6520000.0,0.0,20000.0,0.0,49200000.0,1400000.0,5020000.0
1992,390000.0,1720000.0,760000.0,29620000.0,15810000.0,1380000.0,0.0,43040000.0,9220000.0,9150000.0,40000.0,26830000.0,30000.0,50000.0,1500000.0,7400000.0,30000.0,590000.0,3680000.0,5480000.0,30000.0,740000.0,53510000.0,330000.0,170000.0,70000.0,690000.0,10000.0,73990000.0,6670000.0,7670000.0,813270000.0,420000.0,140000.0,180000.0,50000.0,0.0,13360000.0,0.0,0.0,560000.0,6360000.0,1130000.0,40250000.0,125190000.0,40000.0,0.0,5780000.0,850000.0,6330000.0,2800000.0,25880000.0,20000.0,40220000.0,2040000.0,259999.98,12910000.0,110000.0,61700000.0,0.0,290000.0,70830000.0,4050000.2,370000.0,350000.0,0.0,0.0,10000.0,9230000.0,20000.0,860000.0,360000.0,810000.0,2950000.0,230000.0,9490000.0,29890000.0,158770000.0,3890000.0,44990000.0,8710000.0,470000.0,1630000.0,67980000.0,2920000.0,1300000.0,257549980.0,89260000.0,1490000.0,3410000.0,,0.0,0.0,63270000.0,5260000.0,,340000.0,0.0,2400000.0,0.0,650000.0,1160000.0,3040000.0,4240000.0,1590000.0,5860000.0,1200000.0,10000.0,10000.0,51960000.0,0.0,1370000.0,,0.0,1130000.0,,2670000.0,190000.0,0.0,210000.0,160000.0,16770000.0,0.0,40000.0,4460000.0,259999.98,0.0,26600000.0,4600000.0,150000.0,50000.0,6080000.0,4670000.0,3771500000.0,19040000.0,660000.0,4190000.0,7650000.0,0.0,270000.0,36760000.0,65000000.0,8270000.5,340000.0,3430000.0,17240000.0,200690000.0,90000.0,32310002.0,710000.0,270000.0,460000.0,20000.0,40000.0,760000.0,60000.0,7320000.0,,10000.0,,13490000.0,1850000.0,13610000.0,150000.0,0.0,3920000.0,0.0,10000.0,19510000.0,0.0,330000.0,0.0,0.0,1270000.0,3420000.0,33310002.0,0.0,420000.0,190000.0,189140000.0,610000.0,520000000.0,310000.0,0.0,22810000.0,7050000.0,0.0,20000.0,0.0,43250000.0,1420000.0,4640000.0
1993,380000.0,2200000.0,540000.0,29630000.0,15120000.0,2010000.0,0.0,43970000.0,9470000.0,7180000.0,40000.0,24730000.0,30000.0,70000.0,1470000.0,6410000.0,30000.0,550000.0,2740000.0,5530000.0,30000.0,770000.0,55840000.0,300000.0,170000.0,40000.0,640000.0,10000.0,73870000.0,6530000.0,8109999.5,867330050.0,430000.0,150000.0,180000.0,40000.0,0.0,14860000.0,0.0,0.0,580000.0,5910000.0,1200000.0,33180000.0,117900000.0,40000.0,0.0,5720000.0,730000.0,6250000.0,2520000.0,28130000.0,40000.0,38660000.0,1890000.0,390000.0,12470000.0,120000.0,57780000.0,0.0,320000.0,71820000.0,3140000.0,380000.0,360000.0,0.0,0.0,10000.0,9030000.0,20000.0,1060000.0,390000.0,790000.0,2790000.0,140000.0,8890000.0,32960000.0,156740000.0,4050000.2,36610000.0,9630000.0,480000.0,2360000.0,65989996.0,1820000.0,1300000.0,256040020.0,76300000.0,1580000.0,2940000.0,,0.0,0.0,71270000.0,7180000.0,,610000.0,0.0,2030000.0,0.0,700000.0,1190000.0,1990000.0,4510000.0,1580000.0,5000000.0,1250000.0,10000.0,10000.0,50250000.0,0.0,1120000.0,,0.0,760000.0,,2420000.0,230000.0,0.0,280000.0,160000.0,17910000.0,0.0,60000.0,4120000.0,240000.0,0.0,26130000.0,4720000.0,190000.0,50000.0,6330000.0,3240000.0,3721290000.0,20780000.0,700000.0,4620000.0,9310000.0,0.0,259999.98,47750000.0,59920000.0,7920000.0,230000.0,3530000.0,15690000.0,175180000.0,70000.0,31480000.0,70000.0,270000.0,500000.0,20000.0,30000.0,760000.0,60000.0,4480000.0,,10000.0,,11220000.0,1760000.0,14710000.0,160000.0,0.0,4240000.0,0.0,0.0,23880000.0,0.0,470000.0,0.0,0.0,1200000.0,3090000.0,33310002.0,0.0,470000.0,210000.0,133130010.0,560000.0,534520030.0,270000.0,0.0,25850000.0,7500000.0,0.0,20000.0,0.0,35720000.0,1380000.0,3900000.0
1994,360000.0,1640000.0,470000.0,34000000.0,17620000.0,640000.0,0.0,45680000.0,9330000.0,6910000.0,40000.0,26690000.0,20000.0,100000.0,1900000.0,7930000.0,30000.0,560000.0,660000.0,4179999.8,30000.0,870000.0,57890000.0,400000.0,190000.0,60000.0,480000.0,10000.0,77130000.0,6230000.0,7940000.0,909460030.0,430000.0,140000.0,190000.0,30000.0,0.0,15810000.0,0.0,0.0,660000.0,6190000.0,1220000.0,27520000.0,118280000.0,40000.0,0.0,5760000.0,930000.0,5980000.0,2810000.0,20570000.0,50000.0,41970000.0,1590000.0,519999.97,13710000.0,120000.0,57490000.0,0.0,430000.0,72820000.0,2150000.0,430000.0,400000.0,0.0,0.0,20000.0,8950000.0,20000.0,1120000.0,430000.0,800000.0,2930000.0,30000.0,8400000.0,38640000.0,166740000.0,4230000.0,41620000.0,10380000.0,560000.0,2670000.0,67710000.0,2640000.0,1660000.0,258650000.0,60810000.0,1560000.0,2670000.0,,0.0,0.0,79500000.0,6190000.0,,1010000.0,0.0,2370000.0,0.0,660000.0,1230000.0,2040000.0,4010000.2,1440000.0,5580000.0,1000000.0,0.0,10000.0,51110000.0,0.0,900000.0,,0.0,930000.0,,1840000.0,240000.0,0.0,250000.0,170000.0,18520000.0,0.0,40000.0,3540000.0,320000.0,0.0,25720000.0,5640000.0,340000.0,40000.0,6310000.0,2440000.0,3738820000.0,20720000.0,760000.0,4290000.0,8630000.0,0.0,560000.0,48800000.0,53250000.0,8680000.0,430000.0,3620000.0,26540000.0,143530000.0,60000.0,37750000.0,840000.0,300000.0,540000.0,20000.0,30000.0,800000.0,60000.0,3950000.0,,10000.0,,11710000.0,1980000.0,15000000.0,720000.0,0.0,4650000.0,0.0,110000.0,28190000.0,0.0,640000.0,0.0,0.0,1380000.0,2910000.0,30470000.0,0.0,460000.0,190000.0,97510000.0,510000.0,536950000.0,230000.0,0.0,25960000.0,7660000.0,0.0,20000.0,0.0,36680000.0,920000.0,2410000.0
1995,340000.0,1810000.0,490000.0,36110000.0,17340000.0,510000.0,0.0,46480000.0,9780000.0,8580000.0,40000.0,24900000.0,30000.0,30000.0,3330000.0,9070000.0,40000.0,580000.0,670000.0,3410000.0,40000.0,960000.0,61800000.0,430000.0,200000.0,70000.0,400000.0,10000.0,78300000.0,6530000.0,8950000.0,1077010000.0,450000.0,160000.0,190000.0,30000.0,0.0,15510000.0,0.0,10000.0,680000.0,6800000.0,1240000.0,26620000.0,116970000.0,40000.0,10000.0,6000000.0,1010000.0,6280000.0,2720000.0,23050000.0,60000.0,42840000.0,1610000.0,570000.0,12040000.0,120000.0,59680000.0,0.0,460000.0,69440000.0,920000.0,480000.0,440000.0,0.0,0.0,20000.0,9690000.0,10000.0,1310000.0,450000.0,770000.0,2680000.0,150000.0,8319999.5,47580000.0,159050000.0,4200000.0,43460000.0,10190000.0,519999.97,2940000.0,68700000.0,1440000.0,1740000.0,263690000.0,59820000.0,1560000.0,560000.0,60000.0,0.0,0.0,83130000.0,6010000.0,,1400000.0,0.0,2740000.0,0.0,530000.0,1260000.0,1740000.0,2570000.0,1370000.0,4660000.0,990000.0,220000.0,10000.0,49530000.0,0.0,880000.0,,0.0,970000.0,,1970000.0,240000.0,0.0,259999.98,170000.0,20340000.0,0.0,30000.0,3250000.0,290000.0,0.0,24490000.0,5700000.0,360000.0,40000.0,6030000.0,3180000.0,3966400000.0,22290000.0,830000.0,5370000.0,11740000.0,0.0,600000.0,63350000.0,48700000.0,8330000.0,380000.0,3700000.0,31240000.0,185120000.0,60000.0,40100000.0,510000.0,350000.0,470000.0,20000.0,10000.0,820000.0,50000.0,3180000.0,,10000.0,,10500000.0,1850000.0,15190000.0,730000.0,0.0,4990000.0,0.0,70000.0,32320000.0,0.0,670000.0,0.0,0.0,1530000.0,2930000.0,33840000.0,0.0,460000.0,240000.0,98380000.0,519999.97,488950000.0,13600000.0,0.0,28200000.0,10740000.0,0.0,20000.0,530000.0,37510000.0,830000.0,2650000.0
1996,320000.0,1900000.0,460000.0,37760000.0,17850000.0,450000.0,0.0,46320000.0,9900000.0,4440000.0,40000.0,25030000.0,150000.0,40000.0,2970000.0,8760000.0,50000.0,570000.0,350000.0,3860000.0,30000.0,830000.0,67440000.0,480000.0,230000.0,90000.0,550000.0,10000.0,81800000.0,6360000.0,9670000.0,975050000.0,530000.0,160000.0,200000.0,30000.0,0.0,16209999.0,0.0,20000.0,670000.0,7520000.0,1380000.0,25480000.0,110830000.0,40000.0,10000.0,5930000.0,1100000.0,5900000.0,3060000.0,25390000.0,50000.0,39140000.0,1700000.0,610000.0,11900000.0,120000.0,62940000.0,0.0,480000.0,68280000.0,1220000.0,519999.97,480000.0,0.0,0.0,30000.0,10380000.0,10000.0,1250000.0,440000.0,940000.0,2770000.0,160000.0,8560000.0,47730000.0,159450000.0,4040000.0,37380000.0,10330000.0,640000.0,2820000.0,67059996.0,1760000.0,1750000.0,263079980.0,49750000.0,1790000.0,1010000.0,80000.0,0.0,0.0,87770000.0,4670000.0,,1080000.0,0.0,2710000.0,0.0,790000.0,1280000.0,1530000.0,2550000.0,1250000.0,5530000.0,700000.0,259999.98,10000.0,55100000.0,0.0,1160000.0,,0.0,1010000.0,,1100000.0,70000.0,0.0,259999.98,180000.0,23910000.0,180000.0,70000.0,3630000.0,300000.0,0.0,25680000.0,6190000.0,310000.0,40000.0,6110000.0,2780000.0,3856740000.0,21740000.0,940000.0,5940000.0,11050000.0,0.0,620000.0,67960000.0,41350000.0,8850000.0,400000.0,3780000.0,29980000.0,162340000.0,60000.0,46160000.0,240000.0,340000.0,400000.0,20000.0,10000.0,720000.0,60000.0,7700000.0,,10000.0,,11230000.0,1870000.0,15650000.0,610000.0,0.0,5330000.0,0.0,160000.0,36460000.0,0.0,540000.0,0.0,0.0,1650000.0,3150000.0,42280000.0,0.0,500000.0,259999.98,87380000.0,690000.0,488029980.0,10550000.0,0.0,30880000.0,11300000.0,0.0,20000.0,620000.0,41700000.0,710000.0,2520000.0
1997,300000.0,1750000.0,240000.0,39960000.0,20940000.0,850000.0,0.0,47820000.0,11050000.0,3930000.0,40000.0,26170000.0,180000.0,40000.0,3640000.0,14150000.0,70000.0,270000.0,560000.0,3880000.0,40000.0,910000.0,71370000.0,600000.0,270000.0,180000.0,550000.0,10000.0,81740000.0,5970000.0,12870000.0,967260000.0,620000.0,160000.0,200000.0,20000.0,0.0,17030000.0,0.0,20000.0,720000.0,9560000.0,1300000.0,24880000.0,108500000.0,40000.0,10000.0,5840000.0,1280000.0,5310000.0,3090000.0,26800000.0,50000.0,44700000.0,1450000.0,660000.0,12230000.0,129999.99,61930000.0,0.0,530000.0,67089996.0,950000.0,540000.0,519999.97,0.0,0.0,40000.0,10490000.0,0.0,1280000.0,480000.0,740000.0,3020000.0,259999.98,6890000.0,51770000.0,175810000.0,4360000.0,42740000.0,9830000.0,640000.0,1920000.0,69160000.0,1690000.0,1860000.0,255970000.0,43840000.0,1560000.0,1060000.0,80000.0,0.0,0.0,86840000.0,4270000.0,,1380000.0,0.0,3090000.0,0.0,870000.0,1310000.0,1560000.0,2150000.0,1420000.0,5390000.0,730000.0,259999.98,10000.0,55210000.0,0.0,920000.0,,0.0,1230000.0,,1550000.0,100000.0,0.0,259999.98,180000.0,23930000.0,180000.0,100000.0,3070000.0,360000.0,0.0,24190000.0,5820000.0,300000.0,40000.0,5880000.0,1580000.0,3882290000.0,21570000.0,810000.0,5840000.0,13010000.0,0.0,610000.0,64190004.0,40370000.0,9420000.0,410000.0,3900000.0,25420000.0,149560000.0,60000.0,42010000.0,630000.0,390000.0,380000.0,20000.0,10000.0,950000.0,60000.0,7740000.0,,0.0,,10840000.0,1940000.0,14510000.0,500000.0,0.0,4850000.0,0.0,100000.0,33400002.0,0.0,550000.0,0.0,0.0,1780000.0,3160000.0,45740000.0,0.0,450000.0,280000.0,83570000.0,820000.0,509029980.0,7830000.0,0.0,32290000.0,13510000.0,0.0,20000.0,720000.0,45430000.0,1060000.0,2300000.0
1998,280000.0,1310000.0,400000.0,39410000.0,20380000.0,970000.0,0.0,47930000.0,10380000.0,2140000.0,40000.0,27180000.0,140000.0,50000.0,2870000.0,11400000.0,70000.0,580000.0,460000.0,4450000.0,20000.0,1010000.0,73470000.0,550000.0,200000.0,170000.0,960000.0,10000.0,79180000.0,6000000.0,10800000.0,1030459970.0,510000.0,150000.0,210000.0,0.0,0.0,15720000.0,0.0,20000.0,770000.0,10070000.0,1330000.0,23310000.0,106280000.0,40000.0,10000.0,5680000.0,1039999.94,5670000.0,3240000.0,24810000.0,40000.0,44430000.0,1290000.0,720000.0,13710000.0,120000.0,58770000.0,0.0,540000.0,63730000.0,770000.0,620000.0,540000.0,0.0,0.0,70000.0,10450000.0,0.0,1320000.0,510000.0,810000.0,3020000.0,320000.0,6440000.0,48500000.0,185330000.0,4290000.0,38400000.0,9790000.0,630000.0,1690000.0,68900000.0,1810000.0,2000000.0,232910000.0,43420000.0,1430000.0,1180000.0,100000.0,0.0,0.0,77960000.0,6470000.0,,990000.0,0.0,2980000.0,0.0,1060000.0,1330000.0,1530000.0,1500000.0,1320000.0,5420000.0,610000.0,290000.0,10000.0,56620000.0,0.0,1250000.0,,10000.0,1140000.0,,980000.0,170000.0,0.0,290000.0,180000.0,23730000.0,180000.0,100000.0,3070000.0,350000.0,0.0,23020000.0,6050000.0,310000.0,40000.0,5640000.0,1160000.0,3882770000.0,22340000.0,870000.0,6180000.0,11760000.0,0.0,630000.0,53580000.0,37440000.0,10590000.0,430000.0,4010000.2,20290000.0,134149990.0,60000.0,49150000.0,500000.0,480000.0,350000.0,20000.0,10000.0,1039999.94,50000.0,9280000.0,,10000.0,,9760000.0,1820000.0,14560000.0,500000.0,0.0,6090000.0,0.0,120000.0,28580000.0,0.0,519999.97,0.0,0.0,1780000.0,3310000.0,47240000.0,0.0,519999.97,320000.0,79150000.0,830000.0,515150000.0,15830000.0,0.0,31770000.0,14040000.0,0.0,20000.0,840000.0,47980000.0,1020000.0,2410000.0
1999,250000.0,1490000.0,490000.0,38700000.0,18420000.0,1030000.0,0.0,47800000.0,9610000.0,2600000.0,40000.0,27950000.0,160000.0,40000.0,2850000.0,7870000.0,80000.0,580000.0,430000.0,4270000.0,30000.0,1020000.0,78280000.0,570000.0,170000.0,160000.0,850000.0,10000.0,79950000.0,6410000.0,10320000.0,877040000.0,760000.0,180000.0,220000.0,0.0,0.0,14800000.0,0.0,30000.0,810000.0,11410000.0,1370000.0,20000000.0,101950000.0,40000.0,0.0,5730000.0,1150000.0,6070000.0,2960000.0,26360000.0,40000.0,41560000.0,900000.0,710000.0,13100000.0,120000.0,56900000.0,0.0,500000.0,62640000.0,650000.0,700000.0,580000.0,0.0,0.0,60000.0,9360000.0,0.0,1160000.0,420000.0,1030000.0,2890000.0,360000.0,6230000.0,62170000.0,190570000.0,4450000.0,42890000.0,10110000.0,580000.0,1550000.0,72100000.0,1950000.0,1990000.0,236070000.0,36230000.0,1300000.0,1160000.0,100000.0,0.0,0.0,85560000.0,5470000.0,,1490000.0,0.0,3030000.0,0.0,1080000.0,1350000.0,1190000.0,1550000.0,1190000.0,5810000.0,460000.0,290000.0,10000.0,52080000.0,0.0,890000.0,,10000.0,1420000.0,,870000.0,180000.0,0.0,330000.0,190000.0,23150000.0,160000.0,100000.0,3200000.0,400000.0,0.0,24400000.0,6220000.0,1050000.0,40000.0,5550000.0,2890000.0,3726370000.0,22890000.0,840000.0,7350000.0,11360000.0,0.0,680000.0,45650000.0,40880000.0,10770000.0,380000.0,4120000.0,17680000.0,142770000.0,60000.0,52470000.0,710000.0,590000.0,330000.0,20000.0,10000.0,1070000.0,60000.0,5310000.0,,10000.0,,9220000.0,2000000.0,14640000.0,530000.0,0.0,5840000.0,0.0,300000.0,31870000.0,0.0,640000.0,0.0,0.0,1870000.0,3320000.0,41560000.0,0.0,570000.0,340000.0,81170000.0,810000.0,503350000.0,16340000.0,0.0,25400000.0,14090000.0,0.0,20000.0,980000.0,41190000.0,750000.0,3130000.0
2000,230000.0,1580000.0,480000.0,33720000.0,18000000.0,720000.0,0.0,48320000.0,10780000.0,2680000.0,50000.0,29230000.0,160000.0,50000.0,3050000.0,8000000.0,80000.0,580000.0,1510000.0,3220000.0,80000.0,920000.0,85810000.0,690000.0,140000.0,160000.0,860000.0,10000.0,83510000.0,5800000.0,10460000.0,909380030.0,750000.0,200000.0,259999.98,0.0,0.0,16219999.0,0.0,30000.0,870000.0,11180000.0,1410000.0,24190000.0,102990000.0,40000.0,0.0,5420000.0,1310000.0,6180000.0,2770000.0,25360000.0,40000.0,47400000.0,960000.0,790000.0,11250000.0,129999.99,55720000.0,0.0,540000.0,62500000.0,660000.0,730000.0,610000.0,0.0,0.0,100000.0,10260000.0,0.0,1330000.0,430000.0,1070000.0,2850000.0,259999.98,5780000.0,58880000.0,195100000.0,5180000.0,43550000.0,10490000.0,770000.0,1480000.0,73550000.0,2000000.0,2180000.0,240640000.0,21340000.0,1520000.0,840000.0,120000.0,0.0,0.0,96250000.0,7620000.0,90000.0,1200000.0,0.0,3170000.0,0.0,920000.0,1360000.0,1080000.0,1310000.0,1039999.94,5570000.0,500000.0,270000.0,10000.0,53140000.0,0.0,1050000.0,0.0,0.0,2400000.0,,630000.0,80000.0,0.0,370000.0,190000.0,25960000.0,160000.0,40000.0,3850000.0,400000.0,0.0,23310000.0,6650000.0,1130000.0,30000.0,6060000.0,3310000.0,3902090000.0,22440000.0,930000.0,7570000.0,9290000.0,0.0,980000.0,45700000.0,43240000.0,11010000.0,360000.0,4890000.0,18800000.0,165880000.0,70000.0,53020000.0,620000.0,500000.0,3260000.0,20000.0,10000.0,1090000.0,60000.0,5280000.0,,10000.0,680000.0,9870000.0,2380000.0,14030000.0,340000.0,0.0,5380000.0,20000.0,270000.0,31310000.0,0.0,650000.0,0.0,0.0,2010000.0,3630000.0,58320000.0,0.0,600000.0,330000.0,80940000.0,720000.0,571300000.0,16910000.0,0.0,24720000.0,14780000.0,0.0,20000.0,1140000.0,40920000.0,720000.0,2940000.0
2001,230000.0,1630000.0,540000.0,41650000.0,17760000.0,800000.0,0.0,47590000.0,10640000.0,2200000.0,40000.0,30830000.0,150000.0,50000.0,4440000.0,7900000.0,129999.99,490000.0,1340000.0,3270000.0,140000.0,1110000.0,83720000.0,550000.0,120000.0,129999.99,940000.0,10000.0,77450000.0,6120000.0,11360000.0,964390000.0,730000.0,200000.0,290000.0,10000.0,0.0,16000000.0,0.0,30000.0,920000.0,11950000.0,1350000.0,22500000.0,96680000.0,40000.0,0.0,5610000.0,1290000.0,6270000.0,2710000.0,32890000.0,40000.0,51410000.0,1150000.0,960000.0,11150000.0,150000.0,59620000.0,0.0,550000.0,66140000.0,340000.0,710000.0,640000.0,0.0,0.0,90000.0,10390000.0,0.0,1370000.0,410000.0,1220000.0,3090000.0,259999.98,6020000.0,63100000.0,197160000.0,5140000.0,43830000.0,10880000.0,790000.0,1310000.0,71070000.0,2030000.0,2069999.9,235230000.0,27930000.0,1640000.0,620000.0,120000.0,0.0,0.0,96960000.0,7130000.0,90000.0,1730000.0,0.0,3300000.0,0.0,960000.0,1380000.0,1050000.0,1450000.0,1010000.0,5630000.0,500000.0,330000.0,10000.0,48080000.0,0.0,900000.0,10000.0,0.0,2360000.0,,610000.0,220000.0,0.0,400000.0,200000.0,26540000.0,230000.0,50000.0,3490000.0,430000.0,0.0,23120000.0,6280000.0,1280000.0,30000.0,6480000.0,3940000.0,3924740000.0,22650000.0,1100000.0,6830000.0,8780000.0,0.0,1060000.0,40430000.0,45190000.0,10310000.0,340000.0,4960000.0,20300000.0,158170000.0,70000.0,52400000.0,540000.0,660000.0,3460000.0,20000.0,40000.0,1140000.0,60000.0,6130000.0,,10000.0,690000.0,8580000.0,2120000.0,12520000.0,390000.0,0.0,5570000.0,20000.0,210000.0,34110000.0,0.0,530000.0,0.0,0.0,2560000.0,3730000.0,42620000.0,0.0,519999.97,310000.0,88320000.0,640000.0,543770050.0,17040000.0,0.0,25750000.0,16800000.0,0.0,20000.0,1270000.0,36850000.0,760000.0,2460000.0
2002,560000.0,1790000.0,430000.0,37860000.0,17190000.0,800000.0,0.0,38230000.0,10390000.0,3010000.0,20000.0,24700000.0,150000.0,50000.0,4810000.0,7520000.0,129999.99,460000.0,1500000.0,3240000.0,150000.0,1280000.0,86690000.0,519999.97,129999.99,160000.0,1080000.0,10000.0,78790000.0,5510000.0,10550000.0,1002490000.0,690000.0,210000.0,310000.0,10000.0,0.0,16020000.0,0.0,30000.0,750000.0,8000000.0,1340000.0,20600000.0,96080000.0,40000.0,0.0,5210000.0,2120000.0,6630000.0,2940000.0,30930000.0,40000.0,51500000.0,830000.0,1010000.0,10800000.0,129999.99,57420000.0,0.0,390000.0,61680000.0,270000.0,880000.0,670000.0,0.0,0.0,270000.0,9950000.0,0.0,1030000.0,400000.0,1220000.0,2950000.0,460000.0,6070000.0,59840000.0,210900000.0,4810000.0,45070000.0,9850000.0,830000.0,1290000.0,70150000.0,1920000.0,2089999.9,237540000.0,20940000.0,1810000.0,1500000.0,129999.99,0.0,0.0,86380000.0,6680000.0,120000.0,1120000.0,0.0,3160000.0,0.0,1000000.0,1410000.0,1120000.0,1260000.0,1050000.0,5380000.0,519999.97,220000.0,10000.0,51670000.0,0.0,860000.0,10000.0,0.0,1480000.0,,650000.0,240000.0,0.0,390000.0,140000.0,28530000.0,200000.0,50000.0,3470000.0,519999.97,0.0,23620000.0,5440000.0,650000.0,0.0,6760000.0,5070000.0,3919280000.0,25070000.0,680000.0,7310000.0,8240000.0,0.0,1060000.0,38360000.0,43360000.0,10290000.0,330000.0,7510000.0,21300000.0,159920000.0,70000.0,60190000.0,540000.0,720000.0,3680000.0,20000.0,80000.0,1190000.0,60000.0,6560000.0,,10000.0,60000.0,9150000.0,1860000.0,12910000.0,330000.0,0.0,5360000.0,30000.0,200000.0,38320000.0,0.0,380000.0,0.0,0.0,2480000.0,3670000.0,53350000.0,0.0,510000.0,390000.0,88920000.0,570000.0,494170020.0,17820000.0,0.0,29170000.0,18700000.0,0.0,20000.0,1490000.0,40180000.0,800000.0,2230000.0
